cell,group,draw,seed,sched_seed,legal_acl,legal_max_chain,asks,bookmark_asks,stopped_by,pen,stair,bars,certified,mm_skipped,error,wall
regular_n316,init,2,2,0,4.566,15,10000,8043,asks,0,3085.0,424,True,True,,138.6
regular_n316,init,3,3,0,4.674,14,10000,9785,asks,0,3164.0,421,True,True,,150.4
regular_n316,init,4,4,0,4.601,13,10000,6626,asks,0,3131.0,425,True,True,,140.0
regular_n316,init,5,5,0,4.579,13,10000,4645,asks,0,3122.0,425,True,True,,136.9
ws_n486,order,1,0,1,4.072,26,15000,4866,asks,41617,6638.0,696,False,False,,332.1
ws_n486,order,2,0,2,4.321,29,15000,5052,asks,37955,6577.0,695,False,False,,350.6
ws_n486,order,3,0,3,4.409,29,15000,5992,asks,38796,6270.0,694,False,False,,356.0
ws_n486,order,4,0,4,4.15,35,15000,14404,asks,40390,6080.0,684,False,False,,355.1
ws_n486,order,5,0,5,4.463,27,15000,4434,asks,37960,6777.0,689,False,False,,340.8
ws_n486,init,1,1,0,4.21,32,15000,5970,asks,37485,6455.0,690,False,False,,340.2
ws_n486,init,2,2,0,4.477,32,15000,3820,asks,39964,7095.0,699,False,False,,358.5
ws_n486,init,3,3,0,4.422,25,15000,3400,asks,38481,6698.0,686,False,False,,344.8
ws_n486,init,4,4,0,4.64,33,15000,4231,asks,38350,6619.0,693,False,False,,347.9
ws_n486,init,5,5,0,3.634,25,15000,14467,asks,38933,5937.0,677,False,False,,330.0
grid_200,order,1,0,1,1.57,4,8000,7810,asks,0,757.0,208,True,True,,62.6
grid_200,order,2,0,2,1.585,5,6832,3724,fixpoint,0,772.0,213,True,True,,51.2
grid_200,order,3,0,3,1.44,5,8000,6402,asks,0,706.0,200,True,True,,57.6
grid_200,order,4,0,4,1.665,7,8000,5532,asks,0,796.0,210,True,True,,64.6
grid_200,order,5,0,5,1.665,5,8000,5660,asks,0,768.0,200,True,True,,57.9
grid_200,init,1,1,0,1.685,7,8000,3083,asks,0,785.0,200,True,True,,65.7
grid_200,init,2,2,0,1.725,4,8000,4083,asks,0,814.0,218,True,True,,57.8
grid_200,init,3,3,0,1.62,5,8000,5882,asks,0,763.0,200,True,True,,61.6
grid_200,init,4,4,0,1.535,5,8000,6421,asks,0,742.0,210,True,True,,58.3
grid_200,init,5,5,0,1.53,10,8000,4005,asks,0,767.0,202,True,True,,57.2
honeycomb_200,order,1,0,1,1.895,8,8000,4029,asks,0,875.0,213,True,True,,62.8
honeycomb_200,order,2,0,2,2.06,9,8000,6483,asks,0,939.0,215,True,True,,59.1
honeycomb_200,order,3,0,3,1.985,7,8000,5558,asks,0,921.0,222,True,True,,57.0
honeycomb_200,order,4,0,4,1.965,7,8000,6132,asks,0,915.0,220,True,True,,59.7
honeycomb_200,order,5,0,5,2.015,8,8000,3880,asks,0,933.0,231,True,True,,66.1
honeycomb_200,init,1,1,0,1.9,6,8000,4994,asks,0,905.0,235,True,True,,66.1
honeycomb_200,init,2,2,0,1.875,7,8000,6215,asks,0,877.0,213,True,True,,58.1
honeycomb_200,init,3,3,0,2.02,6,8000,2967,asks,0,937.0,222,True,True,,56.4
honeycomb_200,init,4,4,0,2.025,7,8000,2777,asks,0,928.0,228,True,True,,57.2
honeycomb_200,init,5,5,0,1.89,8,7875,5304,fixpoint,0,871.0,200,True,True,,57.4
king_graph_196,order,1,0,1,2.668,9,8000,4907,asks,0,1193.0,309,True,True,,74.0
king_graph_196,order,2,0,2,2.449,6,8000,4534,asks,0,1109.0,303,True,True,,72.4
king_graph_196,order,3,0,3,2.48,7,8000,7779,asks,0,1133.0,304,True,True,,73.6
king_graph_196,order,4,0,4,2.515,7,7767,3404,fixpoint,0,1144.0,307,True,True,,64.2
king_graph_196,order,5,0,5,2.454,6,8000,3593,asks,0,1114.0,304,True,True,,68.3
king_graph_196,init,1,1,0,2.592,6,8000,6458,asks,0,1177.0,305,True,True,,65.0
king_graph_196,init,2,2,0,2.566,7,8000,2762,asks,0,1151.0,311,True,True,,68.9
king_graph_196,init,3,3,0,2.668,6,8000,3552,asks,0,1201.0,312,True,True,,68.8
king_graph_196,init,4,4,0,2.602,8,8000,7228,asks,0,1173.0,304,True,True,,71.7
king_graph_196,init,5,5,0,2.347,6,8000,6260,asks,0,1091.0,306,True,True,,71.3
