cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,carry-triv,1,5.02,8,0.0,29.96,6,418|65|46|24|91|23,,667,0,7838,668,0,7.1,487,0,320,1,660.0,19.0,True,0,0,0,True,60.1
ER100_d10,Z12,,carry-triv,2,5.02,8,0.0,30.06,4,418|65|46|12,,541,0,5553,542,0,6.11,487,0,233,1,660.0,19.0,True,0,0,0,True,60.0
ER100_d10,Z12,,carry-audit,0,4.69,8,0.09,9.91,2,61|0,,61,1687,1352,1749,0,4.5,676,0,12,0,674.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,carry-audit,1,4.81,8,0.33,12.68,2,61|0,,61,1687,1352,1749,0,6.01,676,0,12,0,674.0,16.0,True,0,0,0,True,60.1
ER100_d10,Z12,,carry-audit,2,4.55,8,0.06,10.17,2,61|0,,61,1687,1352,1749,0,3.71,676,0,12,0,674.0,16.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,0,6.0,6,0.01,29.91,2,132|405,,537,0,1097,580,0,7.36,122,0,0,0,1696.0,31.0,True,0,0,0,True,60.8
turan_n162,Z12,2647,plane,1,6.228,7,0.01,30.05,5,131|92|105|92|20,,440,0,3561,444,0,15.42,199,0,0,0,1694.0,30.0,True,0,0,1,False,60.8
turan_n162,Z12,2647,plane,2,6.0,6,0.0,29.98,3,132|512|23,,666,0,1298,733,9,7.41,122,0,0,0,1696.0,31.0,True,0,0,0,True,67.2
turan_n162,Z12,2647,plane,3,6.0,6,0.01,30.04,1,113,,113,0,430,114,0,14.79,104,0,0,0,1708.0,32.0,True,0,0,0,True,66.7
turan_n162,Z12,2647,plane,4,6.228,7,0.0,29.89,4,132|512|143|60,,846,0,2399,914,9,24.33,758,0,0,0,1693.0,26.0,True,0,0,0,True,61.5
turan_n162,Z12,2647,plane,5,6.228,7,0.0,29.95,5,131|92|105|92|44,,464,0,3909,468,0,8.42,199,0,0,0,1694.0,30.0,True,0,0,1,False,62.1
turan_n162,Z12,2647,plane,6,6.0,6,0.0,30.06,2,132|147,,279,0,859,286,0,13.87,122,0,0,0,1696.0,31.0,True,0,0,0,True,62.8
turan_n162,Z12,2647,plane,7,6.228,7,0.0,30.04,3,131|92|77,,300,0,2105,302,0,11.49,199,0,0,0,1694.0,30.0,True,0,0,1,False,63.7
turan_n162,Z12,2647,plane,8,6.228,7,0.0,29.95,6,131|92|105|92|55|26,,501,0,4235,505,0,8.3,199,0,0,0,1694.0,30.0,True,0,0,1,False,62.6
turan_n162,Z12,2647,plane,9,6.0,6,0.01,29.99,3,132|512|130,,773,0,1727,841,9,26.78,758,0,0,0,1693.0,26.0,True,0,0,0,True,64.3
turan_n162,Z12,2647,carry,0,9.253,12,0.0,30.09,1,203,,203,0,4367,204,0,4.36,204,0,0,0,2598.0,28.0,True,0,0,0,True,64.3
turan_n162,Z12,2647,carry,1,9.593,13,0.01,29.72,1,190,,190,0,3661,191,0,12.66,183,0,0,0,2700.0,32.0,True,0,0,0,True,66.1
turan_n162,Z12,2647,carry,2,9.253,12,0.0,29.9,1,203,,203,0,5198,204,0,4.72,204,0,0,0,2598.0,28.0,True,0,0,0,True,64.8
turan_n162,Z12,2647,carry,3,9.253,12,0.0,29.9,1,203,,203,0,4616,204,0,6.77,204,0,0,0,2598.0,28.0,True,0,0,0,True,61.4
turan_n162,Z12,2647,carry,4,9.222,12,0.0,29.89,1,203,,203,0,4195,204,0,7.68,204,0,0,0,2598.0,28.0,True,0,0,0,True,61.0
turan_n162,Z12,2647,carry,5,9.611,13,0.0,29.93,1,190,,190,0,3444,191,0,3.33,183,0,0,0,2700.0,32.0,True,0,0,0,True,64.3
turan_n162,Z12,2647,carry,6,9.253,12,0.0,29.95,1,203,,203,0,6158,204,0,4.47,204,0,0,0,2598.0,28.0,True,0,0,0,True,60.4
turan_n162,Z12,2647,carry,7,9.611,13,0.0,29.91,1,190,,190,0,5299,191,0,3.35,183,0,0,0,2700.0,32.0,True,0,0,0,True,61.7
turan_n162,Z12,2647,carry,8,9.611,13,0.01,29.78,1,190,,190,0,3533,191,0,11.34,183,0,0,0,2700.0,32.0,True,0,0,0,True,61.5
turan_n162,Z12,2647,carry,9,9.253,12,0.0,29.92,1,203,,203,0,6632,204,0,4.64,204,0,0,0,2598.0,28.0,True,0,0,0,True,62.3
turan_n162,Z12,2647,carry-triv,0,6.0,6,0.0,29.91,1,24,,24,0,6469,25,0,3.66,24,0,0,0,1725.0,26.0,True,0,0,0,True,67.5
turan_n162,Z12,2647,carry-triv,1,6.0,6,0.0,29.95,1,24,,24,0,4728,25,0,2.43,24,0,0,0,1725.0,26.0,True,0,0,0,True,65.4
