best_att,best_clq,best_mm,both,category,clique_ok,graphs,loss,mean_d_att_clq,mean_d_mm_clq,mean_dacl,neither,only_att,only_mm,size_band,tie,topology,triple,win
3,0,1,,johnson,4,7,,-1.2744,-1.2601,,,,,n<=30,,zephyr_12,4,
4,0,5,,johnson,9,9,,-1.0183,-1.083,,,,,31-100,,zephyr_12,9,
7,0,1,,johnson,8,17,,-1.2243,-0.4118,,,,,101-300,,zephyr_12,8,
1,0,2,,kagome,3,9,,-1.6228,-1.8889,,,,,n<=30,,zephyr_12,3,
1,0,9,,kagome,10,10,,-3.8473,-4.3262,,,,,31-100,,zephyr_12,10,
0,0,9,,kagome,9,17,,-9.0782,-9.5439,,,,,101-300,,zephyr_12,9,
4,0,2,,king_graph,6,14,,-1.8437,-1.846,,,,,n<=30,,zephyr_12,6,
6,0,4,,king_graph,10,10,,-4.104,-4.1503,,,,,31-100,,zephyr_12,10,
2,0,4,,king_graph,6,14,,-9.1006,-9.2556,,,,,101-300,,zephyr_12,6,
2,0,2,,kneser,4,4,,-1.4708,-1.5048,,,,,n<=30,,zephyr_12,4,
5,4,0,,kneser,9,9,,-0.314,-0.0788,,,,,31-100,,zephyr_12,9,
3,3,0,,kneser,8,17,,-1.0882,4.1738,,,,,101-300,,zephyr_12,6,
8,0,5,,lfr_benchmark,13,13,,-5.0477,-5.0562,,,,,31-100,,zephyr_12,13,
10,0,1,,named_special,11,11,,-1.7841,-1.7737,,,,,n<=30,,zephyr_12,11,
0,0,1,,named_special,1,1,,-3.1957,-3.9783,,,,,31-100,,zephyr_12,1,
10,0,7,,path,17,18,,-1.5645,-1.6471,,,,,n<=30,,zephyr_12,17,
5,0,5,,path,10,10,,-4.5654,-4.6,,,,,31-100,,zephyr_12,10,
6,0,0,,path,6,10,,-9.5,-9.5,,,,,101-300,,zephyr_12,6,
59,0,49,,planted_solution,108,142,,-2.9059,-2.982,,,,,n<=30,,zephyr_12,108,
172,0,296,,planted_solution,468,468,,-4.5317,-4.6251,,,,,31-100,,zephyr_12,468,
131,0,301,,planted_solution,432,939,,-9.1199,-9.2,,,,,101-300,,zephyr_12,432,
454,0,121,,random_er,575,610,,-1.7893,-1.7948,,,,,n<=30,,zephyr_12,575,
362,89,163,,random_er,614,614,,-2.1359,-1.964,,,,,31-100,,zephyr_12,614,
136,79,59,,random_er,310,571,,-3.1598,-0.9036,,,,,101-300,,zephyr_12,274,
26,0,24,,random_planar,50,74,,-1.8768,-1.9244,,,,,n<=30,,zephyr_12,50,
14,0,41,,random_planar,55,55,,-3.9041,-4.1092,,,,,31-100,,zephyr_12,55,
1,0,24,,random_planar,25,50,,-8.6377,-8.9432,,,,,101-300,,zephyr_12,25,
166,0,95,,regular,261,388,,-1.5151,-1.5524,,,,,n<=30,,zephyr_12,261,
244,34,169,,regular,447,447,,-2.2264,-2.1694,,,,,31-100,,zephyr_12,447,
198,2,31,,regular,234,423,,-4.5935,-3.4921,,,,,101-300,,zephyr_12,231,
33,0,21,,sbm,54,57,,-2.2541,-2.279,,,,,n<=30,,zephyr_12,54,
118,0,98,,sbm,216,216,,-3.3798,-3.3648,,,,,31-100,,zephyr_12,216,
70,1,37,,sbm,108,198,,-3.2086,-2.5012,,,,,101-300,,zephyr_12,108,
6,0,2,,shastry_sutherland,8,9,,-1.5936,-1.5808,,,,,n<=30,,zephyr_12,8,
5,0,5,,shastry_sutherland,10,10,,-4.5597,-4.633,,,,,31-100,,zephyr_12,10,
1,0,5,,shastry_sutherland,6,14,,-9.7424,-9.8816,,,,,101-300,,zephyr_12,6,
81,0,44,,spin_glass,125,125,,-1.3209,-1.3177,,,,,n<=30,,zephyr_12,125,
118,23,57,,spin_glass,198,198,,-1.3265,-0.8407,,,,,31-100,,zephyr_12,198,
62,18,2,,spin_glass,108,188,,-0.7909,3.046,,,,,101-300,,zephyr_12,82,
9,0,8,,star,17,25,,-1.6987,-1.7346,,,,,n<=30,,zephyr_12,17,
0,0,10,,star,10,10,,-4.4877,-4.5986,,,,,31-100,,zephyr_12,10,
2,0,4,,star,6,10,,-9.3434,-9.3727,,,,,101-300,,zephyr_12,6,
2,0,2,,tree,4,4,,-1.6548,-1.75,,,,,n<=30,,zephyr_12,4,
0,0,5,,tree,5,5,,-3.7625,-4.0,,,,,31-100,,zephyr_12,5,
0,0,3,,tree,3,4,,-9.5049,-9.652,,,,,101-300,,zephyr_12,3,
9,0,6,,triangular_lattice,15,19,,-1.9389,-1.9591,,,,,n<=30,,zephyr_12,15,
10,0,21,,triangular_lattice,31,31,,-4.3023,-4.4348,,,,,31-100,,zephyr_12,31,
3,0,16,,triangular_lattice,19,43,,-8.9002,-9.1893,,,,,101-300,,zephyr_12,19,
105,0,35,,turan,140,140,,-1.1765,-1.1864,,,,,n<=30,,zephyr_12,140,
52,39,31,,turan,122,122,,-0.3804,-0.0282,,,,,31-100,,zephyr_12,122,
13,30,2,,turan,63,113,,0.6998,4.4394,,,,,101-300,,zephyr_12,45,
756,0,493,,watts_strogatz,1249,1440,,-1.4877,-1.5256,,,,,n<=30,,zephyr_12,1249,
1016,1,853,,watts_strogatz,1870,1870,,-2.9005,-2.9314,,,,,31-100,,zephyr_12,1870,
593,1,356,,watts_strogatz,950,1757,,-6.2708,-6.1834,,,,,101-300,,zephyr_12,950,
0,0,6,,weak_strong_cluster,6,21,,-0.6076,-1.441,,,,,n<=30,,zephyr_12,6,
0,0,48,,weak_strong_cluster,48,48,,-3.3827,-3.9722,,,,,31-100,,zephyr_12,48,
5,0,37,,weak_strong_cluster,42,93,,-7.9634,-8.1341,,,,,101-300,,zephyr_12,42,
10,0,7,,wheel,17,22,,-1.5541,-1.6623,,,,,n<=30,,zephyr_12,17,
1,0,9,,wheel,10,10,,-3.3279,-4.5694,,,,,31-100,,zephyr_12,10,
0,0,6,,wheel,6,10,,-7.9181,-9.3351,,,,,101-300,,zephyr_12,6,
