cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,default,2,2.775,6,0.57,6.86,9,82,2,0,0,17.0,False,0,10,16,False,60.1
regular_n316,Z12,13096,align,0,2.725,6,0.56,29.39,7,671,0,678,4,16.0,False,0,13,16,False,60.1
regular_n316,Z12,13096,align,1,2.744,10,0.06,29.9,7,668,0,675,4,16.0,False,1,13,16,False,60.0
regular_n316,Z12,13096,align,2,2.867,7,0.07,29.96,7,668,0,675,4,16.0,False,0,13,16,False,60.0
ws_n486,Z12,17188,default,0,2.595,9,0.11,29.84,11,489,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,1,2.749,9,0.11,29.84,11,477,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,2,2.436,8,0.09,30.28,11,484,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,3,2.51,10,0.1,30.37,11,476,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,4,2.514,8,0.09,29.92,11,409,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,5,2.751,8,0.11,29.84,11,392,1,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,6,2.348,7,0.16,29.83,11,388,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,7,2.556,8,0.12,29.87,11,416,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,8,2.628,8,0.09,29.86,11,405,1,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,9,2.418,8,0.1,29.88,11,395,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,align,0,2.545,8,0.16,29.85,19,312,2,331,2,27.0,False,1,16,28,False,60.0
ws_n486,Z12,17188,align,1,2.488,8,2.31,27.68,17,302,1,319,2,26.0,False,4,25,28,False,60.0
ws_n486,Z12,17188,align,2,2.611,9,2.11,27.83,18,302,2,320,2,27.0,False,4,22,39,False,60.0
ws_n486,Z12,17188,align,3,2.617,8,4.81,25.14,18,302,2,320,2,27.0,False,1,22,39,False,60.0
ws_n486,Z12,17188,align,4,2.545,8,3.94,26.01,17,301,1,318,2,26.0,False,0,25,28,False,60.0
ws_n486,Z12,17188,align,5,2.632,8,5.15,24.73,17,300,1,317,2,26.0,False,1,25,28,False,60.1
ws_n486,Z12,17188,align,6,2.564,9,4.28,24.85,17,298,1,315,2,26.0,False,0,25,28,False,60.0
ws_n486,Z12,17188,align,7,2.644,9,3.76,26.16,20,324,3,344,2,26.0,False,0,25,33,False,60.0
ws_n486,Z12,17188,align,8,2.615,9,3.09,26.7,20,331,3,351,2,26.0,False,2,25,33,False,60.0
ws_n486,Z12,17188,align,9,2.665,8,2.12,27.56,22,341,3,363,2,28.0,False,0,16,29,False,60.0
grid_200,Z12,1590,default,0,1.07,2,0.07,5.29,11,220,1,0,0,3.0,False,0,10,22,False,23.2
grid_200,Z12,1590,default,1,1.055,2,0.23,4.87,11,220,1,0,0,3.0,False,0,10,22,False,20.6
grid_200,Z12,1590,default,2,1.065,2,0.06,4.21,11,220,1,0,0,3.0,False,0,10,22,False,18.9
grid_200,Z12,1590,align,0,1.055,2,0.05,16.71,16,732,2,748,44,3.0,False,0,12,24,False,30.8
grid_200,Z12,1590,align,1,1.02,2,0.05,16.99,16,732,2,748,44,3.0,False,0,12,24,False,31.3
grid_200,Z12,1590,align,2,1.02,2,0.05,16.83,16,732,2,748,44,3.0,False,0,12,24,False,30.4
honeycomb_200,Z12,32393,default,0,1.09,2,0.02,3.49,7,116,2,0,0,9.0,False,0,9,19,False,20.9
honeycomb_200,Z12,32393,default,1,1.105,2,0.01,3.45,7,116,2,0,0,9.0,False,0,9,19,False,22.4
honeycomb_200,Z12,32393,default,2,1.06,2,0.01,3.54,7,116,2,0,0,9.0,False,0,9,19,False,19.9
honeycomb_200,Z12,32393,align,0,1.075,2,0.01,20.1,14,851,4,865,47,9.0,False,0,17,35,False,39.4
honeycomb_200,Z12,32393,align,1,1.085,2,0.22,20.07,14,851,4,865,47,9.0,False,0,17,35,False,40.0
honeycomb_200,Z12,32393,align,2,1.07,2,0.3,19.93,14,851,4,865,47,9.0,False,0,17,35,False,38.8
king_graph_196,Z12,32622,default,0,1.73,3,0.02,6.37,6,271,2,0,0,8.0,False,4,11,10,False,60.0
king_graph_196,Z12,32622,default,1,1.495,3,0.02,6.35,6,271,2,0,0,8.0,False,0,11,10,False,60.0
king_graph_196,Z12,32622,default,2,1.796,4,0.02,6.46,6,271,2,0,0,8.0,False,8,11,10,False,60.0
king_graph_196,Z12,32622,align,0,1.439,2,0.02,23.36,24,931,6,955,29,7.0,False,1,8,17,False,60.0
king_graph_196,Z12,32622,align,1,1.592,3,0.02,23.38,24,931,6,955,29,7.0,False,2,8,17,False,60.0
