cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,questions,time
K100,Z12,,mm+ball,0,7.84,9,True,0,0.0,0,33.4
K100,Z12,,mm+ball,1,7.84,9,True,0,0.1,0,36.8
K100,Z12,,mm+ball,2,7.84,9,True,0,0.1,0,42.6
K100,Z12,,ball,0,7.84,9,True,0,0.1,0,2.1
K100,Z12,,ball,1,7.84,9,True,0,0.1,0,1.5
K100,Z12,,ball,2,7.84,9,True,0,0.1,0,2.1
K100,Z12,,ball+mm,0,7.84,9,True,0,0.0,0,34.2
K100,Z12,,ball+mm,1,7.84,9,True,0,0.1,0,37.5
K100,Z12,,ball+mm,2,7.84,9,True,0,0.0,0,34.5
K140,Z12,,mm+ball,0,10.229,11,True,0,0.2,0,67.1
K140,Z12,,mm+ball,1,10.229,11,True,0,0.2,0,72.7
K140,Z12,,mm+ball,2,10.229,11,True,0,0.1,0,64.8
K140,Z12,,ball,0,10.229,11,True,0,0.1,0,3.7
K140,Z12,,ball,1,10.229,11,True,0,0.2,0,5.5
K140,Z12,,ball,2,10.229,11,True,0,0.2,0,5.5
K140,Z12,,ball+mm,0,10.229,11,True,0,0.1,0,69.7
K140,Z12,,ball+mm,1,10.229,11,True,0,0.1,0,63.8
K140,Z12,,ball+mm,2,10.229,11,True,0,0.2,0,66.7
ER100_d10,Z12,,mm+ball,0,4.66,8,False,0,53.3,61,60.0
ER100_d10,Z12,,mm+ball,1,5.06,9,False,0,55.7,49,60.0
ER100_d10,Z12,,mm+ball,2,4.75,8,False,0,53.3,62,60.1
ER100_d10,Z12,,ball,0,5.94,10,False,1,58.0,42,60.0
ER100_d10,Z12,,ball,1,5.99,10,False,1,58.6,42,60.0
ER100_d10,Z12,,ball,2,5.94,10,False,1,58.7,42,60.0
ER100_d10,Z12,,ball+mm,0,5.94,10,False,1,58.0,42,60.0
ER100_d10,Z12,,ball+mm,1,5.99,10,False,1,58.0,42,60.1
ER100_d10,Z12,,ball+mm,2,5.94,10,False,1,58.0,42,60.1
turan_n162,Z12,2647,mm+ball,0,6.0,6,True,0,18.2,22,60.2
turan_n162,Z12,2647,mm+ball,1,6.0,6,True,0,3.1,22,60.2
turan_n162,Z12,2647,mm+ball,2,6.0,6,True,0,11.2,22,60.2
turan_n162,Z12,2647,mm+ball,3,6.0,6,True,0,18.9,22,60.3
turan_n162,Z12,2647,mm+ball,4,6.0,6,True,0,18.4,22,60.1
turan_n162,Z12,2647,mm+ball,5,6.0,6,True,0,7.7,22,60.5
turan_n162,Z12,2647,mm+ball,6,6.0,6,True,0,12.1,22,60.1
turan_n162,Z12,2647,mm+ball,7,6.0,6,True,0,11.3,22,60.1
turan_n162,Z12,2647,mm+ball,8,6.228,7,True,0,9.1,23,60.4
turan_n162,Z12,2647,mm+ball,9,6.0,6,True,0,8.5,22,60.2
turan_n162,Z12,2647,ball,0,6.0,6,True,0,51.2,22,60.4
turan_n162,Z12,2647,ball,1,7.63,12,True,0,51.0,22,60.1
turan_n162,Z12,2647,ball,2,6.0,6,True,0,44.8,22,60.1
turan_n162,Z12,2647,ball,3,6.0,6,True,0,51.2,22,60.5
turan_n162,Z12,2647,ball,4,6.0,6,True,0,46.5,22,60.5
turan_n162,Z12,2647,ball,5,7.63,12,True,0,46.0,22,60.2
turan_n162,Z12,2647,ball,6,6.0,6,True,0,46.0,22,60.2
turan_n162,Z12,2647,ball,7,7.63,12,True,0,51.2,22,60.3
turan_n162,Z12,2647,ball,8,7.63,12,True,0,52.2,22,61.7
turan_n162,Z12,2647,ball,9,6.0,6,True,0,55.6,22,65.0
turan_n162,Z12,2647,ball+mm,0,6.0,6,True,0,53.0,22,62.5
turan_n162,Z12,2647,ball+mm,1,7.63,12,True,0,53.2,22,63.1
turan_n162,Z12,2647,ball+mm,2,6.0,6,True,0,47.4,22,62.2
turan_n162,Z12,2647,ball+mm,3,6.0,6,True,0,48.2,22,61.7
turan_n162,Z12,2647,ball+mm,4,6.0,6,True,0,50.1,22,60.7
turan_n162,Z12,2647,ball+mm,5,7.63,12,True,0,47.7,22,62.6
turan_n162,Z12,2647,ball+mm,6,6.0,6,True,0,50.6,22,60.9
turan_n162,Z12,2647,ball+mm,7,7.63,12,True,0,48.7,22,60.1
turan_n162,Z12,2647,ball+mm,8,7.63,12,True,0,51.1,22,60.6
turan_n162,Z12,2647,ball+mm,9,6.0,6,True,0,47.2,22,60.1
spin_glass_n163,Z12,37309,mm+ball,0,11.417,13,True,0,12.9,7,60.2
spin_glass_n163,Z12,37309,mm+ball,1,11.417,13,True,0,10.2,7,60.3
spin_glass_n163,Z12,37309,mm+ball,2,11.417,13,True,0,11.1,7,60.1
spin_glass_n163,Z12,37309,ball,0,11.417,13,True,0,21.4,7,49.2
spin_glass_n163,Z12,37309,ball,1,11.417,13,True,0,20.9,7,49.9
