cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,default,1,2.749,9,0.14,29.85,11,346,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,2,2.432,7,0.22,29.71,11,318,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,3,2.51,10,0.18,29.79,11,338,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,4,2.521,8,0.11,29.88,11,350,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,5,2.751,8,0.64,29.3,11,316,1,0,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,6,2.348,7,0.64,29.32,11,335,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,7,2.556,8,0.29,29.69,11,357,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,8,2.628,8,0.17,29.81,11,316,1,0,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,9,2.418,8,0.16,29.8,11,341,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,cens,0,2.595,9,0.13,29.85,11,303,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,cens,1,2.749,9,0.13,29.8,11,295,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,cens,2,2.432,7,0.21,29.73,11,311,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,cens,3,2.51,10,4.46,25.5,11,295,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,cens,4,2.521,8,7.1,22.87,11,271,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,cens,5,2.751,8,6.02,23.94,11,282,1,0,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,cens,6,2.348,7,5.77,24.18,11,281,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,cens,7,2.556,8,5.17,24.78,11,287,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,cens,8,2.628,8,2.94,26.97,11,316,1,0,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,cens,9,2.418,8,3.17,26.75,11,319,1,0,0,0,19.0,False,0,30,34,False,60.0
grid_200,Z12,1590,default,0,1.07,2,0.08,6.36,11,220,1,0,0,0,3.0,False,0,10,22,False,27.3
grid_200,Z12,1590,default,1,1.055,2,0.06,4.78,11,220,1,0,0,0,3.0,False,0,10,22,False,22.0
grid_200,Z12,1590,default,2,1.065,2,0.06,4.95,11,220,1,0,0,0,3.0,False,0,10,22,False,21.0
grid_200,Z12,1590,cens,0,1.07,2,0.06,5.43,11,220,1,0,0,0,3.0,False,0,10,22,False,26.2
grid_200,Z12,1590,cens,1,1.055,2,0.06,5.29,11,220,1,0,0,0,3.0,False,0,10,22,False,23.3
grid_200,Z12,1590,cens,2,1.065,2,0.06,5.39,11,220,1,0,0,0,3.0,False,0,10,22,False,23.3
honeycomb_200,Z12,32393,default,0,1.09,2,0.06,3.88,7,116,2,0,0,0,9.0,False,0,9,19,False,26.6
honeycomb_200,Z12,32393,default,1,1.105,2,0.13,4.1,7,116,2,0,0,0,9.0,False,0,9,19,False,28.3
honeycomb_200,Z12,32393,default,2,1.06,2,0.07,4.0,7,116,2,0,0,0,9.0,False,0,9,19,False,24.6
honeycomb_200,Z12,32393,cens,0,1.09,2,0.04,4.23,7,116,2,0,0,0,9.0,False,0,9,19,False,25.6
honeycomb_200,Z12,32393,cens,1,1.105,2,0.04,4.31,7,116,2,0,0,0,9.0,False,0,9,19,False,27.6
honeycomb_200,Z12,32393,cens,2,1.06,2,0.01,4.26,7,116,2,0,0,0,9.0,False,0,9,19,False,25.5
king_graph_196,Z12,32622,default,0,1.735,3,0.03,7.38,6,271,2,0,0,0,8.0,False,3,11,10,False,60.0
king_graph_196,Z12,32622,default,1,1.495,3,0.03,7.59,6,271,2,0,0,0,8.0,False,0,11,10,False,60.0
king_graph_196,Z12,32622,default,2,1.811,4,0.03,7.53,6,271,2,0,0,0,8.0,False,6,11,10,False,60.0
king_graph_196,Z12,32622,cens,0,1.796,4,0.03,9.62,6,294,2,0,0,0,7.0,False,8,9,13,False,60.0
king_graph_196,Z12,32622,cens,1,1.546,3,0.03,9.61,6,294,2,0,0,0,7.0,False,1,9,13,False,60.0
king_graph_196,Z12,32622,cens,2,1.612,3,0.03,9.27,6,294,2,0,0,0,7.0,False,1,9,13,False,60.0
K100,P16,,default,0,11.23,16,0.0,0.9,0,0,0,0,0,0,15.0,,0,,,,29.4
K100,P16,,default,1,11.51,17,0.0,0.89,0,0,0,0,0,0,15.0,,0,,,,30.8
K100,P16,,default,2,11.65,17,0.0,0.87,0,0,0,0,0,0,15.0,,0,,,,60.4
K100,P16,,cens,0,11.23,16,0.0,0.91,0,0,0,0,0,0,15.0,,0,,,,29.0
K100,P16,,cens,1,11.51,17,0.0,0.94,0,0,0,0,0,0,15.0,,0,,,,31.5
K100,P16,,cens,2,11.65,17,0.0,0.9,0,0,0,0,0,0,15.0,,0,,,,61.0
turan_n162,P16,2647,default,0,7.654,8,0.02,7.01,3,107,0,0,0,0,14.0,,0,,,,60.3
turan_n162,P16,2647,default,1,7.815,8,0.11,7.03,3,107,0,0,0,0,14.0,,0,,,,62.5
turan_n162,P16,2647,default,2,7.654,8,0.01,9.54,3,107,0,0,0,0,14.0,,0,,,,60.5
turan_n162,P16,2647,cens,0,8.29,9,0.14,13.01,4,65,0,0,0,0,16.0,,0,,,,62.9
turan_n162,P16,2647,cens,1,8.432,10,0.27,10.26,4,65,0,0,0,0,16.0,,0,,,,60.1
turan_n162,P16,2647,cens,2,8.29,9,0.26,10.44,4,65,0,0,0,0,16.0,,0,,,,60.8
ws_n486,P16,17188,default,0,3.095,10,0.1,30.05,19,410,1,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,default,1,3.44,11,0.09,30.62,7,338,2,0,0,0,13.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.387,14,0.08,30.69,7,338,2,0,0,0,13.0,,0,,,,60.0
ws_n486,P16,17188,cens,0,3.202,15,0.23,30.32,11,334,2,0,0,0,14.0,,2,,,,60.0
ws_n486,P16,17188,cens,1,3.123,11,0.08,30.51,21,359,7,0,0,0,13.0,,0,,,,60.0
ws_n486,P16,17188,cens,2,3.208,12,0.08,30.76,11,334,2,0,0,0,14.0,,0,,,,60.0
