cell,fabric,gid,arm,seed,final_acl,max_chain,ball_acc,mm_skipped,fold_acc,time
K100,Z12,,default,0,7.84,9,0,True,0,19.5
K100,Z12,,default,1,7.84,9,0,True,0,22.1
K100,Z12,,default,2,7.84,9,0,True,0,21.7
K100,Z12,,ball,0,7.84,9,0,True,0,1.1
K100,Z12,,ball,1,7.84,9,0,True,0,1.1
K100,Z12,,ball,2,7.84,9,0,True,0,1.1
K100,Z12,,ballS,0,7.84,9,0,True,0,1.7
K100,Z12,,ballS,1,7.84,9,0,True,0,1.6
K100,Z12,,ballS,2,7.84,9,0,True,0,1.6
K100,Z12,,ballSF,0,7.81,9,0,True,2,2.5
K100,Z12,,ballSF,1,7.81,9,0,True,2,2.5
K100,Z12,,ballSF,2,7.81,9,0,True,2,2.5
K140,Z12,,default,0,10.229,11,0,True,0,66.0
K140,Z12,,default,1,10.229,11,0,True,0,66.9
K140,Z12,,default,2,10.229,11,0,True,0,63.9
K140,Z12,,ball,0,10.229,11,0,True,0,2.9
K140,Z12,,ball,1,10.229,11,0,True,0,2.8
K140,Z12,,ball,2,10.229,11,0,True,0,2.8
K140,Z12,,ballS,0,10.229,11,0,True,0,4.7
K140,Z12,,ballS,1,10.229,11,0,True,0,4.7
K140,Z12,,ballS,2,10.229,11,0,True,0,4.7
K140,Z12,,ballSF,0,10.229,11,0,True,0,8.3
K140,Z12,,ballSF,1,10.229,11,0,True,0,8.3
K140,Z12,,ballSF,2,10.229,11,0,True,0,8.3
ER100_d10,Z12,,default,0,4.66,8,0,False,0,60.0
ER100_d10,Z12,,default,1,5.06,9,0,False,0,60.0
ER100_d10,Z12,,default,2,4.75,8,0,False,0,60.0
ER100_d10,Z12,,ball,0,5.94,10,1,False,0,60.0
ER100_d10,Z12,,ball,1,5.99,10,1,False,0,60.0
ER100_d10,Z12,,ball,2,5.94,10,1,False,0,60.0
ER100_d10,Z12,,ballS,0,5.88,9,0,False,0,60.0
ER100_d10,Z12,,ballS,1,5.78,9,1,False,0,60.0
ER100_d10,Z12,,ballS,2,5.88,9,0,False,0,60.1
ER100_d10,Z12,,ballSF,0,5.88,9,0,False,0,60.0
ER100_d10,Z12,,ballSF,1,5.78,9,1,False,0,60.1
ER100_d10,Z12,,ballSF,2,5.88,9,0,False,0,60.0
turan_n162,Z12,2647,default,0,6.0,6,0,True,0,60.1
turan_n162,Z12,2647,default,1,6.228,7,0,True,0,60.2
turan_n162,Z12,2647,default,2,6.0,6,0,True,0,60.0
turan_n162,Z12,2647,default,3,6.0,6,0,True,0,60.1
turan_n162,Z12,2647,default,4,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,default,5,6.0,6,0,True,0,60.3
turan_n162,Z12,2647,default,6,6.0,6,0,True,0,60.2
turan_n162,Z12,2647,default,7,6.0,6,0,True,0,60.5
turan_n162,Z12,2647,default,8,6.228,7,0,True,0,60.1
turan_n162,Z12,2647,default,9,6.0,6,0,True,0,60.3
turan_n162,Z12,2647,ball,0,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,ball,1,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ball,2,6.0,6,0,True,0,60.2
turan_n162,Z12,2647,ball,3,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,ball,4,6.0,6,0,True,0,60.0
turan_n162,Z12,2647,ball,5,7.63,12,0,True,0,60.1
turan_n162,Z12,2647,ball,6,6.0,6,0,True,0,60.3
turan_n162,Z12,2647,ball,7,7.63,12,0,True,0,60.1
turan_n162,Z12,2647,ball,8,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ball,9,6.0,6,0,True,0,60.2
turan_n162,Z12,2647,ballS,0,6.0,6,0,True,0,60.1
turan_n162,Z12,2647,ballS,1,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ballS,2,6.0,6,0,True,0,60.5
turan_n162,Z12,2647,ballS,3,6.0,6,0,True,0,60.3
turan_n162,Z12,2647,ballS,4,6.0,6,0,True,0,60.3
turan_n162,Z12,2647,ballS,5,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ballS,6,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,ballS,7,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ballS,8,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ballS,9,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,ballSF,0,6.0,6,0,True,0,60.5
turan_n162,Z12,2647,ballSF,1,7.63,12,0,True,0,60.1
turan_n162,Z12,2647,ballSF,2,6.0,6,0,True,0,60.6
turan_n162,Z12,2647,ballSF,3,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,ballSF,4,6.0,6,0,True,0,60.1
turan_n162,Z12,2647,ballSF,5,7.63,12,0,True,0,60.2
turan_n162,Z12,2647,ballSF,6,6.0,6,0,True,0,60.4
