cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,flip_acc,flip_sweeps,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,default,2,2.432,7,0.1,29.77,11,481,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,3,2.51,10,0.09,29.79,11,490,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,4,2.514,8,0.09,29.88,11,453,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,5,2.751,8,0.08,29.87,11,462,1,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,6,2.348,7,0.09,29.87,11,466,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,7,2.556,8,0.19,29.75,11,456,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,8,2.628,8,0.09,29.91,11,461,1,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,9,2.418,8,0.08,29.9,11,450,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,oflip,0,2.477,8,0.13,29.74,11,390,3,72941,2523,21.0,False,0,48,49,False,60.0
ws_n486,Z12,17188,oflip,1,2.51,8,0.1,29.87,11,388,3,72617,2511,21.0,False,0,48,49,False,60.0
ws_n486,Z12,17188,oflip,2,2.539,8,0.11,29.77,11,388,3,72617,2511,21.0,False,1,48,49,False,60.0
ws_n486,Z12,17188,oflip,3,2.576,8,2.71,27.16,11,380,3,71209,2459,21.0,False,0,48,49,False,60.0
ws_n486,Z12,17188,oflip,4,2.599,8,3.04,26.89,11,373,3,69876,2411,21.0,False,0,48,49,False,60.0
ws_n486,Z12,17188,oflip,5,2.621,9,1.81,28.11,11,379,3,70989,2451,21.0,False,2,48,49,False,60.0
ws_n486,Z12,17188,oflip,6,2.541,8,2.98,27.01,11,375,3,70203,2423,21.0,False,0,48,49,False,60.0
ws_n486,Z12,17188,oflip,7,2.628,9,2.22,27.56,11,382,3,71642,2475,21.0,False,1,48,49,False,60.0
ws_n486,Z12,17188,oflip,8,2.547,8,0.09,29.79,11,420,3,77406,2687,21.0,False,1,48,49,False,60.0
ws_n486,Z12,17188,oflip,9,2.564,8,0.08,29.79,11,419,3,77300,2683,21.0,False,0,48,49,False,60.0
grid_200,Z12,1590,default,0,1.07,2,0.05,4.3,11,220,1,0,0,3.0,False,0,10,22,False,21.9
grid_200,Z12,1590,default,1,1.055,2,0.05,4.2,11,220,1,0,0,3.0,False,0,10,22,False,19.0
grid_200,Z12,1590,default,2,1.065,2,0.06,4.3,11,220,1,0,0,3.0,False,0,10,22,False,18.7
grid_200,Z12,1590,oflip,0,1.095,2,0.05,6.51,8,329,1,6200,1384,5.0,False,0,10,24,False,27.0
grid_200,Z12,1590,oflip,1,1.09,2,0.06,6.52,8,329,1,6200,1384,5.0,False,0,10,24,False,25.8
grid_200,Z12,1590,oflip,2,1.09,2,0.05,6.44,8,329,1,6200,1384,5.0,False,1,10,24,False,42.2
honeycomb_200,Z12,32393,default,0,1.09,2,0.03,3.5,7,116,2,0,0,9.0,False,0,9,19,False,20.3
honeycomb_200,Z12,32393,default,1,1.105,2,0.01,3.49,7,116,2,0,0,9.0,False,0,9,19,False,22.3
honeycomb_200,Z12,32393,default,2,1.06,2,0.02,3.45,7,116,2,0,0,9.0,False,0,9,19,False,19.4
honeycomb_200,Z12,32393,oflip,0,1.14,2,0.02,2.76,9,94,2,2007,407,8.0,False,0,15,30,False,23.4
honeycomb_200,Z12,32393,oflip,1,1.07,2,0.02,2.79,9,94,2,2007,407,8.0,False,0,15,30,False,20.6
honeycomb_200,Z12,32393,oflip,2,1.065,2,0.01,2.79,9,94,2,2007,407,8.0,False,0,15,30,False,23.5
king_graph_196,Z12,32622,default,0,1.73,3,0.02,6.41,6,271,2,0,0,8.0,False,4,11,10,False,60.0
king_graph_196,Z12,32622,default,1,1.495,3,0.02,6.51,6,271,2,0,0,8.0,False,0,11,10,False,60.0
king_graph_196,Z12,32622,default,2,1.796,4,0.02,6.37,6,271,2,0,0,8.0,False,8,11,10,False,60.0
king_graph_196,Z12,32622,oflip,0,1.485,2,0.02,10.25,9,386,2,22007,2069,5.0,False,1,3,11,False,60.0
king_graph_196,Z12,32622,oflip,1,1.551,3,0.02,10.08,9,386,2,22007,2069,5.0,False,1,3,11,False,60.0
king_graph_196,Z12,32622,oflip,2,1.551,3,0.02,10.11,9,386,2,22007,2069,5.0,False,0,3,11,False,60.0
K100,P16,,default,0,11.23,16,0.0,0.75,0,0,0,0,0,15.0,,0,,,,21.1
K100,P16,,default,1,11.51,17,0.0,0.74,0,0,0,0,0,15.0,,0,,,,20.7
K100,P16,,default,2,11.65,17,0.0,0.74,0,0,0,0,0,15.0,,0,,,,46.2
K100,P16,,oflip,0,12.23,19,0.0,0.83,0,0,0,231,18,16.0,,0,,,,21.9
K100,P16,,oflip,1,12.24,17,0.0,0.82,0,0,0,231,18,16.0,,0,,,,50.4
K100,P16,,oflip,2,12.29,19,0.0,0.83,0,0,0,231,18,16.0,,0,,,,20.9
turan_n162,P16,2647,default,0,7.654,8,0.0,6.0,3,107,0,0,0,14.0,,0,,,,60.0
turan_n162,P16,2647,default,1,7.815,8,0.0,5.99,3,107,0,0,0,14.0,,0,,,,60.3
turan_n162,P16,2647,default,2,7.654,8,0.01,6.13,3,107,0,0,0,14.0,,0,,,,60.3
turan_n162,P16,2647,oflip,0,7.654,8,0.25,6.84,8,82,0,5785,263,14.0,,0,,,,60.3
turan_n162,P16,2647,oflip,1,7.654,8,0.22,6.89,8,82,0,5785,263,14.0,,0,,,,60.0
turan_n162,P16,2647,oflip,2,7.654,8,0.02,6.99,8,82,0,5785,263,14.0,,0,,,,60.3
ws_n486,P16,17188,default,0,3.294,13,0.19,23.09,11,331,2,0,0,12.0,,2,,,,60.0
ws_n486,P16,17188,default,1,3.377,12,0.17,24.47,7,338,2,0,0,13.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.685,13,0.17,27.58,19,410,1,0,0,14.0,,1,,,,60.0
ws_n486,P16,17188,oflip,0,3.521,12,0.07,27.09,17,368,5,45792,2410,19.0,,0,,,,60.0
ws_n486,P16,17188,oflip,1,3.265,10,0.07,26.57,14,326,1,49929,1902,13.0,,0,,,,60.0
ws_n486,P16,17188,oflip,2,3.21,11,0.07,29.68,14,405,2,61175,2151,13.0,,0,,,,60.0
