cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,widen_asked,widen_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,inner,3,4.9,8,0.05,11.14,5,375|98|12|14|0,499,0,7251,500,2.31,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,inner,4,4.9,8,0.05,11.55,5,375|98|12|14|0,499,0,7251,500,2.33,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,inner,5,4.9,8,0.05,11.21,5,375|98|12|14|0,499,0,7251,500,2.3,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,inner,6,4.31,7,0.05,11.15,5,375|98|12|14|0,499,0,7251,500,2.29,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,inner,7,4.48,7,0.05,11.75,5,375|98|12|14|0,499,0,7251,500,2.36,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,inner,8,4.89,8,0.05,11.41,5,375|98|12|14|0,499,0,7251,500,2.39,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,inner,9,4.58,8,0.05,11.22,5,375|98|12|14|0,499,0,7251,500,2.35,365,0,193,0,0,0,658.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,0,4.16,7,0.05,10.52,5,333|108|60|5|0,506,0,7244,507,5.89,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,1,4.79,9,0.05,10.71,5,333|108|60|5|0,506,0,7244,507,6.01,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,2,4.84,9,0.05,10.52,5,333|108|60|5|0,506,0,7244,507,5.95,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,3,4.39,9,0.05,10.88,5,333|108|60|5|0,506,0,7244,507,6.28,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,widen,4,4.38,8,0.05,10.58,5,333|108|60|5|0,506,0,7244,507,6.02,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,widen,5,4.79,9,0.05,10.73,5,333|108|60|5|0,506,0,7244,507,6.17,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
