cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,widen_asked,widen_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
grid_200,Z12,1590,widen,0,1.44,3,0.06,29.46,6,367|352|82|301|32|0,1134,0,9666,1135,2.07,241,0,339,573,288,0,295.0,10.0,True,0,0,0,True,60.0
grid_200,Z12,1590,widen,1,1.16,2,0.06,29.87,6,367|352|82|301|32|0,1134,0,8469,1135,2.78,241,0,339,573,288,0,295.0,10.0,True,0,0,0,True,60.0
grid_200,Z12,1590,widen,2,1.435,3,0.06,29.87,6,367|352|82|301|32|0,1134,0,8498,1135,2.91,241,0,339,573,288,0,295.0,10.0,True,1,0,0,True,60.0
honeycomb_200,Z12,32393,plane,0,1.335,3,0.5,14.71,4,334|58|3|0,395,0,6245,396,5.15,333,0,62,0,0,0,249.0,10.0,True,0,0,0,True,37.8
honeycomb_200,Z12,32393,plane,1,1.43,3,0.47,15.04,4,334|58|3|0,395,0,6245,396,5.46,333,0,62,0,0,0,249.0,10.0,True,0,0,0,True,43.7
honeycomb_200,Z12,32393,plane,2,1.23,2,0.41,14.72,4,334|58|3|0,395,0,6245,396,5.1,333,0,62,0,0,0,249.0,10.0,True,0,0,0,True,34.8
honeycomb_200,Z12,32393,inner,0,1.335,3,0.53,21.4,5,334|46|19|12|0,411,0,7889,412,5.04,333,0,62,0,0,0,249.0,10.0,True,0,0,0,True,44.4
honeycomb_200,Z12,32393,inner,1,1.43,3,0.5,21.21,5,334|46|19|12|0,411,0,7889,412,4.91,333,0,62,0,0,0,249.0,10.0,True,0,0,0,True,50.3
honeycomb_200,Z12,32393,inner,2,1.23,2,0.32,21.82,5,334|46|19|12|0,411,0,7889,412,4.7,333,0,62,0,0,0,249.0,10.0,True,0,0,0,True,43.3
honeycomb_200,Z12,32393,widen,0,1.375,3,0.04,14.08,4,323|25|3|0,351,0,6289,352,2.28,243,0,26,159,111,0,264.0,8.0,True,0,0,0,True,47.1
honeycomb_200,Z12,32393,widen,1,1.3,2,0.27,13.94,4,323|25|3|0,351,0,6289,352,2.11,243,0,26,159,111,0,264.0,8.0,True,0,0,0,True,43.4
honeycomb_200,Z12,32393,widen,2,1.275,2,0.2,13.65,4,323|25|3|0,351,0,6289,352,2.07,243,0,26,159,111,0,264.0,8.0,True,0,0,0,True,45.3
king_graph_196,Z12,32622,plane,0,1.781,4,0.02,29.92,5,710|238|139|23|5,1115,0,9267,1116,5.53,566,0,340,0,0,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,plane,1,1.735,4,0.02,29.8,5,710|238|139|23|1,1111,0,9034,1112,5.56,566,0,340,0,0,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,plane,2,1.954,4,0.02,29.93,5,710|238|139|23|4,1114,0,9160,1115,5.6,566,0,340,0,0,0,298.0,9.0,True,5,0,0,True,60.0
king_graph_196,Z12,32622,inner,0,1.781,4,0.02,29.91,5,710|208|90|100|8,1116,0,9232,1117,5.68,566,0,325,0,0,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,inner,1,1.735,4,0.02,29.91,5,710|208|90|100|10,1118,0,9424,1119,5.73,566,0,325,0,0,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,inner,2,1.954,4,0.03,29.92,5,710|208|90|100|10,1118,0,9512,1119,5.74,566,0,325,0,0,0,298.0,9.0,True,5,0,0,True,60.0
king_graph_196,Z12,32622,widen,0,2.372,5,0.02,27.94,5,556|235|61|1|0,853,0,11377,854,2.41,342,0,187,394,214,0,307.0,9.0,True,10,0,0,True,60.1
king_graph_196,Z12,32622,widen,1,1.918,4,0.03,28.16,5,556|235|61|1|0,853,0,11377,854,2.47,342,0,187,394,214,0,307.0,9.0,True,6,0,0,True,60.0
king_graph_196,Z12,32622,widen,2,1.98,4,0.03,28.41,5,556|235|61|1|0,853,0,11377,854,2.54,342,0,187,394,214,0,307.0,9.0,True,8,0,0,True,60.1
