cell,arm,seed,final_acl,legal_acl,rounds,time,diag
ER100_d10,mu0,1,5.51,8.39,10,10.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.3361}"
ER100_d10,hinge0,1,5.65,9.05,10,8.6,"{'mu_total': 63.4884, 'mu_stale_frac': 0.6591, 'max_violation': 43.9751}"
ER100_d10,geo10,1,5.64,8.16,10,9.7,"{'mu_total': 17.1964, 'mu_stale_frac': 0.3228, 'max_violation': 30.9044}"
ER100_d10,geo1_frozen,1,5.45,8.9,10,8.4,"{'mu_total': 62.5918, 'mu_stale_frac': 0.6283, 'max_violation': 49.7111}"
ER100_d10,geo10_frozen,1,5.73,8.14,10,12.9,"{'mu_total': 23.9038, 'mu_stale_frac': 0.5861, 'max_violation': 31.9129}"
ER100_d10,mm-full,1,5.51,,,4.6,
ER100_d10,default,2,5.83,8.19,10,8.7,"{'mu_total': 87.4535, 'mu_stale_frac': 0.5099, 'max_violation': 39.2843}"
ER100_d10,mu0,2,6.0,8.23,10,7.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 48.6542}"
ER100_d10,hinge0,2,5.84,8.55,10,9.0,"{'mu_total': 77.3527, 'mu_stale_frac': 0.6905, 'max_violation': 49.5944}"
ER100_d10,geo10,2,5.44,7.54,10,9.5,"{'mu_total': 16.025, 'mu_stale_frac': 0.2945, 'max_violation': 27.9622}"
ER100_d10,geo1_frozen,2,5.24,7.84,10,8.9,"{'mu_total': 86.3188, 'mu_stale_frac': 0.7018, 'max_violation': 35.597}"
ER100_d10,geo10_frozen,2,6.02,8.0,10,11.0,"{'mu_total': 16.6155, 'mu_stale_frac': 0.3515, 'max_violation': 27.2616}"
ER100_d10,mm-full,2,5.84,,,3.7,
ER100_d10,default,3,5.92,8.36,10,7.5,"{'mu_total': 82.0445, 'mu_stale_frac': 0.5559, 'max_violation': 38.9772}"
ER100_d10,mu0,3,5.83,8.23,10,8.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 36.9395}"
ER100_d10,hinge0,3,5.65,8.36,10,9.3,"{'mu_total': 70.2236, 'mu_stale_frac': 0.6739, 'max_violation': 40.1507}"
ER100_d10,geo10,3,6.06,8.16,10,9.5,"{'mu_total': 18.2011, 'mu_stale_frac': 0.3895, 'max_violation': 31.6724}"
ER100_d10,geo1_frozen,3,5.96,8.35,10,6.7,"{'mu_total': 58.5198, 'mu_stale_frac': 0.5049, 'max_violation': 48.2423}"
ER100_d10,geo10_frozen,3,5.55,8.49,10,11.1,"{'mu_total': 23.0257, 'mu_stale_frac': 0.5409, 'max_violation': 31.4975}"
ER100_d10,mm-full,3,6.18,,,3.7,
ER100_d10,default,4,5.76,8.42,10,7.7,"{'mu_total': 74.0879, 'mu_stale_frac': 0.6134, 'max_violation': 41.6405}"
ER100_d10,mu0,4,5.79,8.33,10,9.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.9135}"
ER100_d10,hinge0,4,5.95,7.97,10,8.2,"{'mu_total': 62.773, 'mu_stale_frac': 0.4544, 'max_violation': 45.4439}"
ER100_d10,geo10,4,6.0,8.53,10,11.4,"{'mu_total': 17.4366, 'mu_stale_frac': 0.2599, 'max_violation': 26.5174}"
ER100_d10,geo1_frozen,4,5.92,10.12,10,8.1,"{'mu_total': 54.8361, 'mu_stale_frac': 0.6431, 'max_violation': 43.6334}"
ER100_d10,geo10_frozen,4,5.94,7.78,10,10.7,"{'mu_total': 24.2453, 'mu_stale_frac': 0.445, 'max_violation': 36.4334}"
ER100_d10,mm-full,4,5.52,,,6.1,
regular_n316,default,0,3.5,4.63,10,8.3,"{'mu_total': 63.8925, 'mu_stale_frac': 0.3248, 'max_violation': 12.0628}"
regular_n316,mu0,0,3.652,4.791,10,10.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5011}"
regular_n316,hinge0,0,3.481,4.63,10,8.3,"{'mu_total': 71.0411, 'mu_stale_frac': 0.2482, 'max_violation': 14.3673}"
regular_n316,geo10,0,3.595,4.56,10,11.2,"{'mu_total': 21.7815, 'mu_stale_frac': 0.3875, 'max_violation': 8.035}"
regular_n316,geo1_frozen,0,3.81,4.712,10,7.4,"{'mu_total': 59.3554, 'mu_stale_frac': 0.3236, 'max_violation': 15.7016}"
regular_n316,geo10_frozen,0,3.462,4.528,10,11.6,"{'mu_total': 23.0854, 'mu_stale_frac': 0.2847, 'max_violation': 10.7377}"
regular_n316,mm-full,0,3.953,,,3.0,
regular_n316,default,1,3.456,5.146,10,8.9,"{'mu_total': 65.9142, 'mu_stale_frac': 0.3652, 'max_violation': 12.4545}"
regular_n316,mu0,1,3.563,4.975,10,9.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 18.7625}"
regular_n316,hinge0,1,3.57,4.763,10,8.7,"{'mu_total': 66.6061, 'mu_stale_frac': 0.2991, 'max_violation': 15.7912}"
regular_n316,geo10,1,3.715,4.424,10,11.6,"{'mu_total': 22.4049, 'mu_stale_frac': 0.4106, 'max_violation': 10.651}"
regular_n316,geo1_frozen,1,3.345,4.636,10,8.8,"{'mu_total': 56.9345, 'mu_stale_frac': 0.4143, 'max_violation': 16.45}"
regular_n316,geo10_frozen,1,3.402,4.389,10,11.3,"{'mu_total': 22.9376, 'mu_stale_frac': 0.2717, 'max_violation': 7.6563}"
regular_n316,mm-full,1,4.234,,,2.7,
regular_n316,default,2,3.547,4.778,10,8.4,"{'mu_total': 61.1684, 'mu_stale_frac': 0.3387, 'max_violation': 11.4578}"
regular_n316,mu0,2,3.396,4.94,10,9.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.52}"
regular_n316,hinge0,2,3.475,4.579,10,8.4,"{'mu_total': 70.184, 'mu_stale_frac': 0.206, 'max_violation': 13.1338}"
regular_n316,geo10,2,3.551,4.472,10,11.6,"{'mu_total': 22.1996, 'mu_stale_frac': 0.2576, 'max_violation': 9.8222}"
regular_n316,geo1_frozen,2,3.535,4.671,10,8.7,"{'mu_total': 50.6962, 'mu_stale_frac': 0.4069, 'max_violation': 12.9944}"
regular_n316,geo10_frozen,2,3.424,4.835,10,11.6,"{'mu_total': 23.4414, 'mu_stale_frac': 0.2709, 'max_violation': 11.7754}"
regular_n316,mm-full,2,3.861,,,2.6,
regular_n316,default,3,3.506,4.668,10,8.8,"{'mu_total': 57.9114, 'mu_stale_frac': 0.3907, 'max_violation': 15.9771}"
regular_n316,mu0,3,3.481,4.766,10,9.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.5557}"
regular_n316,hinge0,3,3.389,4.585,10,9.0,"{'mu_total': 70.0767, 'mu_stale_frac': 0.3012, 'max_violation': 10.5586}"
regular_n316,geo10,3,3.405,4.816,10,12.0,"{'mu_total': 21.1564, 'mu_stale_frac': 0.3202, 'max_violation': 10.4948}"
regular_n316,geo1_frozen,3,3.665,5.0,10,7.9,"{'mu_total': 73.5979, 'mu_stale_frac': 0.1551, 'max_violation': 16.4848}"
regular_n316,geo10_frozen,3,3.326,4.392,10,11.6,"{'mu_total': 22.5401, 'mu_stale_frac': 0.3814, 'max_violation': 10.7514}"
regular_n316,mm-full,3,4.019,,,4.6,
regular_n316,default,4,3.494,5.063,10,9.6,"{'mu_total': 65.5452, 'mu_stale_frac': 0.2131, 'max_violation': 11.0892}"
regular_n316,mu0,4,3.367,5.275,10,10.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 19.4759}"
regular_n316,hinge0,4,3.297,4.541,10,9.6,"{'mu_total': 74.6473, 'mu_stale_frac': 0.0873, 'max_violation': 10.4793}"
regular_n316,geo10,4,3.301,4.652,10,11.7,"{'mu_total': 23.9126, 'mu_stale_frac': 0.1808, 'max_violation': 13.8678}"
regular_n316,geo1_frozen,4,3.722,5.035,10,7.6,"{'mu_total': 53.0283, 'mu_stale_frac': 0.3523, 'max_violation': 15.5324}"
regular_n316,geo10_frozen,4,3.516,4.462,10,11.4,"{'mu_total': 22.6285, 'mu_stale_frac': 0.4418, 'max_violation': 10.7808}"
regular_n316,mm-full,4,4.323,,,2.7,
ws_n486,default,0,3.154,4.115,10,25.7,"{'mu_total': 53.4838, 'mu_stale_frac': 0.5383, 'max_violation': 9.2787}"
ws_n486,mu0,0,3.305,4.107,5,25.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 15.1121}"
ws_n486,hinge0,0,3.502,4.753,10,24.4,"{'mu_total': 54.9163, 'mu_stale_frac': 0.4571, 'max_violation': 17.1716}"
ws_n486,geo10,0,2.868,4.2,10,19.4,"{'mu_total': 22.6705, 'mu_stale_frac': 0.4463, 'max_violation': 5.363}"
ws_n486,geo1_frozen,0,3.107,4.167,10,24.3,"{'mu_total': 46.0444, 'mu_stale_frac': 0.5294, 'max_violation': 10.3859}"
ws_n486,geo10_frozen,0,3.257,3.984,10,18.5,"{'mu_total': 22.4927, 'mu_stale_frac': 0.3535, 'max_violation': 7.0526}"
ws_n486,mm-full,0,4.455,,,2.8,
ws_n486,default,1,3.105,4.302,10,20.6,"{'mu_total': 52.128, 'mu_stale_frac': 0.4593, 'max_violation': 12.4117}"
ws_n486,mu0,1,3.074,4.537,10,26.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 14.5451}"
ws_n486,hinge0,1,3.064,4.305,10,24.8,"{'mu_total': 51.6472, 'mu_stale_frac': 0.4583, 'max_violation': 10.927}"
ws_n486,geo10,1,3.251,4.062,10,19.3,"{'mu_total': 21.8593, 'mu_stale_frac': 0.3412, 'max_violation': 7.6892}"
ws_n486,geo1_frozen,1,3.093,4.465,10,21.3,"{'mu_total': 58.8735, 'mu_stale_frac': 0.394, 'max_violation': 11.0358}"
ws_n486,geo10_frozen,1,3.056,4.2,10,20.3,"{'mu_total': 23.0881, 'mu_stale_frac': 0.2276, 'max_violation': 7.8936}"
ws_n486,mm-full,1,3.617,,,3.9,
ws_n486,default,2,3.068,4.611,10,24.8,"{'mu_total': 57.5862, 'mu_stale_frac': 0.5048, 'max_violation': 13.12}"
ws_n486,mu0,2,3.405,4.506,8,26.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.6161}"
ws_n486,hinge0,2,3.286,4.383,10,24.5,"{'mu_total': 60.7579, 'mu_stale_frac': 0.5771, 'max_violation': 11.8831}"
ws_n486,geo10,2,3.154,4.158,10,17.5,"{'mu_total': 21.6421, 'mu_stale_frac': 0.3958, 'max_violation': 7.6391}"
ws_n486,geo1_frozen,2,3.412,4.296,10,24.2,"{'mu_total': 52.4401, 'mu_stale_frac': 0.3915, 'max_violation': 17.6013}"
ws_n486,geo10_frozen,2,2.916,3.944,10,17.9,"{'mu_total': 22.5719, 'mu_stale_frac': 0.3568, 'max_violation': 8.4029}"
ws_n486,mm-full,2,3.584,,,4.0,
