cell,seed,final_acl,time
K100,0,12.68,25.7
K100,1,13.27,60.7
K100,2,13.61,21.6
turan_n162,0,8.0,63.6
turan_n162,1,8.765,46.4
turan_n162,2,8.593,60.6
spin_glass_n163,0,18.417,44.1
spin_glass_n163,1,19.202,16.8
spin_glass_n163,2,18.791,60.2
