cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,time
K100,Z12,,mm+ball,0,7.79,9,True,2,31.4,60.7
K100,Z12,,mm+ball,1,7.79,9,True,2,31.6,60.2
K100,Z12,,mm+ball,2,7.79,9,True,2,30.2,60.4
K100,Z12,,ball,0,7.78,9,True,3,59.0,60.2
K100,Z12,,ball,1,7.78,9,True,3,59.5,60.8
K100,Z12,,ball,2,7.78,9,True,3,59.3,60.6
K100,Z12,,ball-rng,0,7.84,9,True,0,58.6,60.5
K100,Z12,,ball-rng,1,7.84,9,True,0,59.0,60.7
K100,Z12,,ball-rng,2,7.84,9,True,0,59.0,60.2
K140,Z12,,mm+ball,0,10.229,11,True,0,0.3,68.6
K140,Z12,,mm+ball,1,10.229,11,True,0,0.3,62.0
K140,Z12,,mm+ball,2,10.229,11,True,0,0.3,68.7
K140,Z12,,ball,0,10.229,11,True,0,55.7,60.8
K140,Z12,,ball,1,10.229,11,True,0,57.3,60.8
K140,Z12,,ball,2,10.229,11,True,0,57.1,60.7
K140,Z12,,ball-rng,0,10.229,11,True,0,57.2,60.5
K140,Z12,,ball-rng,1,10.229,11,True,0,55.6,60.8
K140,Z12,,ball-rng,2,10.229,11,True,0,57.0,60.6
ER100_d10,Z12,,mm+ball,0,4.4,8,False,15,55.4,60.0
ER100_d10,Z12,,mm+ball,1,4.91,9,False,9,56.1,59.8
ER100_d10,Z12,,mm+ball,2,4.66,8,False,6,55.6,60.1
ER100_d10,Z12,,ball,0,5.31,10,False,44,58.2,60.1
ER100_d10,Z12,,ball,1,5.48,11,False,38,58.1,60.0
ER100_d10,Z12,,ball,2,5.26,10,False,47,58.6,60.0
ER100_d10,Z12,,ball-rng,0,5.4,10,False,37,58.3,60.0
ER100_d10,Z12,,ball-rng,1,5.35,11,False,45,58.8,60.1
ER100_d10,Z12,,ball-rng,2,5.44,10,False,33,58.7,60.1
turan_n162,Z12,2647,mm+ball,0,6.0,6,True,0,22.5,60.3
turan_n162,Z12,2647,mm+ball,1,6.0,6,True,0,16.2,60.3
turan_n162,Z12,2647,mm+ball,2,6.0,6,True,0,22.1,60.1
turan_n162,Z12,2647,mm+ball,3,6.0,6,True,0,21.2,60.3
turan_n162,Z12,2647,mm+ball,4,6.0,6,True,0,21.7,60.1
turan_n162,Z12,2647,mm+ball,5,6.0,6,True,0,14.6,60.1
turan_n162,Z12,2647,mm+ball,6,6.0,6,True,0,23.8,60.4
turan_n162,Z12,2647,mm+ball,7,6.0,6,True,0,15.6,60.5
turan_n162,Z12,2647,mm+ball,8,6.228,7,True,0,20.4,60.4
turan_n162,Z12,2647,mm+ball,9,6.0,6,True,0,21.6,60.1
turan_n162,Z12,2647,ball,0,6.0,6,True,0,51.1,60.1
turan_n162,Z12,2647,ball,1,7.531,10,True,8,51.5,60.4
turan_n162,Z12,2647,ball,2,6.0,6,True,0,51.3,60.1
turan_n162,Z12,2647,ball,3,6.0,6,True,0,51.0,60.0
turan_n162,Z12,2647,ball,4,6.0,6,True,0,51.1,60.2
turan_n162,Z12,2647,ball,5,7.531,10,True,8,51.7,60.3
turan_n162,Z12,2647,ball,6,6.0,6,True,0,51.4,60.3
turan_n162,Z12,2647,ball,7,7.531,10,True,8,51.1,60.1
turan_n162,Z12,2647,ball,8,7.531,10,True,8,52.0,60.8
turan_n162,Z12,2647,ball,9,6.0,6,True,0,51.2,60.1
turan_n162,Z12,2647,ball-rng,0,6.0,6,True,0,51.9,60.8
turan_n162,Z12,2647,ball-rng,1,7.593,12,True,2,46.0,60.3
turan_n162,Z12,2647,ball-rng,2,6.0,6,True,0,46.8,60.4
turan_n162,Z12,2647,ball-rng,3,6.0,6,True,0,46.1,61.8
turan_n162,Z12,2647,ball-rng,4,6.0,6,True,0,47.5,60.4
turan_n162,Z12,2647,ball-rng,5,7.568,12,True,4,47.4,60.4
turan_n162,Z12,2647,ball-rng,6,6.0,6,True,0,47.2,60.9
turan_n162,Z12,2647,ball-rng,7,7.586,12,True,4,47.3,62.0
turan_n162,Z12,2647,ball-rng,8,7.586,12,True,4,47.0,61.4
turan_n162,Z12,2647,ball-rng,9,6.0,6,True,0,55.2,68.7
spin_glass_n163,Z12,37309,mm+ball,0,11.356,13,True,7,24.3,60.0
spin_glass_n163,Z12,37309,mm+ball,1,11.356,13,True,7,25.9,60.9
