cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,rev_ov,rev_e,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,default,5,6.0,6,0.0,15.99,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,default,6,6.0,6,0.0,29.91,16,144,2,160,132,90,54,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,default,7,6.0,6,0.0,16.12,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.4
turan_n162,Z12,2647,default,8,6.0,6,0.0,15.9,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.3
turan_n162,Z12,2647,default,9,6.0,6,0.0,29.91,16,144,2,160,132,90,54,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,ins,0,6.0,6,0.0,29.9,16,143,2,159,131,89,54,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,ins,1,6.0,6,0.0,15.61,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.3
turan_n162,Z12,2647,ins,2,6.0,6,0.0,29.87,16,142,2,158,130,88,54,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,ins,3,6.0,6,0.0,29.94,16,143,2,159,131,89,54,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,ins,4,6.0,6,0.0,29.79,16,143,2,159,131,89,54,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,ins,5,6.0,6,0.0,15.69,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.3
turan_n162,Z12,2647,ins,6,6.0,6,0.0,30.0,16,144,2,160,132,90,54,22.0,True,0,0,64,False,60.4
turan_n162,Z12,2647,ins,7,6.0,6,0.0,15.68,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.0
turan_n162,Z12,2647,ins,8,6.0,6,0.0,15.57,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,ins,9,6.0,6,0.0,29.96,16,144,2,160,132,90,54,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,insreq,0,6.0,6,0.0,29.97,16,136,2,152,123,86,50,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,insreq,1,6.0,6,0.0,16.46,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.4
turan_n162,Z12,2647,insreq,2,6.0,6,0.0,29.9,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,insreq,3,6.0,6,0.0,29.92,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,insreq,4,6.0,6,0.0,29.99,16,136,2,152,123,86,50,22.0,True,0,0,64,False,60.4
turan_n162,Z12,2647,insreq,5,6.0,6,0.0,16.84,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,insreq,6,6.0,6,0.0,30.04,16,138,2,154,123,87,51,22.0,True,0,0,64,False,60.0
turan_n162,Z12,2647,insreq,7,6.0,6,0.0,16.47,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,insreq,8,6.0,6,0.0,16.52,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,insreq,9,6.0,6,0.0,29.87,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,inscap,0,6.0,6,0.0,29.89,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,inscap,1,6.0,6,0.0,16.61,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.3
turan_n162,Z12,2647,inscap,2,6.0,6,0.0,30.04,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,inscap,3,6.0,6,0.0,30.03,16,138,2,154,123,87,51,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,inscap,4,6.0,6,0.0,29.87,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,inscap,5,6.0,6,0.0,17.03,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,inscap,6,6.0,6,0.0,30.01,16,137,2,153,123,86,51,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,inscap,7,6.0,6,0.0,16.61,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.4
turan_n162,Z12,2647,inscap,8,6.0,6,0.0,16.84,8,136,0,144,508,93,43,22.0,True,0,0,32,False,60.1
turan_n162,Z12,2647,inscap,9,6.0,6,0.0,29.95,16,136,2,152,123,86,50,22.0,True,0,0,64,False,60.4
turan_n162,Z12,2647,reqL4,0,6.0,6,0.0,29.91,17,198,1,215,186,80,118,22.0,True,0,0,59,False,60.1
turan_n162,Z12,2647,reqL4,1,6.228,7,0.0,15.04,4,120,0,124,362,70,50,23.0,True,0,0,32,False,60.5
turan_n162,Z12,2647,reqL4,2,6.0,6,0.0,30.01,17,196,1,213,185,79,117,22.0,True,0,0,59,False,60.1
turan_n162,Z12,2647,reqL4,3,6.0,6,0.0,29.91,17,194,1,211,183,79,115,22.0,True,0,0,59,False,60.0
turan_n162,Z12,2647,reqL4,4,6.0,6,0.0,29.85,17,190,1,207,178,79,111,22.0,True,0,0,59,False,60.1
turan_n162,Z12,2647,reqL4,5,6.228,7,0.0,15.08,4,120,0,124,362,70,50,23.0,True,0,0,32,False,60.1
turan_n162,Z12,2647,reqL4,6,6.0,6,0.0,29.88,17,194,1,211,183,79,115,22.0,True,0,0,59,False,60.1
turan_n162,Z12,2647,reqL4,7,6.228,7,0.0,15.37,4,120,0,124,362,70,50,23.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,reqL4,8,6.228,7,0.0,15.42,4,120,0,124,362,70,50,23.0,True,0,0,32,False,60.3
turan_n162,Z12,2647,reqL4,9,6.0,6,0.0,29.91,17,194,1,211,183,79,115,22.0,True,0,0,59,False,60.1
spin_glass_n163,Z12,37309,default,0,10.896,13,0.64,17.05,12,405,0,417,73,1,404,38.0,True,0,0,0,True,51.3
spin_glass_n163,Z12,37309,default,1,10.896,13,0.66,17.06,12,405,0,417,73,1,404,38.0,True,0,0,0,True,49.1
