cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,default,2,2.775,6,0.06,6.46,9,82,2,0,0,17.0,False,0,10,16,False,60.1
regular_n316,Z12,13096,align,0,2.845,7,0.06,24.91,7,732,0,739,6,16.0,False,1,13,16,False,60.0
regular_n316,Z12,13096,align,1,2.769,6,0.08,25.22,7,732,0,739,6,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,align,2,2.93,7,0.07,25.32,7,732,0,739,6,16.0,False,0,13,16,False,60.0
ws_n486,Z12,17188,default,0,2.597,9,0.11,30.85,11,542,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,1,2.749,9,0.14,31.25,11,542,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,2,2.432,7,0.45,30.13,11,542,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,3,2.51,10,0.45,31.54,11,542,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,4,2.514,8,0.1,29.86,11,489,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,5,2.751,8,0.12,29.83,11,478,1,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,6,2.348,7,0.09,29.87,11,505,1,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,7,2.556,8,0.1,29.89,11,476,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,8,2.628,8,0.09,29.9,11,496,1,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,9,2.418,8,0.14,29.83,11,478,1,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,align,0,2.537,8,0.11,29.85,34,461,6,495,3,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,align,1,2.714,9,0.1,29.86,34,459,6,493,3,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,align,2,2.599,9,0.12,29.87,34,451,6,485,2,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,align,3,2.389,7,3.79,26.1,34,440,6,474,2,28.0,False,2,14,21,False,60.0
ws_n486,Z12,17188,align,4,2.492,8,4.89,25.07,34,441,6,475,2,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,align,5,2.605,8,4.87,25.08,34,444,6,478,2,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,align,6,2.492,8,5.68,24.28,33,432,5,465,2,28.0,False,0,19,20,False,60.0
ws_n486,Z12,17188,align,7,2.805,9,4.72,25.21,34,447,6,481,2,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,align,8,2.58,8,5.1,24.81,34,447,6,481,2,28.0,False,2,14,21,False,60.0
ws_n486,Z12,17188,align,9,2.65,8,0.94,28.85,38,518,6,556,3,28.0,False,2,15,23,False,60.0
grid_200,Z12,1590,default,0,1.07,2,0.08,4.44,11,220,1,0,0,3.0,False,0,10,22,False,22.5
grid_200,Z12,1590,default,1,1.055,2,0.08,4.42,11,220,1,0,0,3.0,False,0,10,22,False,19.6
grid_200,Z12,1590,default,2,1.065,2,0.06,4.28,11,220,1,0,0,3.0,False,0,10,22,False,18.5
grid_200,Z12,1590,align,0,1.055,2,0.05,8.85,16,502,2,518,29,3.0,False,0,12,24,False,23.1
grid_200,Z12,1590,align,1,1.02,2,0.06,8.93,16,502,2,518,29,3.0,False,0,12,24,False,23.3
grid_200,Z12,1590,align,2,1.02,2,0.05,8.75,16,502,2,518,29,3.0,False,0,12,24,False,22.2
honeycomb_200,Z12,32393,default,0,1.09,2,0.01,3.51,7,116,2,0,0,9.0,False,0,9,19,False,20.6
honeycomb_200,Z12,32393,default,1,1.105,2,0.09,3.46,7,116,2,0,0,9.0,False,0,9,19,False,22.3
honeycomb_200,Z12,32393,default,2,1.06,2,0.02,3.43,7,116,2,0,0,9.0,False,0,9,19,False,19.1
honeycomb_200,Z12,32393,align,0,1.06,2,0.02,12.97,10,749,0,759,31,9.0,False,0,21,35,False,29.7
honeycomb_200,Z12,32393,align,1,1.04,2,0.02,13.14,10,749,0,759,31,9.0,False,0,21,35,False,28.2
honeycomb_200,Z12,32393,align,2,1.08,2,0.01,13.1,10,749,0,759,31,9.0,False,0,21,35,False,31.7
king_graph_196,Z12,32622,default,0,1.73,3,0.02,6.07,6,271,2,0,0,8.0,False,4,11,10,False,60.0
king_graph_196,Z12,32622,default,1,1.495,3,0.03,6.14,6,271,2,0,0,8.0,False,0,11,10,False,60.0
king_graph_196,Z12,32622,default,2,1.796,4,0.02,5.98,6,271,2,0,0,8.0,False,8,11,10,False,60.0
king_graph_196,Z12,32622,align,0,1.439,2,0.02,15.79,24,817,6,841,28,7.0,False,1,8,17,False,60.0
king_graph_196,Z12,32622,align,1,1.592,3,0.02,15.6,24,817,6,841,28,7.0,False,2,8,17,False,60.0
king_graph_196,Z12,32622,align,2,1.633,3,0.02,15.68,24,817,6,841,28,7.0,False,0,8,17,False,60.0
K100,P16,,default,0,11.23,16,0.0,0.76,0,0,0,0,0,15.0,,0,,,,22.0
K100,P16,,default,1,11.51,17,0.0,0.74,0,0,0,0,0,15.0,,0,,,,21.2
K100,P16,,default,2,11.65,17,0.0,0.74,0,0,0,0,0,15.0,,0,,,,43.7
K100,P16,,align,0,11.63,16,0.0,2.77,9,106,0,115,49,15.0,,0,,,,26.1
K100,P16,,align,1,12.14,16,0.0,2.72,9,106,0,115,49,15.0,,0,,,,28.6
K100,P16,,align,2,11.7,17,0.0,2.85,9,106,0,115,49,15.0,,0,,,,21.4
turan_n162,P16,2647,default,0,7.654,8,0.02,5.9,3,107,0,0,0,14.0,,0,,,,60.0
