cell,seed,final_acl,time
K100,0,12.62,39.5
K100,1,13.22,37.8
K100,2,13.58,61.4
turan_n162,0,8.827,63.2
turan_n162,1,9.13,63.6
turan_n162,2,9.241,63.5
spin_glass_n163,0,17.644,55.7
spin_glass_n163,1,17.166,60.2
spin_glass_n163,2,17.227,60.0
regular_n316,0,3.231,12.3
regular_n316,1,3.358,11.8
regular_n316,2,3.554,15.2
ws_n486,0,4.115,20.5
ws_n486,1,3.539,24.6
ws_n486,2,3.708,20.7
