cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,default,1,2.749,9,0.43,29.96,11,330,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,2,2.436,8,0.18,29.81,11,334,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,3,2.512,8,0.21,30.52,11,291,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,4,2.521,8,0.14,29.81,11,283,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,5,2.751,8,0.17,29.8,11,251,1,0,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,6,2.348,7,0.15,29.84,11,274,1,0,0,0,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,default,7,2.556,8,0.13,29.8,11,255,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,default,8,2.628,8,0.14,29.8,11,270,1,0,0,0,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,default,9,2.418,8,0.12,29.83,11,279,1,0,0,0,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,fold,0,2.595,9,0.19,29.76,11,291,1,1,0,1,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,fold,1,2.749,9,8.85,21.0,11,245,1,1,0,1,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,fold,2,2.432,7,5.24,24.68,11,242,1,1,0,1,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,fold,3,2.51,10,9.46,20.47,11,248,1,1,0,1,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,fold,4,2.521,8,10.38,19.54,11,236,1,1,0,1,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,fold,5,2.751,8,9.15,20.68,11,219,1,1,0,1,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,fold,6,2.348,7,9.52,20.39,11,218,1,1,0,1,19.0,False,1,30,34,False,60.0
ws_n486,Z12,17188,fold,7,2.556,8,9.44,20.51,11,244,1,1,0,1,19.0,False,0,30,34,False,60.0
ws_n486,Z12,17188,fold,8,2.628,8,3.44,26.42,11,345,1,1,0,1,19.0,False,2,30,34,False,60.0
ws_n486,Z12,17188,fold,9,2.418,8,2.92,26.69,11,308,1,1,0,1,19.0,False,0,30,34,False,60.0
grid_200,Z12,1590,default,0,1.07,2,0.08,7.02,11,220,1,0,0,0,3.0,False,0,10,22,False,29.6
grid_200,Z12,1590,default,1,1.055,2,0.09,5.61,11,220,1,0,0,0,3.0,False,0,10,22,False,24.5
grid_200,Z12,1590,default,2,1.065,2,0.07,5.36,11,220,1,0,0,0,3.0,False,0,10,22,False,20.9
grid_200,Z12,1590,fold,0,1.07,2,0.06,5.31,11,220,1,4,0,4,3.0,False,0,10,22,False,25.0
grid_200,Z12,1590,fold,1,1.055,2,0.06,5.04,11,220,1,4,0,4,3.0,False,0,10,22,False,21.5
grid_200,Z12,1590,fold,2,1.065,2,0.06,5.09,11,220,1,4,0,4,3.0,False,0,10,22,False,21.4
honeycomb_200,Z12,32393,default,0,1.09,2,0.06,4.09,7,116,2,0,0,0,9.0,False,0,9,19,False,23.4
honeycomb_200,Z12,32393,default,1,1.105,2,0.03,3.96,7,116,2,0,0,0,9.0,False,0,9,19,False,24.8
honeycomb_200,Z12,32393,default,2,1.06,2,0.02,3.92,7,116,2,0,0,0,9.0,False,0,9,19,False,21.9
honeycomb_200,Z12,32393,fold,0,1.09,2,0.03,4.04,7,116,2,5,0,5,9.0,False,0,9,19,False,23.0
honeycomb_200,Z12,32393,fold,1,1.105,2,0.05,3.98,7,116,2,5,0,5,9.0,False,0,9,19,False,26.9
honeycomb_200,Z12,32393,fold,2,1.06,2,0.04,3.99,7,116,2,5,0,5,9.0,False,0,9,19,False,22.8
king_graph_196,Z12,32622,default,0,1.735,3,0.03,7.46,6,271,2,0,0,0,8.0,False,3,11,10,False,60.0
king_graph_196,Z12,32622,default,1,1.495,3,0.03,7.53,6,271,2,0,0,0,8.0,False,0,11,10,False,60.0
king_graph_196,Z12,32622,default,2,1.806,4,0.03,7.46,6,271,2,0,0,0,8.0,False,7,11,10,False,60.0
king_graph_196,Z12,32622,fold,0,1.735,3,0.03,8.59,6,271,2,4,0,4,8.0,False,3,11,10,False,60.0
king_graph_196,Z12,32622,fold,1,1.495,3,0.03,7.98,6,271,2,4,0,4,8.0,False,0,11,10,False,60.0
king_graph_196,Z12,32622,fold,2,1.806,4,0.03,8.2,6,271,2,4,0,4,8.0,False,7,11,10,False,60.0
K100,P16,,default,0,11.23,16,0.0,0.82,0,0,0,0,0,0,15.0,,0,,,,26.0
K100,P16,,default,1,11.51,17,0.0,0.82,0,0,0,0,0,0,15.0,,0,,,,25.2
K100,P16,,default,2,11.65,17,0.0,0.82,0,0,0,0,0,0,15.0,,0,,,,53.0
K100,P16,,fold,0,12.72,19,0.0,1.23,0,0,0,3,2,1,14.0,,0,,,,44.1
K100,P16,,fold,1,12.26,18,0.0,2.31,0,0,0,3,2,1,14.0,,0,,,,24.1
K100,P16,,fold,2,12.24,19,0.0,2.31,0,0,0,3,2,1,14.0,,0,,,,25.1
turan_n162,P16,2647,default,0,7.654,8,0.75,6.99,3,107,0,0,0,0,14.0,,0,,,,60.4
turan_n162,P16,2647,default,1,7.815,8,1.26,6.63,3,107,0,0,0,0,14.0,,0,,,,60.1
turan_n162,P16,2647,default,2,7.654,8,1.32,6.42,3,107,0,0,0,0,14.0,,0,,,,60.4
turan_n162,P16,2647,fold,0,7.654,8,0.89,6.81,3,107,0,3,0,3,14.0,,0,,,,60.4
turan_n162,P16,2647,fold,1,7.815,8,0.86,6.66,3,107,0,3,0,3,14.0,,0,,,,60.1
turan_n162,P16,2647,fold,2,7.654,8,1.0,7.05,3,107,0,3,0,3,14.0,,0,,,,60.4
ws_n486,P16,17188,default,0,3.095,10,0.8,29.21,19,410,1,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,default,1,3.307,11,0.88,29.59,16,382,0,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.027,9,0.17,28.62,16,382,0,0,0,0,14.0,,1,,,,60.0
ws_n486,P16,17188,fold,0,3.3,13,0.08,26.92,11,331,2,3,0,3,12.0,,1,,,,60.0
ws_n486,P16,17188,fold,1,3.214,11,0.07,30.06,19,410,1,3,0,3,14.0,,0,,,,60.0
ws_n486,P16,17188,fold,2,3.383,12,0.08,30.09,19,410,1,3,0,3,14.0,,2,,,,60.0
