n,seed,arm,final_acl,total_time,mm_time,fails,trajectory
100,0,loop-v1,5.71,9.64,9.39,0,8.640;8.270;8.060;8.910;7.670;7.790;8.460;8.170;8.410;8.410;8.260
100,1,loop-v1,5.43,6.99,6.74,0,8.530;9.060;8.460;8.650;8.480;8.200;8.280;7.670;7.930;8.220;8.220
100,2,loop-v1,5.22,9.13,8.86,0,8.590;8.820;8.570;9.030;8.470;8.390;7.770;8.080;9.050;8.260;8.390
100,3,loop-v1,6.25,8.13,7.85,0,7.900;9.500;8.520;8.390;8.930;8.620;8.590;8.580;8.630;9.120;8.210
100,4,loop-v1,5.88,7.04,6.76,0,8.960;8.960;8.500;8.780;7.990;8.840;8.320;7.870;8.990;9.050;8.070
140,0,loop-v1,7.721,14.66,13.87,0,12.471;12.164;12.171;12.579;12.157;12.157;12.636;11.850;11.893;11.807;12.529
140,1,loop-v1,7.479,17.93,17.18,0,13.129;13.193;12.250;11.943;12.186;12.464;11.086;12.464;11.100;11.986;12.014
140,2,loop-v1,8.114,17.05,16.13,0,13.364;12.679;11.936;12.536;11.471;12.321;11.929;11.364;11.929;11.379;11.343
140,3,loop-v1,7.986,16.94,16.21,0,11.750;12.314;11.450;12.100;11.279;12.043;12.057;11.821;12.057;11.936;12.521
140,4,loop-v1,8.129,15.03,14.23,0,12.007;13.607;12.929;12.386;13.271;12.164;12.264;13.421;12.314;11.886;10.771
180,0,loop-v1,9.833,22.68,21.04,0,14.467;15.139;14.161;15.161;15.361;14.256;14.061;14.189;14.106;14.644;14.894
180,1,loop-v1,9.244,25.42,23.46,0,13.817;15.400;15.017;14.572;14.939;13.794;14.644;14.172;15.567;15.278;14.939
180,2,loop-v1,9.689,23.73,22.01,0,14.306;15.022;14.422;14.500;14.139;14.461;15.456;13.750;14.967;13.917;13.839
180,3,loop-v1,9.356,22.89,20.98,0,15.228;15.928;15.506;14.828;13.956;15.028;14.350;15.244;13.989;13.794;15.661
180,4,loop-v1,9.622,28.8,26.72,0,15.456;15.283;15.172;14.111;15.894;14.411;14.622;14.922;14.167;14.800;14.506
