cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,seat_acc,trans_acc,passes,fmiss,traj,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,default,0,2.845,7,0.19,25.76,7,732,0,739,6,,,,,,16.0,False,1,13,16,False,60.2
regular_n316,Z12,13096,default,1,2.769,6,0.11,27.91,7,732,0,739,6,,,,,,16.0,False,0,13,16,False,60.7
regular_n316,Z12,13096,default,2,2.93,7,0.07,26.28,7,732,0,739,6,,,,,,16.0,False,0,13,16,False,60.1
regular_n316,Z12,13096,seats,0,2.778,7,0.06,29.84,0,0,0,0,0,0,136,6,0,92|25|16|1|3|0,16.0,False,0,7,13,False,60.3
regular_n316,Z12,13096,seats,1,2.88,7,0.06,29.93,0,0,0,0,0,0,136,6,0,92|25|16|1|3|0,16.0,False,1,7,13,False,60.0
regular_n316,Z12,13096,seats,2,2.658,6,0.07,29.91,0,0,0,0,0,0,136,6,0,92|25|16|1|3|0,16.0,False,0,7,13,False,60.0
ws_n486,Z12,17188,default,0,2.537,8,0.1,30.11,34,474,6,508,3,,,,,,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,default,1,2.453,8,0.13,29.85,26,364,4,390,2,,,,,,26.0,False,0,16,25,False,60.0
ws_n486,Z12,17188,default,2,2.568,8,0.11,29.84,27,376,4,403,2,,,,,,26.0,False,1,16,29,False,60.0
ws_n486,Z12,17188,default,3,2.531,8,0.09,29.86,29,396,4,425,2,,,,,,27.0,False,1,26,34,False,60.0
ws_n486,Z12,17188,default,4,2.586,8,0.1,29.8,28,384,4,412,2,,,,,,27.0,False,2,24,36,False,60.0
ws_n486,Z12,17188,default,5,2.597,8,0.11,29.87,26,362,4,388,2,,,,,,26.0,False,0,16,25,False,60.0
ws_n486,Z12,17188,default,6,2.599,9,0.09,29.88,27,370,4,397,2,,,,,,26.0,False,0,16,29,False,60.0
ws_n486,Z12,17188,default,7,2.549,7,0.13,29.82,26,363,4,389,2,,,,,,26.0,False,1,16,25,False,60.0
ws_n486,Z12,17188,default,8,2.626,9,5.29,24.54,25,316,4,341,2,,,,,,26.0,False,3,18,26,False,60.0
ws_n486,Z12,17188,default,9,2.584,9,0.3,29.65,27,371,4,398,2,,,,,,26.0,False,0,16,29,False,60.0
ws_n486,Z12,17188,seats,0,2.776,9,7.1,22.94,0,0,0,0,0,0,0,1,0,1,29.0,False,2,27,35,False,60.0
ws_n486,Z12,17188,seats,1,2.519,8,6.83,23.32,0,0,0,0,0,0,0,1,0,1,29.0,False,1,27,35,False,60.0
ws_n486,Z12,17188,seats,2,2.586,8,7.44,22.59,0,0,0,0,0,0,0,1,0,1,29.0,False,0,27,35,False,60.0
ws_n486,Z12,17188,seats,3,2.418,7,7.27,22.74,0,0,0,0,0,0,0,1,0,1,29.0,False,0,27,35,False,60.0
ws_n486,Z12,17188,seats,4,2.597,8,6.83,23.25,0,0,0,0,0,0,0,1,0,1,29.0,False,2,27,35,False,60.0
ws_n486,Z12,17188,seats,5,2.473,8,6.63,23.37,0,0,0,0,0,0,0,1,0,1,29.0,False,0,27,35,False,60.0
ws_n486,Z12,17188,seats,6,2.601,8,6.54,23.43,0,0,0,0,0,0,11,1,0,12,30.0,False,0,29,39,False,60.0
ws_n486,Z12,17188,seats,7,2.566,9,4.54,24.2,0,0,0,0,0,0,30,1,0,31,29.0,False,0,15,30,False,60.0
ws_n486,Z12,17188,seats,8,2.533,8,3.71,26.03,0,0,0,0,0,0,151,1,0,152,26.0,False,0,11,17,False,60.0
ws_n486,Z12,17188,seats,9,2.63,8,3.59,26.27,0,0,0,0,0,0,153,1,0,154,25.0,False,0,14,21,False,60.0
grid_200,Z12,1590,default,0,1.055,2,0.07,10.61,16,502,2,518,29,,,,,,3.0,False,0,12,24,False,27.0
grid_200,Z12,1590,default,1,1.02,2,0.06,9.83,16,502,2,518,29,,,,,,3.0,False,0,12,24,False,29.1
grid_200,Z12,1590,default,2,1.02,2,0.06,10.34,16,502,2,518,29,,,,,,3.0,False,0,12,24,False,27.4
grid_200,Z12,1590,seats,0,1.05,2,0.06,16.71,0,0,0,0,0,21,3,5,97,4|0|24|4|0,4.0,False,0,31,37,False,35.3
grid_200,Z12,1590,seats,1,1.055,2,0.06,17.19,0,0,0,0,0,21,3,5,97,4|0|24|4|0,4.0,False,0,31,37,False,35.8
grid_200,Z12,1590,seats,2,1.01,2,0.06,16.32,0,0,0,0,0,21,3,5,97,4|0|24|4|0,4.0,False,0,31,37,False,28.1
honeycomb_200,Z12,32393,default,0,1.06,2,0.06,14.36,10,749,0,759,31,,,,,,9.0,False,0,21,35,False,33.2
honeycomb_200,Z12,32393,default,1,1.04,2,0.04,15.21,10,749,0,759,31,,,,,,9.0,False,0,21,35,False,31.1
honeycomb_200,Z12,32393,default,2,1.08,2,0.02,14.39,10,749,0,759,31,,,,,,9.0,False,0,21,35,False,33.7
honeycomb_200,Z12,32393,seats,0,1.08,2,0.01,19.01,0,0,0,0,0,24,39,8,224,22|15|4|1|0|25|7|0,6.0,False,0,12,29,False,39.1
honeycomb_200,Z12,32393,seats,1,1.08,2,0.02,18.92,0,0,0,0,0,24,39,8,224,22|15|4|1|0|25|7|0,6.0,False,0,12,29,False,39.8
honeycomb_200,Z12,32393,seats,2,1.1,2,0.01,18.83,0,0,0,0,0,24,39,8,224,22|15|4|1|0|25|7|0,6.0,False,0,12,29,False,40.2
king_graph_196,Z12,32622,default,0,1.439,2,0.02,17.07,24,817,6,841,28,,,,,,7.0,False,1,8,17,False,60.0
king_graph_196,Z12,32622,default,1,1.592,3,0.02,17.11,24,817,6,841,28,,,,,,7.0,False,2,8,17,False,60.0
king_graph_196,Z12,32622,default,2,1.633,3,0.03,16.73,24,817,6,841,28,,,,,,7.0,False,0,8,17,False,60.0
king_graph_196,Z12,32622,seats,0,1.536,3,0.03,29.92,0,0,0,0,0,41,17,6,38,9|6|2|1|0|87,5.0,False,1,6,14,False,60.0
king_graph_196,Z12,32622,seats,1,1.622,3,0.03,29.93,0,0,0,0,0,47,18,6,42,9|6|2|1|0|94,5.0,False,0,3,15,False,60.0
