cell,target,n,d,arm,order,alpha,seed,success,acl,max_chain,qubits,time
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,3,True,2.4,3,48,0.0849
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,3,True,2.4,4,48,0.0851
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,3,True,2.4,4,48,0.085
P6 n20 d0.5,P6,20,0.5,stock/a0,stock,0.0,4,True,2.2,3,44,0.1868
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,4,True,2.2,3,44,0.1878
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,4,True,2.3,3,46,0.0529
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,4,True,2.3,3,46,0.053
P6 n20 d0.5,P6,20,0.5,stock/a0,stock,0.0,5,True,2.2,3,44,0.0479
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,5,True,2.2,3,44,0.0478
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,5,True,2.4,3,48,0.0523
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,5,True,2.4,3,48,0.0524
P6 n20 d0.5,P6,20,0.5,stock/a0,stock,0.0,6,True,2.3,3,46,0.0997
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,6,True,2.3,3,46,0.0997
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,6,True,2.35,3,47,0.1129
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,6,True,2.35,3,47,0.1131
P6 n20 d0.5,P6,20,0.5,stock/a0,stock,0.0,7,True,2.25,3,45,0.096
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,7,True,2.25,3,45,0.0958
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,7,True,2.2,3,44,0.0559
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,7,True,2.2,3,44,0.0559
P6 n20 d0.5,P6,20,0.5,stock/a0,stock,0.0,8,True,2.35,3,47,0.0499
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,8,True,2.35,3,47,0.0498
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,8,True,2.25,3,45,0.0733
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,8,True,2.25,3,45,0.0733
P6 n20 d0.5,P6,20,0.5,stock/a0,stock,0.0,9,True,2.35,3,47,0.0933
P6 n20 d0.5,P6,20,0.5,stock/a1,stock,1.0,9,True,2.35,3,47,0.0934
P6 n20 d0.5,P6,20,0.5,cuthill/a0,cuthill,0.0,9,True,2.25,3,45,0.0945
P6 n20 d0.5,P6,20,0.5,cuthill/a1,cuthill,1.0,9,True,2.25,3,45,0.0945
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,0,True,2.6,4,52,0.0977
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,0,True,2.6,4,52,0.0975
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,0,True,2.6,3,52,0.1407
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,0,True,2.6,3,52,0.1407
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,1,True,2.7,4,54,0.1054
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,1,True,2.7,4,54,0.1055
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,1,True,2.5,3,50,0.1164
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,1,True,2.5,3,50,0.1158
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,2,True,2.6,3,52,0.0692
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,2,True,2.6,3,52,0.0694
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,2,True,2.55,3,51,0.0922
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,2,True,2.55,3,51,0.0927
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,3,True,2.45,3,49,0.1274
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,3,True,2.45,3,49,0.1276
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,3,True,2.5,3,50,0.0704
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,3,True,2.5,3,50,0.0704
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,4,True,2.7,4,54,0.067
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,4,True,2.7,4,54,0.067
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,4,True,2.65,3,53,0.0741
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,4,True,2.65,3,53,0.074
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,5,True,2.55,4,51,0.1106
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,5,True,2.55,4,51,0.1111
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,5,True,2.6,3,52,0.0785
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,5,True,2.6,3,52,0.0782
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,6,True,2.65,3,53,0.1165
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,6,True,2.65,3,53,0.1165
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,6,True,2.55,3,51,0.1291
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,6,True,2.55,3,51,0.1298
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,7,True,2.65,3,53,0.1177
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,7,True,2.65,3,53,0.118
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,7,True,2.7,3,54,0.1131
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,7,True,2.7,3,54,0.1138
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,8,True,2.85,4,57,0.0983
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,8,True,2.85,4,57,0.0983
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,8,True,2.65,3,53,0.1235
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,8,True,2.65,3,53,0.1235
P6 n20 d0.7,P6,20,0.7,stock/a0,stock,0.0,9,True,2.55,3,51,0.172
P6 n20 d0.7,P6,20,0.7,stock/a1,stock,1.0,9,True,2.55,3,51,0.1716
P6 n20 d0.7,P6,20,0.7,cuthill/a0,cuthill,0.0,9,True,2.6,3,52,0.1147
P6 n20 d0.7,P6,20,0.7,cuthill/a1,cuthill,1.0,9,True,2.6,3,52,0.1149
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,0,True,2.6,4,78,0.1711
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,0,True,2.6,4,78,0.1714
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,0,True,2.7,4,81,0.1377
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,0,True,2.7,4,81,0.138
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,1,True,2.7333333333333334,4,82,0.1574
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,1,True,2.7333333333333334,4,82,0.1575
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,1,True,2.533333333333333,4,76,0.1823
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,1,True,2.533333333333333,4,76,0.1826
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,2,True,2.8333333333333335,4,85,0.111
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,2,True,2.8333333333333335,4,85,0.1109
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,2,True,2.7,4,81,0.1744
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,2,True,2.7,4,81,0.1753
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,3,True,2.466666666666667,4,74,0.1863
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,3,True,2.7666666666666666,4,83,0.096
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,3,True,2.6666666666666665,4,80,0.1355
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,3,True,2.6666666666666665,4,80,0.1358
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,4,True,2.8333333333333335,4,85,0.0826
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,4,True,2.8333333333333335,4,85,0.0824
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,4,True,2.8,4,84,0.0989
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,4,True,2.8,4,84,0.0987
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,5,True,2.8333333333333335,4,85,0.14
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,5,True,2.8333333333333335,4,85,0.1402
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,5,True,2.8666666666666667,4,86,0.093
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,5,True,2.8666666666666667,4,86,0.0928
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,6,True,2.566666666666667,4,77,0.1793
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,6,True,2.566666666666667,4,77,0.1797
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,6,True,2.6666666666666665,4,80,0.1217
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,6,True,2.6666666666666665,4,80,0.1209
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,7,True,2.6333333333333333,4,79,0.1846
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,7,True,2.6333333333333333,4,79,0.1844
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,7,True,2.9,4,87,0.1132
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,7,True,2.9,4,87,0.1132
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,8,True,2.7333333333333334,4,82,0.1041
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,8,True,2.7333333333333334,4,82,0.1044
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,8,True,2.7,4,81,0.1767
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,8,True,2.7333333333333334,4,82,0.1663
P6 n30 d0.3,P6,30,0.3,stock/a0,stock,0.0,9,True,2.6666666666666665,4,80,0.0736
P6 n30 d0.3,P6,30,0.3,stock/a1,stock,1.0,9,True,2.6666666666666665,4,80,0.0737
P6 n30 d0.3,P6,30,0.3,cuthill/a0,cuthill,0.0,9,True,2.6333333333333333,4,79,0.1713
P6 n30 d0.3,P6,30,0.3,cuthill/a1,cuthill,1.0,9,True,2.6333333333333333,4,79,0.1711
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,0,True,3.433333333333333,5,103,0.2115
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,0,True,3.433333333333333,5,103,0.2125
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,0,True,3.3666666666666667,4,101,0.5918
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,0,True,3.3666666666666667,4,101,0.5907
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,1,True,3.3,5,99,0.3544
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,1,True,3.3,5,99,0.3553
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,1,True,3.6,5,108,0.2109
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,1,True,3.6,5,108,0.2106
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,2,True,3.6333333333333333,5,109,0.1415
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,2,True,3.6333333333333333,5,109,0.1415
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,2,True,3.2666666666666666,4,98,0.3987
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,2,True,3.2666666666666666,4,98,0.3964
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,3,True,3.566666666666667,5,107,0.4294
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,3,True,3.566666666666667,5,107,0.4313
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,3,True,3.466666666666667,5,104,0.2133
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,3,True,3.466666666666667,5,104,0.2134
