cell,target,n,d,arm,order,alpha,seed,success,acl,max_chain,qubits,time
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,5,True,3.4,5,136,0.3043
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,5,True,3.4,5,136,0.3036
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,5,True,3.475,5,139,0.2018
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,5,True,3.475,5,139,0.2015
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,6,True,3.55,5,142,0.3022
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,6,True,3.55,5,142,0.3023
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,6,True,3.75,6,150,0.1581
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,6,True,3.75,6,150,0.1568
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,7,True,3.55,5,142,0.3502
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,7,True,3.55,5,142,0.3521
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,7,True,3.425,5,137,0.5516
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,7,True,3.425,5,137,0.5491
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,8,True,3.575,5,143,0.3106
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,8,True,3.725,6,149,0.2755
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,8,True,3.825,6,153,0.2164
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,8,True,3.825,6,153,0.2167
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,9,True,3.425,5,137,0.3572
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,9,True,3.8,6,152,0.2056
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,9,True,3.525,5,141,0.6472
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,9,True,3.525,5,141,0.6428
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,0,True,4.375,6,175,0.866
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,0,True,4.375,6,175,0.8665
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,0,True,4.625,7,185,0.3664
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,0,True,4.6,6,184,0.7368
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,1,True,4.525,6,181,0.5341
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,1,True,4.525,6,181,0.5351
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,1,True,4.725,7,189,0.5791
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,1,True,4.35,6,174,1.7243
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,2,True,4.65,7,186,0.6604
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,2,True,4.65,7,186,0.6607
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,2,True,4.525,6,181,0.6123
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,2,True,4.525,6,181,0.6127
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,3,True,4.45,6,178,0.7404
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,3,True,4.45,6,178,0.7355
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,3,True,4.525,7,181,0.3115
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,3,True,4.525,7,181,0.3097
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,4,True,4.65,6,186,0.7405
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,4,True,4.65,6,186,0.7402
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,4,True,4.35,6,174,0.9283
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,4,True,4.35,6,174,0.929
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,5,True,4.375,6,175,0.9385
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,5,True,4.375,6,175,0.9408
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,5,True,4.6,7,184,0.6765
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,5,True,4.6,7,184,0.6775
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,6,True,4.45,6,178,1.1572
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,6,True,4.925,7,197,0.3192
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,6,True,4.7,7,188,0.3936
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,6,True,4.7,7,188,0.3918
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,7,True,4.525,6,181,0.893
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,7,True,4.525,6,181,0.895
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,7,True,4.55,6,182,0.6372
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,7,True,4.55,6,182,0.6361
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,8,True,4.775,7,191,0.4314
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,8,True,4.375,6,175,1.0788
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,8,True,4.675,7,187,0.8145
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,8,True,4.375,6,175,0.7781
P6 n40 d0.5,P6,40,0.5,stock/a0,stock,0.0,9,True,4.725,6,189,0.5886
P6 n40 d0.5,P6,40,0.5,stock/a1,stock,1.0,9,True,4.725,6,189,0.5879
P6 n40 d0.5,P6,40,0.5,cuthill/a0,cuthill,0.0,9,True,4.475,7,179,0.8135
P6 n40 d0.5,P6,40,0.5,cuthill/a1,cuthill,1.0,9,True,4.475,7,179,0.813
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,0,True,5.3,7,212,0.823
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,0,True,5.3,7,212,0.8209
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,0,True,4.875,7,195,0.9646
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,0,True,4.875,7,195,0.9637
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,1,True,5.55,8,222,0.6569
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,1,True,5.55,8,222,0.6559
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,1,True,4.95,6,198,1.3426
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,1,True,4.95,6,198,1.3318
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,2,True,5.25,7,210,0.7482
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,2,True,5.25,7,210,0.747
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,2,True,5.15,7,206,0.7719
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,2,True,5.15,7,206,0.7741
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,3,True,5.125,7,205,1.0686
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,3,True,5.3,7,212,0.9167
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,3,True,5.05,6,202,2.0956
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,3,True,5.05,6,202,2.0956
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,4,True,5.2,8,208,0.7561
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,4,True,5.2,8,208,0.7533
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,4,True,4.9,6,196,1.1563
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,4,True,4.9,6,196,1.1545
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,5,True,5.425,8,217,0.5003
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,5,True,5.425,8,217,0.5005
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,5,True,5.0,7,200,0.7844
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,5,True,5.0,7,200,0.7854
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,6,True,5.125,7,205,0.7175
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,6,True,5.125,7,205,0.7154
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,6,True,5.25,7,210,1.1365
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,6,True,5.25,7,210,1.1378
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,7,True,5.275,7,211,1.0165
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,7,True,5.275,7,211,1.0182
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,7,True,5.2,7,208,0.6687
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,7,True,5.2,7,208,0.67
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,8,True,5.0,7,200,1.0671
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,8,True,5.0,7,200,1.0641
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,8,True,4.875,6,195,1.4262
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,8,True,4.875,6,195,1.4282
P6 n40 d0.7,P6,40,0.7,stock/a0,stock,0.0,9,True,5.3,7,212,0.6499
P6 n40 d0.7,P6,40,0.7,stock/a1,stock,1.0,9,True,5.3,7,212,0.6488
P6 n40 d0.7,P6,40,0.7,cuthill/a0,cuthill,0.0,9,True,5.0,7,200,1.3883
P6 n40 d0.7,P6,40,0.7,cuthill/a1,cuthill,1.0,9,True,5.0,7,200,1.3869
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,0,True,3.066666666666667,4,92,0.1247
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,0,True,3.066666666666667,4,92,0.1248
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,0,True,3.1333333333333333,4,94,0.1108
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,0,True,3.1333333333333333,4,94,0.1105
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,1,True,3.2333333333333334,4,97,0.1288
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,1,True,3.2333333333333334,4,97,0.1281
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,1,True,3.2333333333333334,5,97,0.0735
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,1,True,3.2333333333333334,5,97,0.0734
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,2,True,3.1,4,93,0.2271
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,2,True,3.1,4,93,0.2271
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,2,True,3.2666666666666666,5,98,0.1092
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,2,True,3.2666666666666666,5,98,0.1094
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,3,True,3.2,4,96,0.1697
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,3,True,3.2,4,96,0.1701
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,3,True,3.1666666666666665,4,95,0.1167
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,3,True,3.1666666666666665,4,95,0.1166
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,4,True,3.066666666666667,4,92,0.1593
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,4,True,3.066666666666667,4,92,0.1593
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,4,True,2.9,4,87,0.1225
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,4,True,2.9,4,87,0.1227
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,5,True,3.6333333333333333,5,109,0.0546
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,5,True,3.3333333333333335,4,100,0.1419
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,5,True,3.1333333333333333,5,94,0.058
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,5,True,3.1333333333333333,5,94,0.0583
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,6,True,3.1666666666666665,4,95,0.0932
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,6,True,3.1666666666666665,4,95,0.0932
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,6,True,3.1333333333333333,5,94,0.0712
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,6,True,3.2,4,96,0.1254
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,7,True,3.3666666666666667,5,101,0.0789
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,7,True,3.3666666666666667,5,101,0.0789
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,7,True,3.566666666666667,5,107,0.1171
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,7,True,3.566666666666667,5,107,0.1175
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,8,True,3.1666666666666665,4,95,0.141
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,8,True,3.1666666666666665,4,95,0.1409
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,8,True,3.3333333333333335,4,100,0.0998
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,8,True,3.3333333333333335,4,100,0.1001
P4 n30 d0.4,P4,30,0.4,stock/a0,stock,0.0,9,True,3.2,5,96,0.0969
P4 n30 d0.4,P4,30,0.4,stock/a1,stock,1.0,9,True,3.2,5,96,0.0967
P4 n30 d0.4,P4,30,0.4,cuthill/a0,cuthill,0.0,9,True,3.1666666666666665,4,95,0.1072
P4 n30 d0.4,P4,30,0.4,cuthill/a1,cuthill,1.0,9,True,3.1666666666666665,4,95,0.1071
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,0,True,3.6,5,108,0.1022
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,0,True,3.6,5,108,0.1023
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,0,True,3.3333333333333335,4,100,0.1317
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,0,True,3.3333333333333335,4,100,0.1316
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,1,True,3.5,5,105,0.1658
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,1,True,3.5,5,105,0.1653
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,1,True,3.4,4,102,0.1095
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,1,True,3.4,4,102,0.1092
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,2,True,3.3333333333333335,4,100,0.1655
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,2,True,3.3333333333333335,4,100,0.1654
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,2,True,3.2666666666666666,5,98,0.1236
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,2,True,3.2666666666666666,5,98,0.1235
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,3,True,3.2666666666666666,5,98,0.1241
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,3,True,3.2666666666666666,5,98,0.1239
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,3,True,3.4,5,102,0.1994
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,3,True,3.4,5,102,0.1992
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,4,True,3.3666666666666667,5,101,0.1048
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,4,True,3.3666666666666667,5,101,0.1046
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,4,True,3.2,4,96,0.1578
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,4,True,3.2,4,96,0.1577
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,5,True,3.1333333333333333,4,94,0.2414
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,5,True,3.1333333333333333,4,94,0.2414
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,5,True,3.3666666666666667,5,101,0.0951
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,5,True,3.3666666666666667,5,101,0.0953
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,6,True,3.4,5,102,0.1448
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,6,True,3.4,5,102,0.1452
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,6,True,3.566666666666667,5,107,0.1049
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,6,True,3.566666666666667,5,107,0.1048
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,7,True,3.3666666666666667,5,101,0.1574
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,7,True,3.3,5,99,0.1818
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,7,True,3.566666666666667,5,107,0.0904
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,7,True,3.566666666666667,5,107,0.0906
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,8,True,3.466666666666667,4,104,0.1838
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,8,True,3.466666666666667,4,104,0.1839
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,8,True,3.2666666666666666,4,98,0.2736
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,8,True,3.2666666666666666,4,98,0.2726
P4 n30 d0.5,P4,30,0.5,stock/a0,stock,0.0,9,True,3.566666666666667,5,107,0.0772
P4 n30 d0.5,P4,30,0.5,stock/a1,stock,1.0,9,True,3.566666666666667,5,107,0.0771
P4 n30 d0.5,P4,30,0.5,cuthill/a0,cuthill,0.0,9,True,3.433333333333333,5,103,0.2027
P4 n30 d0.5,P4,30,0.5,cuthill/a1,cuthill,1.0,9,True,3.433333333333333,5,103,0.2018
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,0,True,3.657142857142857,5,128,0.1285
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,0,True,3.7714285714285714,5,132,0.2336
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,0,True,3.742857142857143,6,131,0.1031
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,0,True,3.742857142857143,6,131,0.103
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,1,True,3.8285714285714287,5,134,0.1226
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,1,True,3.8285714285714287,5,134,0.1225
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,1,True,3.7142857142857144,5,130,0.206
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,1,True,3.7714285714285714,5,132,0.1517
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,2,True,3.6857142857142855,5,129,0.1969
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,2,True,3.7714285714285714,5,132,0.1334
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,2,True,3.7714285714285714,5,132,0.1263
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,2,True,3.857142857142857,5,135,0.1279
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,3,True,3.857142857142857,6,135,0.1611
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,3,True,3.6,5,126,0.2243
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,3,True,3.742857142857143,5,131,0.17
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,3,True,3.742857142857143,5,131,0.1702
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,4,True,3.657142857142857,5,128,0.2087
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,4,True,3.657142857142857,5,128,0.2093
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,4,True,3.8285714285714287,6,134,0.0584
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,4,True,3.657142857142857,5,128,0.1982
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,5,True,3.8,5,133,0.1463
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,5,True,3.8,5,133,0.1467
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,5,True,3.9714285714285715,6,139,0.0717
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,5,True,3.6,5,126,0.2375
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,6,True,3.8,5,133,0.0786
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,6,True,3.8285714285714287,5,134,0.1063
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,6,True,3.5142857142857142,5,123,0.1604
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,6,True,3.8285714285714287,6,134,0.082
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,7,True,4.0,6,140,0.0762
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,7,True,4.0,6,140,0.0761
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,7,True,3.657142857142857,5,128,0.1364
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,7,True,3.657142857142857,5,128,0.2013
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,8,True,3.857142857142857,6,135,0.0678
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,8,True,3.857142857142857,6,135,0.0677
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,8,True,3.742857142857143,5,131,0.1217
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,8,True,3.942857142857143,6,138,0.0661
P4 n35 d0.4,P4,35,0.4,stock/a0,stock,0.0,9,True,3.7142857142857144,5,130,0.1005
P4 n35 d0.4,P4,35,0.4,stock/a1,stock,1.0,9,True,3.7142857142857144,5,130,0.1005
P4 n35 d0.4,P4,35,0.4,cuthill/a0,cuthill,0.0,9,True,3.8,5,133,0.1715
P4 n35 d0.4,P4,35,0.4,cuthill/a1,cuthill,1.0,9,True,3.8,5,133,0.1718
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,0,True,4.514285714285714,6,158,0.0926
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,0,True,4.4,7,154,0.06
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,0,True,4.057142857142857,5,142,0.0905
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,0,True,4.057142857142857,5,142,0.0905
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,1,True,3.9714285714285715,5,139,0.1436
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,1,True,4.3428571428571425,6,152,0.0682
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,1,True,3.914285714285714,6,137,0.0971
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,1,True,3.914285714285714,6,137,0.0972
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,2,True,3.914285714285714,5,137,0.2108
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,2,True,3.914285714285714,5,137,0.2104
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,2,True,3.914285714285714,6,137,0.2327
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,2,True,3.7714285714285714,5,132,0.1951
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,3,True,4.0,5,140,0.127
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,3,True,4.0,6,140,0.1473
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,3,True,4.142857142857143,6,145,0.0847
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,3,True,4.142857142857143,6,145,0.0848
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,4,True,4.457142857142857,7,156,0.0803
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,4,True,3.942857142857143,5,138,0.1583
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,4,True,4.285714285714286,6,150,0.1203
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,4,True,4.285714285714286,6,150,0.1205
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,5,True,4.371428571428571,6,153,0.1117
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,5,True,4.142857142857143,6,145,0.2044
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,5,True,4.114285714285714,6,144,0.0863
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,5,True,4.114285714285714,6,144,0.0863
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,6,True,3.942857142857143,5,138,0.1601
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,6,True,3.8857142857142857,5,136,0.245
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,6,True,3.8285714285714287,5,134,0.3197
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,6,True,3.8285714285714287,5,134,0.3183
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,7,True,4.171428571428572,6,146,0.1806
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,7,True,4.314285714285714,6,151,0.0797
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,7,True,4.0285714285714285,6,141,0.1363
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,7,True,4.0285714285714285,6,141,0.1364
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,8,True,4.0285714285714285,5,141,0.1633
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,8,True,4.2,6,147,0.1472
P4 n35 d0.5,P4,35,0.5,cuthill/a0,cuthill,0.0,8,True,4.171428571428572,6,146,0.0727
P4 n35 d0.5,P4,35,0.5,cuthill/a1,cuthill,1.0,8,True,4.171428571428572,6,146,0.0726
P4 n35 d0.5,P4,35,0.5,stock/a0,stock,0.0,9,True,4.142857142857143,6,145,0.1027
P4 n35 d0.5,P4,35,0.5,stock/a1,stock,1.0,9,True,4.142857142857143,6,145,0.103
