cell,arm,seed,final_acl,skips,deficit,time
K100,base,0,8.13,1,0,27.9
K100,base,1,8.12,1,0,33.6
K100,base,2,8.12,1,0,28.1
K100,vc1,0,7.79,1,0,14.5
K100,vc1,1,7.79,1,0,15.8
K100,vc1,2,7.79,1,0,17.4
K100,vc2m,0,7.79,1,0,14.7
K100,vc2m,1,7.79,1,0,15.9
K100,vc2m,2,7.79,1,0,17.3
K100,vc2t,0,7.79,1,0,14.5
K100,vc2t,1,7.79,1,0,15.8
K100,vc2t,2,7.79,1,0,17.3
K100,vc2x,0,8.68,1,0,31.7
K100,vc2x,1,8.67,1,0,29.9
K100,vc2x,2,8.69,1,0,29.6
K140,base,0,10.929,0,4,54.3
K140,base,1,10.793,0,4,62.7
K140,base,2,11.014,0,4,40.1
K140,vc1,0,10.521,1,0,46.9
K140,vc1,1,10.521,1,0,47.9
K140,vc1,2,10.521,1,0,46.6
K140,vc2m,0,10.521,1,0,46.5
K140,vc2m,1,10.521,1,0,48.3
K140,vc2m,2,10.521,1,0,48.6
K140,vc2t,0,10.521,1,0,46.2
K140,vc2t,1,10.521,1,0,47.6
K140,vc2t,2,10.521,1,0,47.9
K140,vc2x,0,10.479,1,0,63.3
K140,vc2x,1,10.479,1,0,63.9
K140,vc2x,2,10.479,1,0,60.7
ER100_d10,base,0,4.97,0,367,2.7
ER100_d10,base,1,4.48,0,367,6.2
ER100_d10,base,2,4.83,0,367,3.4
ER100_d10,vc1,0,4.67,0,355,4.4
ER100_d10,vc1,1,5.18,0,355,4.1
ER100_d10,vc1,2,4.53,0,355,5.3
ER100_d10,vc2m,0,5.17,0,354,3.0
ER100_d10,vc2m,1,4.36,0,354,5.7
ER100_d10,vc2m,2,4.96,0,354,4.4
ER100_d10,vc2t,0,4.62,0,378,3.5
ER100_d10,vc2t,1,4.9,0,378,3.4
ER100_d10,vc2t,2,4.6,0,378,4.4
ER100_d10,vc2x,0,4.98,0,383,2.5
ER100_d10,vc2x,1,4.7,0,383,3.4
ER100_d10,vc2x,2,4.93,0,383,2.7
turan_n162,base,0,9.13,0,15,15.1
turan_n162,base,1,9.062,0,15,15.4
turan_n162,base,2,8.988,0,15,60.6
turan_n162,vc1,0,7.407,1,0,34.5
turan_n162,vc1,1,9.463,0,41,60.2
turan_n162,vc1,2,7.5,1,0,34.8
turan_n162,vc2m,0,7.407,1,0,34.2
turan_n162,vc2m,1,9.463,0,41,60.2
turan_n162,vc2m,2,7.5,1,0,33.8
turan_n162,vc2t,0,7.747,1,0,23.6
turan_n162,vc2t,1,10.907,1,0,39.7
turan_n162,vc2t,2,7.747,1,0,24.0
turan_n162,vc2x,0,7.0,1,0,28.9
turan_n162,vc2x,1,13.309,0,8,32.3
turan_n162,vc2x,2,7.0,1,0,30.0
spin_glass_n163,base,0,12.73,0,1,14.4
spin_glass_n163,base,1,13.049,0,1,16.5
spin_glass_n163,base,2,12.853,0,1,15.2
spin_glass_n163,vc1,0,12.337,0,7,17.4
spin_glass_n163,vc1,1,12.712,0,7,25.4
spin_glass_n163,vc1,2,12.221,0,7,15.1
spin_glass_n163,vc2m,0,12.571,0,7,20.2
spin_glass_n163,vc2m,1,11.822,0,7,16.2
spin_glass_n163,vc2m,2,12.08,0,7,15.8
spin_glass_n163,vc2t,0,12.423,0,19,15.7
spin_glass_n163,vc2t,1,12.374,0,19,15.0
spin_glass_n163,vc2t,2,12.368,0,19,16.6
spin_glass_n163,vc2x,0,12.362,0,18,18.4
spin_glass_n163,vc2x,1,12.448,0,18,17.0
spin_glass_n163,vc2x,2,12.08,0,18,15.6
regular_n316,base,0,2.759,0,95,5.6
regular_n316,base,1,2.674,0,95,5.7
regular_n316,base,2,3.136,0,95,5.0
regular_n316,vc1,0,2.728,0,132,4.2
regular_n316,vc1,1,2.956,0,132,3.8
regular_n316,vc1,2,2.658,0,132,4.5
regular_n316,vc2m,0,2.728,0,132,4.2
regular_n316,vc2m,1,2.956,0,132,3.9
regular_n316,vc2m,2,2.658,0,132,4.5
regular_n316,vc2t,0,2.873,0,60,3.7
regular_n316,vc2t,1,2.684,0,60,4.3
regular_n316,vc2t,2,2.835,0,60,3.9
regular_n316,vc2x,0,2.981,0,67,3.2
regular_n316,vc2x,1,2.756,0,67,3.6
regular_n316,vc2x,2,2.703,0,67,4.1
ws_n486,base,0,3.019,0,762,5.7
ws_n486,base,1,2.792,0,762,7.0
ws_n486,base,2,3.545,0,762,4.9
ws_n486,vc1,0,2.829,0,495,10.5
ws_n486,vc1,1,2.7,0,495,10.3
ws_n486,vc1,2,2.998,0,495,9.9
ws_n486,vc2m,0,3.056,0,667,6.0
ws_n486,vc2m,1,2.926,0,667,5.5
ws_n486,vc2m,2,2.712,0,667,6.5
ws_n486,vc2t,0,2.798,0,537,11.1
ws_n486,vc2t,1,2.698,0,537,10.8
ws_n486,vc2t,2,3.451,0,537,9.8
ws_n486,vc2x,0,2.889,0,536,8.8
ws_n486,vc2x,1,2.914,0,536,9.6
ws_n486,vc2x,2,3.049,0,536,8.7
