cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,landmark,0,4.71,8,0.0,14.84,5,482|154|51|3|0,,690,0,7060,691,0,10.26,689,0,300,0,1,0,632.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,landmark,1,4.72,8,0.0,11.2,5,482|154|51|3|0,,690,0,7060,691,0,8.37,689,0,300,0,1,0,632.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,landmark,2,4.71,8,0.0,12.79,5,482|154|51|3|0,,690,0,7060,691,0,8.85,689,0,300,0,1,0,632.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,random,0,4.25,7,0.0,13.31,5,395|96|24|1|0,,516,0,7234,517,0,8.35,516,0,209,0,1,0,633.0,18.0,True,0,0,0,True,60.1
ER100_d10,Z12,,random,1,4.76,8,0.0,29.93,10,356|202|82|44|21|11|11|11|11|6,,755,0,13528,756,0,9.57,646,0,279,0,1,0,626.0,18.0,True,0,0,0,True,60.1
ER100_d10,Z12,,random,2,4.14,7,0.0,15.24,5,428|87|41|17|0,,573,0,7177,574,0,11.21,568,0,240,0,1,0,626.0,16.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,spectral,0,9.253,12,0.0,29.93,1,203,,203,0,6481,204,0,4.26,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,62.3
turan_n162,Z12,2647,spectral,1,9.593,13,0.0,29.93,1,190,,190,0,6851,191,0,3.67,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,62.8
turan_n162,Z12,2647,spectral,2,9.253,12,0.0,29.93,1,203,,203,0,6461,204,0,4.13,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,62.1
turan_n162,Z12,2647,spectral,3,9.253,12,0.0,29.89,1,203,,203,0,6126,204,0,4.39,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,62.2
turan_n162,Z12,2647,spectral,4,9.222,12,0.0,29.89,1,203,,203,0,6824,204,0,5.62,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.1
turan_n162,Z12,2647,spectral,5,9.611,13,0.0,29.87,1,190,,190,0,3768,191,0,5.72,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,66.0
turan_n162,Z12,2647,spectral,6,9.253,12,0.0,29.79,1,203,,203,0,5095,204,0,5.88,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,64.9
turan_n162,Z12,2647,spectral,7,9.611,13,0.0,29.94,1,190,,190,0,5668,191,0,4.5,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,62.3
turan_n162,Z12,2647,spectral,8,9.611,13,0.0,29.93,1,190,,190,0,6196,191,0,2.97,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,65.6
turan_n162,Z12,2647,spectral,9,9.253,12,0.0,29.93,1,203,,203,0,6107,204,0,6.46,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.9
turan_n162,Z12,2647,trivial,0,6.0,6,0.0,29.93,1,24,,24,0,5923,25,0,1.12,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,67.3
turan_n162,Z12,2647,trivial,1,6.0,6,0.0,29.9,1,24,,24,0,5455,25,0,1.52,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,61.1
turan_n162,Z12,2647,trivial,2,6.0,6,0.0,29.93,1,24,,24,0,6295,25,0,0.96,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,trivial,3,6.0,6,0.0,29.94,1,24,,24,0,7404,25,0,1.0,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,63.5
turan_n162,Z12,2647,trivial,4,6.0,6,0.0,29.9,1,24,,24,0,4501,25,0,1.75,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,65.0
turan_n162,Z12,2647,trivial,5,6.0,6,0.0,29.94,1,24,,24,0,4239,25,0,1.02,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,trivial,6,6.0,6,0.0,29.93,1,24,,24,0,6489,25,0,0.96,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,67.4
turan_n162,Z12,2647,trivial,7,6.0,6,0.0,29.88,1,24,,24,0,6259,25,0,1.71,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,62.6
turan_n162,Z12,2647,trivial,8,6.0,6,0.0,29.99,1,24,,24,0,4881,25,0,1.73,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,61.9
turan_n162,Z12,2647,trivial,9,6.0,6,0.0,29.9,1,24,,24,0,5329,25,0,1.47,24,0,0,0,1,0,1725.0,26.0,True,0,0,0,True,69.7
