cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,carry-tile-settle,1,4.44,8,0.11,29.79,8,453|499|433|459|466|414|424|424,,3572,0,8505,3573,0,3.25,410,0,1056,519,3,0,634.0,18.0,True,0,0,0,True,60.3
ER100_d10,Z12,,carry-tile-settle,2,4.5,9,0.26,29.46,5,453|499|433|459|55,,1899,0,4633,1900,0,10.44,410,0,582,332,3,0,634.0,18.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,0,6.228,7,0.0,29.96,3,132|512|50,,693,0,1604,760,9,28.92,758,0,0,0,1,0,1693.0,26.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,plane,1,6.228,7,0.0,30.11,4,131|92|105|53,,381,0,2676,385,0,11.89,199,0,0,0,1,0,1694.0,30.0,True,0,0,1,False,64.9
turan_n162,Z12,2647,plane,2,6.0,6,0.02,29.12,2,132|5,,137,0,812,138,0,28.46,122,0,0,0,1,0,1696.0,31.0,True,0,0,0,True,62.1
turan_n162,Z12,2647,plane,3,6.0,6,0.0,30.09,2,132|454,,586,0,1164,632,0,3.78,122,0,0,0,1,0,1696.0,31.0,True,0,0,0,True,66.0
turan_n162,Z12,2647,plane,4,6.228,7,0.02,29.24,4,132|512|143|60,,846,0,2339,914,9,20.85,758,0,0,0,1,0,1693.0,26.0,True,0,0,0,True,61.1
turan_n162,Z12,2647,plane,5,6.0,6,0.02,29.68,1,119,,119,0,605,121,0,25.8,118,0,0,0,1,0,1709.0,34.0,True,0,0,0,True,61.3
turan_n162,Z12,2647,plane,6,6.228,7,0.0,29.95,4,132|512|143|34,,820,0,2116,888,9,22.51,758,0,0,0,1,0,1693.0,26.0,True,0,0,0,True,61.4
turan_n162,Z12,2647,plane,7,6.228,7,0.0,29.94,5,131|92|105|92|20,,440,0,3548,444,0,11.72,199,0,0,0,1,0,1694.0,30.0,True,0,0,1,False,60.9
turan_n162,Z12,2647,plane,8,6.228,7,0.0,30.13,7,131|92|105|92|55|107|26,,608,0,5132,612,0,7.05,199,0,0,0,1,0,1694.0,30.0,True,0,0,1,False,63.0
turan_n162,Z12,2647,plane,9,6.0,6,0.0,30.16,3,132|512|50,,693,0,1520,760,9,28.49,758,0,0,0,1,0,1693.0,26.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,carry,0,9.253,12,0.01,29.41,1,203,,203,0,4028,204,0,10.13,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.2
turan_n162,Z12,2647,carry,1,9.593,13,0.01,29.46,1,183,,183,0,369,184,0,26.21,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,62.6
turan_n162,Z12,2647,carry,2,9.253,12,0.01,29.66,1,203,,203,0,3618,204,0,14.65,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,64.0
turan_n162,Z12,2647,carry,3,9.253,12,0.0,29.92,1,203,,203,0,6402,204,0,4.24,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,60.2
turan_n162,Z12,2647,carry,4,9.222,12,0.0,29.87,1,203,,203,0,6601,204,0,4.59,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.9
turan_n162,Z12,2647,carry,5,9.611,13,0.0,29.92,1,190,,190,0,5953,191,0,3.26,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,61.3
turan_n162,Z12,2647,carry,6,9.253,12,0.0,29.92,1,203,,203,0,6643,204,0,4.32,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,62.5
turan_n162,Z12,2647,carry,7,9.611,13,0.01,29.81,1,190,,190,0,5895,191,0,4.23,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,63.6
turan_n162,Z12,2647,carry,8,9.611,13,0.0,29.92,1,190,,190,0,6537,191,0,3.33,183,0,0,0,1,0,2700.0,32.0,True,0,0,0,True,63.8
turan_n162,Z12,2647,carry,9,9.253,12,0.0,29.92,1,203,,203,0,6725,204,0,5.31,204,0,0,0,1,0,2598.0,28.0,True,0,0,0,True,61.2
turan_n162,Z12,2647,carry-tile,0,6.0,6,0.0,29.93,1,400,,400,0,3580,401,0,17.19,387,0,0,209,1,0,1932.0,28.0,True,0,0,0,True,64.8
turan_n162,Z12,2647,carry-tile,1,9.463,12,0.01,29.6,1,411,,411,0,2891,412,0,19.53,411,0,0,199,1,0,2640.0,36.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,carry-tile,2,6.815,9,0.0,29.93,1,400,,400,0,4407,401,0,14.27,387,0,0,209,1,0,1932.0,28.0,True,0,0,0,True,60.5
turan_n162,Z12,2647,carry-tile,3,6.0,6,0.0,29.89,1,400,,400,0,3852,401,0,16.51,387,0,0,209,1,0,1932.0,28.0,True,0,0,0,True,60.9
turan_n162,Z12,2647,carry-tile,4,6.457,7,0.0,29.94,1,400,,400,0,4315,401,0,14.44,387,0,0,209,1,0,1932.0,28.0,True,0,0,0,True,61.6
turan_n162,Z12,2647,carry-tile,5,9.407,12,0.0,29.93,1,411,,411,0,3933,412,0,16.05,411,0,0,199,1,0,2640.0,36.0,True,0,0,0,True,61.2
turan_n162,Z12,2647,carry-tile,6,6.0,6,0.0,29.89,1,400,,400,0,4329,401,0,14.62,387,0,0,209,1,0,1932.0,28.0,True,0,0,0,True,63.0
turan_n162,Z12,2647,carry-tile,7,9.407,12,0.0,29.93,1,411,,411,0,3959,412,0,15.66,411,0,0,199,1,0,2640.0,36.0,True,0,0,0,True,61.3
turan_n162,Z12,2647,carry-tile,8,9.407,12,0.0,29.92,1,411,,411,0,3610,412,0,17.39,411,0,0,199,1,0,2640.0,36.0,True,0,0,0,True,63.2
turan_n162,Z12,2647,carry-tile,9,6.0,6,0.0,29.93,1,400,,400,0,4551,401,0,14.49,387,0,0,209,1,0,1932.0,28.0,True,0,0,0,True,60.2
turan_n162,Z12,2647,carry-tile-settle,0,6.0,6,0.0,29.95,1,400,,400,0,3870,401,0,14.78,387,0,0,209,2,0,1932.0,28.0,True,0,0,0,True,60.6
turan_n162,Z12,2647,carry-tile-settle,1,9.463,12,0.0,29.93,1,411,,411,0,3747,412,0,16.72,411,0,0,199,2,0,2640.0,36.0,True,0,0,0,True,62.3
turan_n162,Z12,2647,carry-tile-settle,2,6.815,9,0.0,29.95,1,400,,400,0,4508,401,0,14.47,387,0,0,209,2,0,1932.0,28.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,carry-tile-settle,3,6.0,6,0.0,29.96,1,400,,400,0,3574,401,0,15.35,387,0,0,209,2,0,1932.0,28.0,True,0,0,0,True,62.7
turan_n162,Z12,2647,carry-tile-settle,4,6.457,7,0.0,29.96,1,400,,400,0,4388,401,0,14.53,387,0,0,209,2,0,1932.0,28.0,True,0,0,0,True,66.0
turan_n162,Z12,2647,carry-tile-settle,5,9.407,12,0.0,29.96,1,411,,411,0,4226,412,0,15.1,411,0,0,199,2,0,2640.0,36.0,True,0,0,0,True,67.5
turan_n162,Z12,2647,carry-tile-settle,6,6.321,8,0.0,29.93,1,400,,400,0,2004,401,0,19.66,387,0,0,209,2,0,1932.0,28.0,True,0,0,0,True,61.6
turan_n162,Z12,2647,carry-tile-settle,7,9.407,12,0.0,29.96,1,411,,411,0,1521,412,0,22.06,411,0,0,199,2,0,2640.0,36.0,True,0,0,0,True,62.5
turan_n162,Z12,2647,carry-tile-settle,8,9.407,12,0.0,29.96,1,411,,411,0,1439,412,0,22.36,411,0,0,199,2,0,2640.0,36.0,True,0,0,0,True,64.0
turan_n162,Z12,2647,carry-tile-settle,9,6.0,6,0.0,29.95,1,400,,400,0,1954,401,0,21.11,387,0,0,209,2,0,1932.0,28.0,True,0,0,0,True,65.2
spin_glass_n163,Z12,37309,plane,0,11.129,12,0.77,29.19,3,413|219|43,,673,0,1398,1298,13,28.7,1295,0,0,0,1,0,3123.0,37.0,True,0,0,0,True,62.7
spin_glass_n163,Z12,37309,plane,1,11.098,13,1.14,28.81,3,413|219|22,,652,0,1339,1256,13,27.71,1222,0,0,0,1,0,3129.0,36.0,True,0,0,0,True,64.4
spin_glass_n163,Z12,37309,plane,2,11.123,12,1.24,28.68,3,413|219|51,,681,0,1417,1306,13,28.13,1299,0,0,0,1,0,3120.0,37.0,True,0,0,0,True,64.4
spin_glass_n163,Z12,37309,carry,0,10.853,12,1.57,28.31,1,346,,346,0,4291,347,0,10.14,334,0,57,0,1,0,3055.0,33.0,True,0,0,0,True,61.1
spin_glass_n163,Z12,37309,carry,1,10.853,12,1.36,28.56,1,340,,340,0,4041,341,0,12.19,334,0,51,0,1,0,3055.0,33.0,True,0,0,0,True,69.8
spin_glass_n163,Z12,37309,carry,2,10.853,12,1.08,28.86,1,346,,346,0,4307,347,0,12.17,334,0,57,0,1,0,3055.0,33.0,True,0,0,0,True,62.5
spin_glass_n163,Z12,37309,carry-tile,0,10.926,12,1.18,28.71,1,478,,478,0,2037,479,0,20.2,467,0,17,202,1,0,3073.0,30.0,True,0,0,0,True,66.4
spin_glass_n163,Z12,37309,carry-tile,1,10.957,12,0.75,29.22,1,484,,484,0,2430,485,0,28.48,481,0,23,202,1,0,3071.0,30.0,True,0,0,0,True,66.0
spin_glass_n163,Z12,37309,carry-tile,2,10.926,12,0.92,29.01,1,478,,478,0,2076,479,0,20.25,467,0,17,202,1,0,3073.0,30.0,True,0,0,0,True,68.7
spin_glass_n163,Z12,37309,carry-tile-settle,0,10.926,12,0.94,29.01,1,477,,477,0,1655,478,0,22.02,467,0,16,202,2,0,3073.0,30.0,True,0,0,0,True,60.5
spin_glass_n163,Z12,37309,carry-tile-settle,1,10.926,12,1.02,28.93,1,477,,477,0,1397,478,0,23.24,467,0,16,202,2,0,3073.0,30.0,True,0,0,0,True,64.0
spin_glass_n163,Z12,37309,carry-tile-settle,2,10.926,12,1.39,28.5,1,478,,478,0,2067,479,0,23.09,467,0,17,202,2,0,3073.0,30.0,True,0,0,0,True,61.6
regular_n316,Z12,13096,plane,0,2.557,6,1.57,28.38,1,1518,,1518,0,194,1591,0,0.07,3,0,0,0,1,10,2030.0,22.0,False,0,1,4,False,60.0
regular_n316,Z12,13096,plane,1,2.706,6,1.43,28.46,1,1459,,1459,0,182,1530,0,0.04,3,0,0,0,1,10,2030.0,22.0,False,0,1,4,False,60.0
regular_n316,Z12,13096,plane,2,2.756,6,0.83,29.09,1,1194,,1194,0,136,1260,0,0.06,3,0,0,0,1,10,2030.0,22.0,False,0,1,4,False,60.0
regular_n316,Z12,13096,carry,0,2.87,7,1.68,28.19,2,860|24,,884,0,2365,885,0,21.64,757,0,131,0,1,5,1607.0,30.0,True,0,0,2,False,60.2
regular_n316,Z12,13096,carry,1,2.734,7,1.95,28.02,1,755,,755,0,1290,756,0,21.15,690,0,26,0,1,6,1608.0,28.0,False,0,1,1,False,60.1
regular_n316,Z12,13096,carry,2,2.734,6,1.06,28.74,1,786,,786,0,1628,787,0,25.4,757,0,57,0,1,5,1607.0,30.0,True,0,0,2,False,60.4
