gid,n,e,tmpl_acl,prune_s,err
10175,58,112,2.983,0.01,
10176,58,112,3.207,0.01,
10177,58,112,3.207,0.01,
10178,58,112,3.034,0.01,
10179,58,112,3.034,0.01,
10180,58,312,4.483,0.01,
10181,58,312,4.483,0.01,
10182,8,12,1.0,0.0,
10183,58,312,4.103,0.01,
10184,9,18,1.222,0.0,
10185,58,312,4.328,0.01,
10186,10,24,1.4,0.0,
10187,60,275,4.333,0.01,
10188,10,24,1.4,0.0,
10189,60,275,4.083,0.01,
10190,11,30,1.545,0.0,
10191,60,275,4.033,0.01,
10192,61,60,2.082,0.0,
10193,61,60,1.852,0.0,
10194,61,60,2.049,0.0,
10195,61,174,3.328,0.01,
10196,61,174,3.328,0.01,
10197,61,174,3.705,0.01,
10198,61,174,3.705,0.01,
10199,61,174,3.574,0.01,
10200,61,174,3.574,0.01,
10201,61,228,3.984,0.01,
10202,61,228,3.984,0.01,
10203,16,60,1.938,0.0,
10204,61,228,4.033,0.01,
10205,17,66,2.235,0.0,
10206,61,228,4.066,0.01,
10207,19,78,2.211,0.0,
10208,61,424,4.77,0.01,
10209,19,78,2.316,0.0,
10210,61,424,4.951,0.01,
10211,21,90,2.429,0.0,
10212,61,424,4.705,0.01,
10213,62,520,5.0,0.01,
10214,62,520,5.0,0.01,
10215,23,102,2.522,0.0,
10216,62,520,5.113,0.01,
10217,62,520,4.823,0.01,
10218,62,520,4.823,0.01,
10219,62,705,5.048,0.01,
10220,62,705,5.048,0.01,
10221,27,126,2.852,0.0,
10222,62,705,5.097,0.01,
10223,62,705,5.097,0.01,
10224,62,705,5.097,0.01,
10225,32,156,2.812,0.0,
10226,62,840,4.952,0.01,
10227,62,840,4.887,0.01,
10228,62,840,4.887,0.01,
10229,35,174,3.229,0.0,
10230,62,840,5.081,0.01,
10231,38,192,3.237,0.0,
10232,63,122,3.127,0.01,
10233,63,122,3.429,0.01,
10234,63,122,3.429,0.01,
10235,63,122,3.063,0.01,
10236,63,122,3.063,0.01,
10237,63,342,4.73,0.01,
10238,63,342,4.73,0.01,
10239,45,234,3.667,0.01,
10240,63,342,4.381,0.01,
10241,49,258,3.837,0.01,
10242,63,342,4.619,0.01,
10243,66,189,3.5,0.01,
10244,66,189,3.5,0.01,
10245,53,282,4.132,0.01,
10246,66,189,3.985,0.01,
10247,58,312,4.103,0.01,
10248,66,189,4.015,0.01,
10249,66,305,4.561,0.01,
10250,66,305,4.561,0.01,
10251,66,305,4.515,0.01,
10252,66,305,4.515,0.01,
10253,66,305,4.5,0.01,
10254,66,305,4.5,0.01,
10255,67,66,2.209,0.01,
10256,67,66,2.104,0.01,
10257,67,66,2.09,0.01,
10258,67,252,4.134,0.01,
10259,67,252,4.134,0.01,
10260,67,252,4.373,0.01,
10261,67,252,4.373,0.01,
10262,89,498,5.607,0.02,
10263,67,252,4.478,0.01,
10264,97,546,6.103,0.03,
10265,67,472,5.164,0.01,
10266,67,472,5.224,0.01,
10267,67,472,5.224,0.01,
10268,67,472,5.03,0.01,
10269,67,472,5.03,0.01,
10270,67,570,5.239,0.01,
10271,67,570,5.239,0.01,
10272,116,660,7.198,0.04,
10273,67,570,5.313,0.01,
10274,67,570,5.164,0.01,
10275,67,570,5.164,0.01,
10276,137,786,8.117,0.09,
10277,67,780,5.343,0.01,
10278,137,786,8.073,0.11,
10279,67,780,5.463,0.01,
10280,67,780,5.418,0.01,
10281,67,780,5.418,0.01,
10282,67,940,5.299,0.01,
10283,67,940,5.299,0.01,
10284,67,940,5.269,0.01,
10285,67,940,5.269,0.01,
10286,67,940,5.478,0.01,
10287,67,940,5.478,0.01,
10288,69,134,3.507,0.01,
10289,69,134,3.507,0.01,
10290,69,134,3.58,0.01,
10291,69,134,3.58,0.01,
10293,69,134,3.087,0.01,
10294,69,378,5.029,0.01,
10295,69,378,5.029,0.01,
10297,69,378,4.783,0.01,
10299,69,378,4.725,0.01,
10300,72,207,3.75,0.01,
10301,72,207,3.75,0.01,
10303,72,207,4.181,0.01,
10305,72,207,4.056,0.01,
10306,72,335,4.792,0.01,
10307,72,335,4.792,0.01,
10308,72,335,4.681,0.02,
10309,72,335,4.681,0.02,
10310,72,335,4.833,0.01,
10311,72,335,4.833,0.01,
10312,73,72,2.425,0.01,
10313,73,72,2.096,0.01,
10314,73,72,2.288,0.01,
10315,73,276,4.397,0.01,
10316,73,276,4.397,0.01,
10317,73,276,4.507,0.01,
10318,73,276,4.507,0.01,
10319,73,276,4.562,0.01,
10320,73,276,4.562,0.01,
10322,73,520,5.411,0.01,
10323,73,520,5.534,0.01,
10324,73,520,5.534,0.01,
10325,73,520,5.356,0.02,
10326,73,520,5.356,0.02,
10327,73,630,5.493,0.01,
10328,73,630,5.493,0.01,
10329,73,630,5.493,0.01,
10330,73,630,5.493,0.01,
10332,73,630,5.411,0.02,
10334,74,885,5.797,0.02,
10336,74,885,5.838,0.02,
10338,74,885,5.743,0.02,
10339,74,1080,5.892,0.02,
10340,74,1080,5.892,0.02,
10342,74,1080,5.743,0.02,
10343,74,1080,5.892,0.02,
10344,74,1080,5.892,0.02,
10345,75,146,3.547,0.01,
10346,75,146,3.547,0.01,
10347,75,146,3.653,0.01,
10348,75,146,3.653,0.01,
10349,75,146,3.227,0.01,
10350,75,146,3.227,0.01,
10351,75,414,5.267,0.02,
10352,75,414,5.267,0.02,
10354,75,414,5.053,0.02,
10356,75,414,5.2,0.02,
10357,78,365,5.077,0.02,
10358,78,365,5.077,0.01,
10360,78,365,5.128,0.02,
10361,78,365,5.218,0.02,
10362,78,365,5.218,0.02,
10363,79,78,2.38,0.01,
10364,79,78,2.114,0.01,
10365,79,78,2.354,0.01,
10366,79,228,4.152,0.02,
10367,79,228,4.152,0.02,
10368,79,228,4.291,0.02,
10369,79,228,4.291,0.02,
10370,79,228,4.304,0.02,
10371,79,228,4.304,0.01,
10373,79,568,5.671,0.01,
10375,79,568,5.747,0.01,
10376,79,568,5.671,0.01,
10377,79,568,5.671,0.01,
10378,80,304,4.85,0.01,
10379,80,304,4.85,0.01,
10381,80,304,4.838,0.01,
10382,80,304,4.912,0.01,
10383,80,304,4.912,0.01,
10385,80,700,6.013,0.01,
10386,80,700,5.812,0.02,
10387,80,700,5.812,0.02,
10389,80,700,5.838,0.02,
10391,80,975,6.15,0.01,
10392,80,975,6.237,0.01,
10393,80,975,6.237,0.02,
10395,80,975,6.15,0.01,
10397,80,1200,6.225,0.02,
10399,80,1200,6.188,0.02,
10401,80,1200,6.25,0.01,
10402,82,160,3.573,0.01,
10403,82,160,3.573,0.01,
10404,82,160,3.927,0.01,
10405,82,160,3.927,0.01,
10407,82,160,3.524,0.01,
10408,82,456,5.573,0.02,
10409,82,456,5.573,0.02,
10410,82,456,5.354,0.02,
10411,82,456,5.354,0.02,
10413,82,456,5.476,0.02,
10415,85,400,5.318,0.02,
10416,85,400,5.459,0.02,
10417,85,400,5.459,0.02,
10418,85,400,5.388,0.02,
10419,85,400,5.388,0.02,
10420,86,85,2.442,0.01,
10421,86,85,2.081,0.01,
10422,86,85,2.453,0.01,
10423,86,249,4.267,0.01,
10424,86,249,4.267,0.01,
10425,12,32,1.333,0.0,
10426,86,249,4.605,0.02,
10427,86,249,4.535,0.01,
10428,86,249,4.535,0.01,
10429,14,48,1.5,0.0,
10430,86,624,6.0,0.02,
10431,14,48,1.5,0.0,
10432,86,624,6.07,0.02,
10433,15,56,1.6,0.0,
10434,86,624,6.047,0.02,
10435,87,332,5.207,0.02,
10436,87,332,5.207,0.02,
10437,87,332,5.046,0.02,
10438,87,332,5.046,0.02,
10439,87,332,5.368,0.02,
10440,87,332,5.368,0.01,
10441,20,96,2.25,0.0,
10442,87,770,6.333,0.01,
10443,87,770,6.218,0.02,
10444,87,770,6.218,0.02,
10445,87,770,6.23,0.02,
10446,87,770,6.23,0.02,
10447,87,1080,6.632,0.02,
10448,87,1080,6.632,0.03,
10449,87,1080,6.644,0.03,
10450,87,1080,6.644,0.03,
10451,87,1080,6.655,0.02,
10452,87,1080,6.655,0.02,
10453,28,160,3.071,0.0,
10454,87,1340,6.575,0.02,
10455,87,1340,6.575,0.02,
10456,87,1340,6.575,0.02,
10457,31,184,3.032,0.0,
10458,87,1340,6.678,0.02,
10459,33,200,3.182,0.0,
10460,89,174,3.876,0.02,
10461,89,174,4.09,0.02,
10462,89,174,4.09,0.02,
10463,89,174,3.663,0.02,
10464,89,174,3.663,0.02,
10465,40,256,3.625,0.0,
10466,89,498,5.933,0.02,
10467,40,256,3.65,0.0,
10468,89,498,5.607,0.02,
10469,89,498,5.921,0.02,
10470,89,498,5.921,0.02,
10471,93,440,5.785,0.02,
10472,93,440,5.785,0.02,
10473,47,312,4.085,0.0,
10474,93,440,5.849,0.02,
10475,51,344,4.255,0.0,
10476,93,440,5.71,0.02,
10477,94,93,2.5,0.01,
10478,94,93,2.309,0.01,
10479,94,93,2.574,0.01,
10480,94,273,4.351,0.02,
10481,94,273,4.351,0.02,
10482,61,424,4.705,0.01,
10483,94,273,4.755,0.02,
10484,67,472,5.224,0.01,
10485,94,273,4.809,0.02,
10486,94,688,6.298,0.03,
10487,94,688,6.298,0.03,
10488,94,688,6.415,0.03,
10489,94,688,6.415,0.03,
10490,94,688,6.436,0.03,
10491,94,688,6.436,0.03,
10492,95,364,5.589,0.02,
10493,95,364,5.589,0.02,
10494,95,364,5.211,0.02,
10495,95,364,5.211,0.02,
10496,94,688,6.415,0.03,
10497,95,364,5.484,0.03,
10498,102,752,6.961,0.04,
10499,95,850,6.821,0.03,
10500,102,752,6.765,0.03,
10501,95,850,6.653,0.03,
10502,112,832,7.286,0.05,
10503,95,850,6.716,0.03,
10504,122,912,7.918,0.06,
10505,95,1200,7.011,0.03,
10506,95,1200,7.021,0.02,
10507,95,1200,7.021,0.02,
10508,133,1000,8.331,0.07,
10509,95,1200,6.958,0.02,
10510,95,1500,7.179,0.03,
10511,95,1500,7.179,0.03,
10512,145,1096,9.069,0.11,
10513,95,1500,7.084,0.02,
10514,95,1500,7.221,0.03,
10515,95,1500,7.221,0.03,
10516,97,190,4.041,0.02,
10517,97,190,4.041,0.02,
10518,97,190,4.392,0.02,
10519,97,190,4.392,0.02,
10520,97,190,3.887,0.02,
10521,97,190,3.887,0.02,
10522,97,546,6.103,0.03,
10523,97,546,6.103,0.03,
10524,97,546,6.021,0.03,
10525,97,546,6.021,0.03,
10527,97,546,6.371,0.03,
10528,101,480,6.257,0.03,
10529,101,480,6.257,0.03,
10530,101,480,6.267,0.03,
10531,101,480,6.267,0.03,
10532,101,480,6.059,0.03,
10533,101,480,6.059,0.03,
10535,102,297,4.98,0.02,
10536,102,297,5.284,0.02,
10537,102,297,5.284,0.02,
10539,102,297,5.137,0.03,
10540,102,752,6.961,0.03,
10541,102,752,6.961,0.03,
10543,102,752,6.873,0.03,
10544,102,752,6.765,0.03,
10545,102,752,6.765,0.03,
10546,103,102,2.738,0.02,
10547,103,102,2.388,0.01,
10548,103,102,2.709,0.02,
10550,103,396,5.864,0.04,
10552,103,396,5.602,0.04,
10554,103,396,5.699,0.04,
10556,103,930,7.117,0.04,
10558,103,930,7.097,0.06,
10559,103,930,7.233,0.04,
10560,103,930,7.233,0.04,
10561,104,1335,7.51,0.05,
10562,104,1335,7.51,0.05,
10564,104,1335,7.5,0.04,
10565,104,1335,7.462,0.05,
10566,104,1335,7.462,0.05,
10568,104,1680,7.702,0.04,
10570,104,1680,7.577,0.05,
10572,104,1680,7.712,0.04,
10574,106,208,4.217,0.02,
10575,106,208,4.679,0.03,
10576,106,208,4.679,0.03,
10578,106,208,4.113,0.02,
10580,106,600,6.632,0.04,
10581,106,600,6.387,0.04,
10582,106,600,6.387,0.04,
10584,106,600,6.783,0.04,
10586,110,525,6.618,0.04,
10588,110,525,6.564,0.04,
10589,110,525,6.391,0.04,
10590,110,525,6.391,0.04,
10591,111,324,5.153,0.03,
10592,111,324,5.153,0.03,
10593,111,324,5.739,0.03,
10594,111,324,5.739,0.03,
10596,111,324,5.405,0.03,
10597,112,111,2.812,0.02,
10598,112,111,2.643,0.02,
10599,112,111,2.848,0.02,
10601,112,432,6.089,0.04,
10602,112,432,5.821,0.04,
10603,112,432,5.821,0.04,
10605,112,432,6.045,0.04,
10606,112,832,7.348,0.05,
10607,112,832,7.348,0.05,
10608,112,832,7.286,0.05,
10609,112,832,7.286,0.05,
10611,112,832,7.295,0.05,
10612,113,1030,7.681,0.04,
10613,113,1030,7.681,0.04,
10614,113,1030,7.708,0.04,
10615,113,1030,7.708,0.04,
10616,113,1030,7.832,0.04,
10617,113,1030,7.832,0.04,
10618,113,1470,8.027,0.04,
10619,113,1470,8.027,0.04,
10621,113,1470,7.956,0.05,
10623,113,1470,8.133,0.05,
10624,113,1860,8.274,0.04,
10625,113,1860,8.274,0.04,
10627,113,1860,8.124,0.04,
10629,113,1860,8.283,0.05,
10630,115,226,4.435,0.03,
10631,115,226,4.435,0.03,
10633,115,226,4.791,0.03,
10634,115,226,4.191,0.03,
10635,115,226,4.191,0.03,
10636,116,660,7.362,0.05,
10637,116,660,7.362,0.05,
10638,116,660,7.147,0.05,
10639,116,660,7.147,0.05,
10640,12,20,1.083,0.0,
10641,116,660,7.198,0.04,
10642,120,575,7.017,0.05,
10643,120,575,7.017,0.05,
10644,120,575,7.025,0.04,
10645,120,575,7.025,0.04,
10646,120,575,6.858,0.04,
10647,120,575,6.858,0.04,
10648,16,60,1.438,0.0,
10649,121,354,5.579,0.04,
10650,17,70,1.588,0.0,
10651,121,354,5.884,0.05,
10652,17,70,1.588,0.0,
10653,121,354,5.793,0.07,
10654,122,121,3.008,0.04,
10655,122,121,2.689,0.04,
10656,122,121,3.131,0.04,
10657,122,472,6.361,0.08,
10658,122,472,6.361,0.08,
10659,122,472,6.049,0.08,
10660,122,472,6.049,0.08,
10661,122,472,6.475,0.09,
10662,122,472,6.475,0.08,
10663,122,912,7.918,0.1,
10664,122,912,7.918,0.1,
10665,26,160,2.808,0.0,
10666,122,912,7.787,0.1,
10667,122,912,7.902,0.1,
10668,122,912,7.902,0.06,
10669,123,1130,8.268,0.06,
10670,123,1130,8.268,0.06,
10671,31,210,3.161,0.0,
10672,123,1130,8.228,0.07,
10673,123,1130,8.317,0.06,
10674,123,1130,8.317,0.06,
10675,34,240,3.382,0.0,
10676,123,1620,8.789,0.06,
10677,37,270,3.378,0.0,
10678,123,1620,8.65,0.06,
10679,37,270,3.541,0.0,
10680,123,1620,8.715,0.07,
10681,123,2060,8.967,0.06,
10682,123,2060,8.967,0.06,
10683,123,2060,8.691,0.07,
10684,123,2060,8.691,0.07,
10685,123,2060,8.862,0.08,
10686,123,2060,8.862,0.09,
10687,126,248,4.722,0.05,
10688,126,248,4.722,0.04,
10689,126,248,5.151,0.04,
10690,126,248,5.151,0.04,
10691,126,248,4.405,0.04,
10692,126,248,4.405,0.04,
10693,126,720,7.73,0.07,
10694,126,720,7.73,0.07,
10695,126,720,7.54,0.07,
10696,126,720,7.54,0.07,
10697,126,720,7.667,0.06,
10698,126,720,7.667,0.06,
10699,131,630,7.527,0.08,
10700,131,630,7.527,0.07,
10701,73,630,5.493,0.01,
10702,131,630,7.405,0.07,
10703,131,630,7.244,0.06,
10704,131,630,7.244,0.06,
10705,80,700,5.812,0.02,
10706,132,387,6.053,0.05,
10707,132,387,6.076,0.05,
10708,132,387,6.076,0.05,
10709,87,770,6.23,0.02,
10710,132,387,6.22,0.05,
10711,133,132,3.113,0.03,
10712,133,132,2.857,0.03,
10713,133,132,3.165,0.03,
10714,103,930,7.097,0.04,
10715,133,1000,8.602,0.07,
10716,133,1000,8.331,0.07,
10717,133,1000,8.331,0.07,
10718,113,1030,7.832,0.04,
10719,133,1000,8.346,0.08,
10720,123,1130,8.228,0.07,
10721,134,520,6.731,0.06,
10722,134,520,6.597,0.06,
10723,134,520,6.597,0.06,
10724,134,1240,8.806,0.11,
10725,134,520,7.045,0.09,
10726,134,1240,8.955,0.09,
10727,134,1240,8.955,0.09,
10728,159,1490,10.145,0.23,
10729,134,1240,8.776,0.13,
10730,134,1240,8.806,0.11,
10731,134,1240,8.806,0.11,
10732,134,1785,9.306,0.11,
10733,134,1785,9.306,0.11,
10734,134,1785,9.172,0.12,
10735,134,1785,9.172,0.12,
10736,134,1785,9.313,0.12,
10737,134,1785,9.313,0.12,
10738,134,2280,9.567,0.12,
10739,134,2280,9.567,0.12,
10740,134,2280,9.455,0.06,
10741,134,2280,9.455,0.06,
10742,134,2280,9.522,0.06,
10743,134,2280,9.522,0.06,
10744,137,270,4.927,0.05,
10745,137,270,4.927,0.05,
10747,137,270,5.635,0.06,
10748,137,270,4.839,0.05,
10749,137,270,4.839,0.05,
10750,137,786,8.117,0.09,
10751,137,786,8.117,0.09,
10753,137,786,8.263,0.08,
10754,137,786,8.073,0.09,
10755,137,786,8.073,0.09,
10756,143,690,8.182,0.09,
10757,143,690,8.182,0.09,
10758,143,690,8.161,0.08,
10759,143,690,8.161,0.08,
10761,143,690,7.699,0.08,
10762,144,423,6.514,0.07,
10763,144,423,6.514,0.07,
10764,144,423,6.507,0.07,
10765,144,423,6.507,0.08,
10766,144,423,6.604,0.07,
10767,144,423,6.604,0.08,
10768,145,144,3.228,0.04,
10769,145,144,3.028,0.05,
10770,145,144,3.172,0.04,
10771,145,1096,9.234,0.1,
10772,145,1096,9.234,0.12,
10773,145,1096,9.083,0.11,
10774,145,1096,9.083,0.1,
10776,145,1096,9.069,0.11,
10778,146,568,7.219,0.09,
10780,146,568,7.027,0.09,
10782,146,568,7.726,0.09,
10783,146,1360,9.377,0.09,
10784,146,1360,9.377,0.1,
10785,146,1360,9.534,0.11,
10786,146,1360,9.534,0.11,
10788,146,1360,9.377,0.17,
10789,146,2520,10.288,0.15,
10790,146,2520,10.288,0.15,
10791,146,2520,10.137,0.17,
10792,146,2520,10.137,0.17,
10794,146,2520,10.308,0.09,
10795,147,1980,10.095,0.09,
10796,147,1980,10.095,0.09,
10797,147,1980,9.925,0.09,
10798,147,1980,9.925,0.1,
10799,147,1980,10.027,0.1,
10800,147,1980,10.027,0.1,
10801,149,294,5.55,0.07,
10802,149,294,5.55,0.07,
10804,149,294,5.785,0.07,
10806,149,294,5.181,0.06,
10808,150,864,8.58,0.1,
10810,150,864,8.6,0.1,
10812,150,864,8.607,0.09,
10814,156,755,8.923,0.12,
10816,156,755,8.904,0.11,
10818,156,755,8.333,0.11,
10819,157,462,6.873,0.09,
10820,157,462,6.873,0.09,
10821,157,462,6.975,0.1,
10822,157,462,6.975,0.1,
10823,157,462,7.102,0.1,
10824,157,462,7.102,0.1,
10825,158,157,3.411,0.06,
10826,158,157,3.101,0.06,
10827,158,157,3.354,0.06,
10829,158,1200,9.734,0.11,
10831,158,1200,9.791,0.14,
10833,158,1200,9.823,0.11,
10834,159,620,7.704,0.11,
10835,159,620,7.704,0.11,
10837,159,620,7.679,0.12,
10838,159,620,8.491,0.11,
10839,159,620,8.491,0.11,
10840,159,1490,10.145,0.14,
10841,159,1490,10.145,0.14,
10843,159,1490,10.239,0.14,
10844,159,1490,10.239,0.13,
10845,159,1490,10.239,0.13,
10847,160,2175,10.762,0.14,
10848,160,2175,10.719,0.13,
10849,160,2175,10.719,0.13,
10851,160,2175,10.812,0.14,
10852,17,30,1.059,0.0,
10853,160,2800,10.988,0.14,
10854,17,30,1.059,0.0,
10855,160,2800,10.95,0.16,
10856,19,60,1.316,0.0,
10857,160,2800,10.975,0.15,
10858,163,322,6.012,0.09,
10859,163,322,6.012,0.09,
10860,163,322,6.055,0.13,
10861,163,322,6.055,0.13,
10862,163,322,5.276,0.13,
10863,163,322,5.276,0.13,
10864,163,942,9.337,0.2,
10865,163,942,9.337,0.2,
10866,24,135,1.833,0.0,
10867,163,942,9.08,0.19,
10868,163,942,9.405,0.12,
10869,163,942,9.405,0.12,
10870,29,210,2.345,0.0,
10871,170,825,9.724,0.18,
10872,170,825,9.394,0.14,
10873,170,825,9.394,0.14,
10874,31,240,2.419,0.0,
10875,170,825,9.047,0.17,
10876,34,285,2.824,0.0,
10877,171,504,7.322,0.13,
10878,34,285,2.941,0.0,
10879,171,504,7.55,0.13,
10880,171,504,7.491,0.13,
10881,171,504,7.491,0.13,
10882,172,171,3.512,0.08,
10883,172,171,3.355,0.08,
10884,172,171,3.558,0.12,
10885,172,1312,10.453,0.17,
10886,172,1312,10.453,0.18,
10887,44,435,3.773,0.01,
10888,172,1312,10.343,0.19,
10889,172,1312,10.32,0.16,
10890,172,1312,10.32,0.18,
10891,52,555,4.385,0.01,
10892,173,676,8.41,0.15,
10893,173,676,8.457,0.15,
10894,173,676,8.457,0.15,
10895,173,676,9.006,0.15,
10896,173,676,9.006,0.15,
10897,174,1640,11.075,0.18,
10898,174,1640,11.075,0.18,
10899,174,1640,11.092,0.16,
10900,174,1640,11.092,0.16,
10901,174,1640,11.103,0.21,
10902,174,1640,11.103,0.21,
10903,74,885,5.797,0.02,
10904,174,2385,11.534,0.18,
10905,174,2385,11.586,0.19,
10906,174,2385,11.586,0.2,
10907,80,975,6.237,0.02,
10908,174,2385,11.678,0.17,
10909,87,1080,6.632,0.03,
10910,174,3080,11.856,0.21,
10911,87,1080,6.655,0.02,
10912,174,3080,11.902,0.21,
10913,95,1200,7.021,0.02,
10914,174,3080,11.948,0.17,
10915,104,1335,7.51,0.03,
10916,177,350,6.198,0.12,
10917,104,1335,7.462,0.03,
10918,177,350,6.316,0.12,
10919,177,350,5.91,0.11,
10920,177,350,5.91,0.11,
10921,178,1032,9.713,0.18,
10922,178,1032,9.713,0.18,
10923,123,1620,8.715,0.06,
10924,178,1032,10.028,0.18,
10925,134,1785,9.172,0.08,
10926,178,1032,9.916,0.16,
10935,174,2385,11.678,0.18,
11045,22,40,1.091,0.0,
11051,26,120,1.423,0.0,
11060,34,280,2.353,0.0,
11068,44,480,3.364,0.0,
11070,44,480,3.364,0.0,
11072,48,560,3.521,0.01,
11074,52,640,4.154,0.0,
11080,62,840,4.952,0.01,
11084,67,940,5.269,0.01,
11090,80,1200,6.188,0.02,
11092,87,1340,6.575,0.02,
11094,87,1340,6.678,0.02,
11096,95,1500,7.084,0.02,
11106,123,2060,8.862,0.08,
12750,6,9,1.167,0.0,
12751,6,9,1.333,0.0,
12752,6,9,1.167,0.0,
12753,6,12,1.333,0.0,
12754,6,12,1.333,0.0,
12755,6,12,1.333,0.0,
12756,6,12,1.333,0.0,
12757,10,15,1.7,0.0,
12758,6,12,1.333,0.0,
12759,8,12,1.25,0.0,
12760,8,12,1.25,0.0,
12761,8,12,1.25,0.0,
12762,8,16,1.25,0.0,
12763,8,16,1.25,0.0,
12764,8,16,1.375,0.0,
12765,8,16,1.375,0.0,
12766,16,24,1.812,0.0,
12767,8,16,1.375,0.0,
12768,8,20,1.375,0.0,
12769,8,20,1.375,0.0,
12770,8,20,1.5,0.0,
12771,8,20,1.5,0.0,
12772,20,30,2.0,0.0,
12773,8,20,1.375,0.0,
12774,8,24,1.5,0.0,
12775,8,24,1.5,0.0,
12776,8,24,1.5,0.0,
12777,8,24,1.5,0.0,
12778,24,36,1.958,0.0,
12779,8,24,1.5,0.0,
12780,10,15,1.8,0.0,
12781,10,15,1.7,0.0,
12782,10,15,1.5,0.0,
12783,28,42,1.893,0.0,
12784,10,20,1.3,0.0,
12785,28,42,2.107,0.0,
12786,10,20,1.6,0.0,
12787,10,20,1.7,0.0,
12788,10,20,1.7,0.0,
12789,34,51,2.147,0.0,
12790,10,25,1.8,0.0,
12791,10,25,1.5,0.0,
12792,10,25,1.5,0.0,
12793,38,57,2.421,0.0,
12794,10,25,1.6,0.0,
12795,10,30,2.0,0.0,
12796,10,30,2.0,0.0,
12797,10,30,1.9,0.0,
12798,10,30,1.9,0.0,
12799,44,66,2.773,0.0,
12800,10,30,1.7,0.0,
12801,48,72,3.042,0.0,
12802,10,40,2.0,0.0,
12803,48,72,2.812,0.0,
12804,10,40,2.0,0.0,
12805,10,40,2.0,0.0,
12806,10,40,2.0,0.0,
12807,12,18,1.75,0.0,
12808,12,18,1.667,0.0,
12809,12,18,1.5,0.0,
12810,62,93,3.355,0.01,
12811,12,24,1.833,0.0,
12812,12,24,1.833,0.0,
12813,12,24,1.833,0.0,
12814,12,24,1.917,0.0,
12815,12,24,1.917,0.0,
12816,12,30,1.917,0.0,
12817,12,30,1.917,0.0,
12818,12,30,2.0,0.0,
12819,12,30,2.0,0.0,
12820,80,120,3.862,0.01,
12821,12,30,1.75,0.0,
12822,12,36,2.0,0.0,
12823,12,36,2.0,0.0,
12824,88,132,4.398,0.01,
12825,12,36,2.083,0.0,
12826,96,144,4.594,0.02,
12827,12,36,2.083,0.0,
12828,12,48,2.167,0.0,
12829,12,48,2.167,0.0,
12830,104,156,4.548,0.02,
12831,12,48,2.083,0.0,
12832,112,168,5.054,0.02,
12833,12,48,2.083,0.0,
12834,122,183,5.656,0.04,
12835,12,60,2.167,0.0,
12836,12,60,2.167,0.0,
12837,12,60,2.167,0.0,
12838,12,60,2.167,0.0,
12839,12,60,2.167,0.0,
12840,14,21,1.714,0.0,
12841,14,21,1.786,0.0,
12842,14,21,1.857,0.0,
12843,160,240,6.544,0.07,
12844,14,28,1.857,0.0,
12845,160,240,6.763,0.08,
12846,14,28,2.0,0.0,
12847,174,261,7.149,0.08,
12848,14,28,2.071,0.0,
12850,14,35,1.929,0.0,
12851,14,35,2.0,0.0,
12852,14,35,2.0,0.0,
12854,14,35,2.071,0.0,
12855,14,42,1.929,0.0,
12856,14,42,1.929,0.0,
12858,14,42,2.0,0.0,
12859,14,42,2.0,0.0,
12860,14,42,2.0,0.0,
12861,14,56,2.143,0.0,
12862,14,56,2.143,0.0,
12863,14,56,2.143,0.0,
12864,14,56,2.143,0.0,
12866,14,56,2.0,0.0,
12867,14,70,2.214,0.0,
12868,14,70,2.214,0.0,
12869,14,70,2.214,0.0,
12870,14,70,2.214,0.0,
12872,14,70,2.143,0.0,
12873,14,84,2.214,0.0,
12874,14,84,2.214,0.0,
12876,14,84,2.214,0.0,
12877,14,84,2.214,0.0,
12878,14,84,2.214,0.0,
12879,16,24,1.938,0.0,
12880,16,24,1.812,0.0,
12881,16,24,1.875,0.0,
12883,16,32,1.875,0.0,
12884,16,32,1.812,0.0,
12885,16,32,1.812,0.0,
12886,16,32,1.812,0.0,
12887,16,32,1.812,0.0,
12889,16,40,2.062,0.0,
12890,16,40,2.062,0.0,
12891,16,40,2.062,0.0,
12892,16,40,2.062,0.0,
12893,16,40,2.062,0.0,
12895,16,48,2.0,0.0,
12896,16,48,2.062,0.0,
12897,16,48,2.062,0.0,
12899,16,48,2.062,0.0,
12901,16,64,2.188,0.0,
12902,16,64,2.062,0.0,
12903,16,64,2.062,0.0,
12904,16,64,2.188,0.0,
12905,16,64,2.188,0.0,
12907,16,80,2.188,0.0,
12908,16,80,2.25,0.0,
12909,16,80,2.25,0.0,
12911,16,80,2.188,0.0,
12913,16,96,2.188,0.0,
12914,16,96,2.188,0.0,
12915,16,96,2.188,0.0,
12916,16,96,2.25,0.0,
12917,16,96,2.25,0.0,
12918,18,27,1.833,0.0,
12919,18,27,1.722,0.0,
12920,18,27,1.889,0.0,
12921,18,36,2.111,0.0,
12922,18,36,2.111,0.0,
12924,18,36,1.944,0.0,
12926,18,36,2.0,0.0,
12927,18,45,2.056,0.0,
12928,18,45,2.056,0.0,
12930,18,45,2.222,0.0,
12931,18,45,2.111,0.0,
12932,18,45,2.111,0.0,
12934,18,54,2.389,0.0,
12935,18,54,2.333,0.0,
12936,18,54,2.333,0.0,
12937,18,54,2.333,0.0,
12938,18,54,2.333,0.0,
12940,18,72,2.333,0.0,
12942,18,72,2.444,0.0,
12943,18,72,2.389,0.0,
12944,18,72,2.389,0.0,
