gid,n,e,tmpl_acl,prune_s,err
1349,96,2304,3.5,0.09,
1350,144,4608,4.5,0.36,
1351,144,4608,4.5,0.35,
1353,102,2601,4.0,0.11,
1354,153,5202,5.17,0.5,
1355,153,5202,5.17,0.5,
1357,110,3025,4.255,0.16,
1358,165,6050,5.333,0.57,
1360,118,3481,4.492,0.18,
1361,177,6962,5.831,0.79,
1363,126,3969,4.746,0.25,
1366,134,4489,5.0,0.27,
1369,144,5184,5.0,0.37,
1372,154,5929,5.747,0.53,
1375,166,6889,6.0,0.58,
1378,176,7744,6.0,0.79,
1550,12,16,1.5,0.0,
1551,12,16,1.5,0.0,
1552,8,10,1.0,0.0,
1553,4,4,1.0,0.0,
1554,8,10,1.0,0.0,
1555,27,42,2.37,0.0,
1556,64,112,3.109,0.01,
1557,27,42,2.37,0.0,
1558,18,27,1.667,0.0,
1559,9,12,1.333,0.0,
1560,16,24,1.312,0.0,
1561,169,312,5.266,0.11,
1562,32,52,2.281,0.0,
1563,32,52,2.281,0.0,
1564,48,80,3.042,0.0,
1565,50,85,3.04,0.0,
1566,50,85,3.04,0.0,
1567,25,40,2.08,0.0,
1568,75,130,4.013,0.01,
1569,75,130,4.013,0.01,
1570,72,126,3.528,0.01,
1571,108,192,4.907,0.03,
1572,72,126,3.528,0.01,
1573,36,60,2.556,0.0,
1574,108,192,4.907,0.03,
1575,147,266,5.687,0.07,
1576,147,266,5.687,0.06,
1577,49,84,2.939,0.0,
1579,98,175,4.204,0.02,
1582,128,232,4.859,0.05,
1583,64,112,3.109,0.01,
1584,128,232,4.859,0.05,
1585,162,297,5.654,0.09,
1586,162,297,5.654,0.09,
1587,81,144,3.691,0.01,
1594,100,180,3.76,0.02,
1595,121,220,4.496,0.05,
1603,144,264,4.472,0.07,
1605,169,312,5.266,0.12,
1621,12,16,1.5,0.0,
1625,108,192,4.907,0.03,
1800,3,3,1.0,0.0,
1801,4,4,1.0,0.0,
1802,5,5,1.0,0.0,
1803,6,6,1.0,0.0,
1804,7,7,1.0,0.0,
1805,8,8,1.0,0.0,
1806,9,9,1.0,0.0,
1807,10,10,1.0,0.0,
1808,12,12,1.083,0.0,
1809,13,13,1.154,0.0,
1810,15,15,1.133,0.0,
1811,16,16,1.062,0.0,
1812,18,18,1.111,0.0,
1813,21,21,1.19,0.0,
1814,23,23,1.174,0.0,
1815,26,26,1.115,0.0,
1816,29,29,1.207,0.0,
1817,32,32,1.156,0.0,
1818,36,36,1.194,0.0,
1819,41,41,1.195,0.0,
1820,46,46,1.196,0.0,
1821,51,51,1.235,0.0,
1822,57,57,1.211,0.0,
1823,64,64,1.203,0.0,
1824,72,72,1.208,0.0,
1825,80,80,1.212,0.01,
1826,90,90,1.211,0.01,
1827,101,101,1.238,0.01,
1828,113,113,1.239,0.02,
1829,126,126,1.23,0.02,
1830,141,141,1.241,0.03,
1831,158,158,1.234,0.04,
1832,177,177,1.243,0.06,
2000,3,2,1.0,0.0,
2001,4,3,1.0,0.0,
2002,5,4,1.0,0.0,
2003,6,5,1.0,0.0,
2004,7,6,1.0,0.0,
2005,8,7,1.0,0.0,
2006,9,8,1.222,0.0,
2007,10,9,1.0,0.0,
2008,12,11,1.0,0.0,
2009,13,12,1.077,0.0,
2010,15,14,1.067,0.0,
2011,16,15,1.062,0.0,
2012,18,17,1.111,0.0,
2013,21,20,1.095,0.0,
2014,23,22,1.087,0.0,
2015,26,25,1.115,0.0,
2016,29,28,1.138,0.0,
2017,32,31,1.125,0.0,
2018,36,35,1.139,0.0,
2019,41,40,1.171,0.0,
2020,46,45,1.152,0.0,
2021,51,50,1.157,0.0,
2022,57,56,1.175,0.0,
2023,64,63,1.156,0.0,
2024,72,71,1.153,0.0,
2025,80,79,1.163,0.01,
2026,90,89,1.167,0.01,
2027,101,100,1.168,0.01,
2028,113,112,1.168,0.02,
2029,126,125,1.175,0.02,
2030,141,140,1.177,0.03,
2031,158,157,1.177,0.04,
2032,177,176,1.175,0.06,
2200,4,3,1.0,0.0,
2201,5,4,1.0,0.0,
2202,6,5,1.0,0.0,
2203,7,6,1.0,0.0,
2204,8,7,1.0,0.0,
2205,9,8,1.111,0.0,
2206,10,9,1.1,0.0,
2207,11,10,1.091,0.0,
2208,13,12,1.077,0.0,
2209,14,13,1.071,0.0,
2210,16,15,1.062,0.0,
2211,17,16,1.059,0.0,
2212,19,18,1.053,0.0,
2213,22,21,1.045,0.0,
2214,24,23,1.042,0.0,
2215,27,26,1.074,0.0,
2216,30,29,1.067,0.0,
2217,33,32,1.061,0.0,
2218,37,36,1.054,0.0,
2219,42,41,1.071,0.0,
2220,47,46,1.064,0.0,
2221,52,51,1.058,0.0,
2222,58,57,1.069,0.01,
2223,65,64,1.062,0.01,
2224,73,72,1.068,0.01,
2225,81,80,1.062,0.01,
2226,91,90,1.066,0.02,
2227,102,101,1.059,0.02,
2228,114,113,1.061,0.03,
2229,127,126,1.063,0.04,
2230,142,141,1.063,0.06,
2231,159,158,1.063,0.09,
2232,178,177,1.062,0.12,
2400,4,6,1.0,0.0,
2401,5,8,1.2,0.0,
2402,6,10,1.167,0.0,
2403,7,12,1.286,0.0,
2404,8,14,1.25,0.0,
2405,9,16,1.444,0.0,
2406,10,18,1.4,0.0,
2407,11,20,1.545,0.0,
2408,13,24,1.615,0.0,
2409,14,26,1.571,0.0,
2410,16,30,1.625,0.0,
2411,17,32,1.824,0.0,
2412,19,36,1.895,0.0,
2413,22,42,1.909,0.0,
2414,24,46,1.958,0.0,
2415,27,52,2.148,0.0,
2416,30,58,2.167,0.0,
2417,33,64,2.364,0.0,
2418,37,72,2.486,0.0,
2419,42,82,2.571,0.0,
2420,47,92,2.787,0.0,
2421,52,102,2.904,0.01,
2422,58,114,3.086,0.01,
2423,65,128,3.385,0.01,
2424,73,144,3.63,0.01,
2425,81,160,3.889,0.02,
2426,91,180,4.198,0.03,
2427,102,202,4.48,0.03,
2428,114,226,4.86,0.05,
2429,127,252,5.323,0.06,
2430,142,282,5.732,0.09,
2431,159,316,6.327,0.14,
2432,178,354,6.865,0.19,
2600,3,2,1.0,0.0,
2601,4,4,1.0,0.0,
2602,5,6,1.0,0.0,
2603,4,5,1.0,0.0,
2604,5,6,1.0,0.0,
2605,5,8,1.2,0.0,
2606,5,8,1.2,0.0,
2607,10,25,1.3,0.0,
2608,5,9,1.2,0.0,
2609,6,9,1.0,0.0,
2610,6,12,1.333,0.0,
2611,6,12,1.333,0.0,
2612,15,56,1.267,0.0,
2613,6,13,1.333,0.0,
2614,17,72,1.235,0.0,
2615,6,14,1.333,0.0,
2616,7,12,1.0,0.0,
2617,7,16,1.429,0.0,
2618,7,16,1.429,0.0,
2619,24,144,1.5,0.0,
2620,7,18,1.429,0.0,
2621,7,19,1.429,0.0,
2622,7,19,1.429,0.0,
2623,7,20,1.429,0.0,
2624,7,20,1.429,0.0,
2625,8,16,1.0,0.0,
2626,39,380,2.0,0.0,
2627,8,21,1.375,0.0,
2628,45,506,2.244,0.01,
2629,8,24,1.5,0.0,
2630,8,25,1.5,0.0,
2631,8,25,1.5,0.0,
2632,59,870,2.746,0.02,
2633,8,26,1.5,0.0,
2634,67,1122,3.0,0.03,
2635,8,27,1.5,0.0,
2636,9,20,1.222,0.0,
2637,9,27,1.667,0.0,
2638,9,27,1.667,0.0,
2639,9,30,1.778,0.0,
2640,9,30,1.778,0.0,
2641,108,2916,4.25,0.15,
2642,9,32,2.0,0.0,
2643,124,3844,4.75,0.16,
2644,9,33,2.0,0.0,
2645,9,34,2.0,0.0,
2646,9,34,2.0,0.0,
2647,162,6561,6.0,0.43,
2648,9,35,2.0,0.0,
2649,10,25,1.3,0.0,
2650,10,33,1.6,0.0,
2651,10,33,1.6,0.0,
2653,10,37,1.9,0.0,
2655,10,40,2.0,0.0,
2656,10,41,2.0,0.0,
2657,10,41,2.0,0.0,
2658,10,42,2.0,0.0,
2659,10,42,2.0,0.0,
2660,10,43,2.0,0.0,
2661,10,43,2.0,0.0,
2662,11,30,1.273,0.0,
2663,4,5,1.0,0.0,
2664,11,40,1.727,0.0,
2665,6,12,1.333,0.0,
2666,11,45,1.909,0.0,
2667,8,21,1.375,0.0,
2668,11,48,1.909,0.0,
2669,11,50,2.182,0.0,
2670,11,50,2.182,0.0,
2671,12,48,1.667,0.0,
2672,11,51,2.182,0.0,
2673,14,65,2.071,0.0,
2674,11,52,2.182,0.0,
2675,12,36,1.25,0.0,
2676,12,48,1.667,0.0,
2677,12,48,1.667,0.0,
2678,12,54,2.083,0.0,
2679,12,54,2.083,0.0,
2680,23,176,2.13,0.0,
2681,12,57,2.167,0.0,
2682,12,60,2.167,0.0,
2683,12,60,2.167,0.0,
2684,12,61,2.167,0.0,
2685,12,61,2.167,0.0,
2686,35,408,2.829,0.01,
2687,12,62,2.167,0.0,
2688,13,42,1.231,0.0,
2689,43,616,3.326,0.01,
2690,13,56,1.615,0.0,
2691,49,800,3.49,0.01,
2692,13,63,2.154,0.0,
2693,13,67,2.231,0.0,
2694,13,67,2.231,0.0,
2695,13,70,2.231,0.0,
2696,13,70,2.231,0.0,
2697,73,1776,4.658,0.05,
2698,13,72,2.231,0.0,
2699,13,73,2.231,0.0,
2700,13,73,2.231,0.0,
2701,14,49,1.286,0.0,
2702,14,65,2.071,0.0,
2703,14,65,2.071,0.0,
2704,14,73,2.143,0.0,
2705,14,73,2.143,0.0,
2706,135,6075,7.667,0.34,
2707,14,78,2.143,0.0,
2708,154,7905,8.656,0.63,
2709,14,81,2.143,0.0,
2710,177,10443,9.831,0.94,
2711,14,84,2.214,0.0,
2712,14,85,2.214,0.0,
2713,14,85,2.214,0.0,
2714,15,56,1.267,0.0,
2716,15,75,2.067,0.0,
2718,15,84,2.133,0.0,
2719,15,90,2.2,0.0,
2720,15,90,2.2,0.0,
2722,15,93,2.267,0.0,
2723,15,96,2.267,0.0,
2724,15,96,2.267,0.0,
2725,15,98,2.267,0.0,
2726,15,98,2.267,0.0,
2727,16,64,1.0,0.0,
2728,16,96,2.0,0.0,
2729,16,96,2.0,0.0,
2730,13,63,2.154,0.0,
2731,16,106,2.25,0.0,
2732,16,109,2.25,0.0,
2733,16,109,2.25,0.0,
2734,17,72,1.235,0.0,
2735,18,121,2.333,0.0,
2736,17,96,2.412,0.0,
2737,17,108,2.529,0.0,
2738,17,108,2.529,0.0,
2739,24,216,2.667,0.0,
2740,17,115,2.647,0.0,
2741,27,273,2.889,0.0,
2742,17,120,2.706,0.0,
2743,17,123,2.706,0.0,
2744,17,123,2.706,0.0,
2745,17,126,2.765,0.0,
2746,17,126,2.765,0.0,
2747,18,108,2.167,0.0,
2748,18,108,2.167,0.0,
2749,18,121,2.333,0.0,
2750,18,121,2.333,0.0,
2751,53,1053,4.094,0.02,
2752,18,129,2.5,0.0,
2753,61,1395,4.607,0.03,
2754,18,135,2.556,0.0,
2755,18,138,2.611,0.0,
2756,18,138,2.611,0.0,
2757,80,2400,5.5,0.06,
2758,18,141,2.611,0.0,
2759,19,90,1.474,0.0,
2760,98,3601,6.745,0.13,
2761,19,120,2.158,0.0,
2762,19,135,2.421,0.0,
2763,19,135,2.421,0.0,
2764,19,144,2.526,0.0,
2765,19,144,2.526,0.0,
2766,147,8103,9.388,0.5,
