cell,arm,seed,final_acl,rounds,time,diag
regular_n316,cross2,1,3.725,10,7.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 4.2397, 'extent_mean': 4.149, 'extent_max': 13.793, 'assigned': 257}"
regular_n316,cross2-bars,1,3.437,10,8.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.673, 'extent_mean': 4.315, 'extent_max': 12.298, 'assigned': 280}"
regular_n316,mm-full,1,4.234,,2.7,
regular_n316,point,2,3.396,10,9.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.52}"
regular_n316,cross-v1,2,3.516,10,9.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.3253, 'extent_mean': 2.759, 'extent_max': 11.191, 'assigned': 0}"
regular_n316,cross2,2,3.832,10,7.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 1.6481, 'extent_mean': 4.073, 'extent_max': 13.7, 'assigned': 272}"
regular_n316,cross2-bars,2,3.218,10,9.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.6618, 'extent_mean': 4.331, 'extent_max': 11.046, 'assigned': 283}"
regular_n316,mm-full,2,3.861,,2.6,
ws_n486,point,0,3.305,5,25.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 15.1121}"
ws_n486,cross-v1,0,3.235,8,26.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 4.5654, 'extent_mean': 2.619, 'extent_max': 11.705, 'assigned': 0}"
ws_n486,cross2,0,3.282,10,24.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 1.6501, 'extent_mean': 3.181, 'extent_max': 14.013, 'assigned': 288}"
ws_n486,cross2-bars,0,3.737,10,19.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.0752, 'extent_mean': 3.286, 'extent_max': 15.508, 'assigned': 299}"
ws_n486,mm-full,0,4.455,,2.8,
ws_n486,point,1,3.074,10,26.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 14.5451}"
ws_n486,cross-v1,1,3.179,9,25.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.7573, 'extent_mean': 2.531, 'extent_max': 12.769, 'assigned': 0}"
ws_n486,cross2,1,3.179,10,24.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.9646, 'extent_mean': 3.207, 'extent_max': 13.537, 'assigned': 290}"
ws_n486,cross2-bars,1,3.379,10,20.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.8669, 'extent_mean': 3.288, 'extent_max': 13.536, 'assigned': 281}"
ws_n486,mm-full,1,3.617,,3.9,
ws_n486,point,2,3.405,8,26.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.6161}"
ws_n486,cross-v1,2,3.251,9,26.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.425, 'extent_mean': 2.472, 'extent_max': 13.117, 'assigned': 0}"
ws_n486,cross2,2,3.302,10,22.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.6049, 'extent_mean': 3.245, 'extent_max': 11.583, 'assigned': 286}"
ws_n486,cross2-bars,2,3.27,7,25.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.713, 'extent_mean': 3.101, 'extent_max': 14.207, 'assigned': 282}"
ws_n486,mm-full,2,3.584,,4.1,
