cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,questions,time
K100,Z12,,mm+ball,0,7.84,9,True,0,0.0,0,29.2
K100,Z12,,mm+ball,1,7.84,9,True,0,0.0,0,33.1
K100,Z12,,mm+ball,2,7.84,9,True,0,0.0,0,31.6
K100,Z12,,ball,0,7.84,9,True,0,0.1,0,1.4
K100,Z12,,ball,1,7.84,9,True,0,0.0,0,1.3
K100,Z12,,ball,2,7.84,9,True,0,0.0,0,1.3
K100,Z12,,ball-rng,0,7.84,9,True,0,0.1,0,2.0
K100,Z12,,ball-rng,1,7.84,9,True,0,0.1,0,1.8
K100,Z12,,ball-rng,2,7.84,9,True,0,0.1,0,2.0
K140,Z12,,mm+ball,0,10.229,11,True,0,0.1,0,68.3
K140,Z12,,mm+ball,1,10.229,11,True,0,0.1,0,63.3
K140,Z12,,mm+ball,2,10.229,11,True,0,0.1,0,67.0
K140,Z12,,ball,0,10.229,11,True,0,0.1,0,3.7
K140,Z12,,ball,1,10.229,11,True,0,0.1,0,5.3
K140,Z12,,ball,2,10.229,11,True,0,0.2,0,3.8
K140,Z12,,ball-rng,0,10.229,11,True,0,0.1,0,3.4
K140,Z12,,ball-rng,1,10.229,11,True,0,0.1,0,3.6
K140,Z12,,ball-rng,2,10.229,11,True,0,0.2,0,5.5
ER100_d10,Z12,,mm+ball,0,4.66,8,False,0,55.4,61,60.1
ER100_d10,Z12,,mm+ball,1,5.06,9,False,0,55.9,49,60.0
ER100_d10,Z12,,mm+ball,2,4.75,8,False,0,55.3,62,60.1
ER100_d10,Z12,,ball,0,5.94,10,False,1,58.0,42,60.0
ER100_d10,Z12,,ball,1,5.99,10,False,1,58.8,42,60.1
ER100_d10,Z12,,ball,2,5.94,10,False,1,58.7,42,60.0
ER100_d10,Z12,,ball-rng,0,5.9,10,False,1,58.7,46,60.0
ER100_d10,Z12,,ball-rng,1,6.01,10,False,1,58.8,42,60.1
ER100_d10,Z12,,ball-rng,2,5.96,13,False,1,58.0,42,60.0
turan_n162,Z12,2647,mm+ball,0,6.0,6,True,0,22.5,22,60.4
turan_n162,Z12,2647,mm+ball,1,6.0,6,True,0,16.9,22,60.6
turan_n162,Z12,2647,mm+ball,2,6.0,6,True,0,18.3,22,60.2
turan_n162,Z12,2647,mm+ball,3,6.0,6,True,0,17.6,22,60.7
turan_n162,Z12,2647,mm+ball,4,6.0,6,True,0,20.2,22,60.3
turan_n162,Z12,2647,mm+ball,5,6.0,6,True,0,14.9,22,60.3
turan_n162,Z12,2647,mm+ball,6,6.0,6,True,0,14.4,22,60.2
turan_n162,Z12,2647,mm+ball,7,6.0,6,True,0,12.5,22,60.4
turan_n162,Z12,2647,mm+ball,8,6.228,7,True,0,18.6,23,60.3
turan_n162,Z12,2647,mm+ball,9,6.0,6,True,0,17.8,22,60.4
turan_n162,Z12,2647,ball,0,6.0,6,True,0,51.2,22,60.3
turan_n162,Z12,2647,ball,1,7.63,12,True,0,51.3,22,60.2
turan_n162,Z12,2647,ball,2,6.0,6,True,0,47.7,22,60.4
turan_n162,Z12,2647,ball,3,6.0,6,True,0,45.2,22,60.0
turan_n162,Z12,2647,ball,4,6.0,6,True,0,51.0,22,61.8
turan_n162,Z12,2647,ball,5,7.63,12,True,0,45.5,22,60.2
turan_n162,Z12,2647,ball,6,6.0,6,True,0,48.8,22,61.2
turan_n162,Z12,2647,ball,7,7.63,12,True,0,48.4,22,60.2
turan_n162,Z12,2647,ball,8,7.63,12,True,0,49.8,22,60.4
turan_n162,Z12,2647,ball,9,6.0,6,True,0,52.7,22,61.8
turan_n162,Z12,2647,ball-rng,0,6.0,6,True,0,50.9,22,61.4
turan_n162,Z12,2647,ball-rng,1,7.63,12,True,0,52.1,22,61.5
turan_n162,Z12,2647,ball-rng,2,6.0,6,True,0,54.3,22,64.3
turan_n162,Z12,2647,ball-rng,3,6.0,6,True,0,50.9,22,62.7
turan_n162,Z12,2647,ball-rng,4,6.0,6,True,0,50.2,22,61.5
turan_n162,Z12,2647,ball-rng,5,7.63,12,True,0,49.2,22,60.4
turan_n162,Z12,2647,ball-rng,6,6.0,6,True,0,51.6,22,63.7
turan_n162,Z12,2647,ball-rng,7,7.63,12,True,0,49.4,22,62.8
turan_n162,Z12,2647,ball-rng,8,7.63,12,True,0,50.6,22,62.5
turan_n162,Z12,2647,ball-rng,9,6.0,6,True,0,53.8,22,63.6
spin_glass_n163,Z12,37309,mm+ball,0,11.417,13,True,0,14.9,7,54.7
spin_glass_n163,Z12,37309,mm+ball,1,11.417,13,True,0,13.3,7,49.5
