cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,questions,time
spin_glass_n163,Z12,37309,mm+ball,2,11.417,13,True,0,15.3,7,57.3
spin_glass_n163,Z12,37309,rshorten+ball,0,11.368,13,True,0,0.1,6,60.2
spin_glass_n163,Z12,37309,rshorten+ball,1,11.362,13,True,0,0.1,7,60.8
spin_glass_n163,Z12,37309,rshorten+ball,2,11.368,13,True,0,0.1,6,60.8
regular_n316,Z12,13096,mm+ball,0,2.924,7,False,1,46.9,305,60.2
regular_n316,Z12,13096,mm+ball,1,2.769,6,False,0,45.3,305,60.3
regular_n316,Z12,13096,mm+ball,2,2.861,7,False,1,47.7,309,60.1
regular_n316,Z12,13096,rshorten+ball,0,4.035,12,False,0,0.3,313,60.8
regular_n316,Z12,13096,rshorten+ball,1,4.022,13,False,0,0.1,312,60.1
regular_n316,Z12,13096,rshorten+ball,2,4.047,13,False,0,0.1,313,60.1
ws_n486,Z12,17188,mm+ball,0,3.138,10,False,2,23.1,467,60.0
ws_n486,Z12,17188,mm+ball,1,2.763,10,False,0,26.1,466,60.0
ws_n486,Z12,17188,mm+ball,2,3.309,13,False,0,27.8,470,60.0
ws_n486,Z12,17188,mm+ball,3,2.889,9,False,1,26.4,464,60.0
ws_n486,Z12,17188,mm+ball,4,2.887,10,False,0,24.3,460,60.0
ws_n486,Z12,17188,mm+ball,5,2.949,9,False,0,26.0,475,60.0
ws_n486,Z12,17188,mm+ball,6,2.977,11,False,0,26.7,464,60.0
ws_n486,Z12,17188,mm+ball,7,2.827,9,False,0,26.1,466,60.0
ws_n486,Z12,17188,mm+ball,8,3.115,11,False,0,26.2,467,60.1
ws_n486,Z12,17188,mm+ball,9,3.354,12,False,0,26.9,471,60.0
ws_n486,Z12,17188,rshorten+ball,0,4.414,24,False,0,0.2,472,60.2
ws_n486,Z12,17188,rshorten+ball,1,4.486,23,False,0,0.2,470,60.2
ws_n486,Z12,17188,rshorten+ball,2,4.097,21,False,0,0.1,477,60.3
ws_n486,Z12,17188,rshorten+ball,3,4.043,21,False,0,0.1,472,60.1
ws_n486,Z12,17188,rshorten+ball,4,4.307,21,False,0,0.1,477,60.1
ws_n486,Z12,17188,rshorten+ball,5,4.163,21,False,0,0.1,470,60.2
ws_n486,Z12,17188,rshorten+ball,6,4.066,23,False,0,0.2,472,60.2
ws_n486,Z12,17188,rshorten+ball,7,4.282,20,False,0,0.1,476,60.1
ws_n486,Z12,17188,rshorten+ball,8,4.457,26,False,0,0.1,479,60.1
ws_n486,Z12,17188,rshorten+ball,9,4.097,19,False,0,0.1,467,60.1
grid_200,Z12,1590,mm+ball,0,1.09,2,False,0,34.4,128,51.5
grid_200,Z12,1590,mm+ball,1,1.145,2,False,0,45.5,134,56.3
grid_200,Z12,1590,mm+ball,2,1.13,2,False,0,35.6,147,43.1
grid_200,Z12,1590,rshorten+ball,0,1.435,4,False,12,30.5,156,60.0
grid_200,Z12,1590,rshorten+ball,1,1.515,5,False,10,28.7,165,60.0
grid_200,Z12,1590,rshorten+ball,2,1.55,4,False,8,30.3,167,60.0
honeycomb_200,Z12,32393,mm+ball,0,1.085,2,False,0,21.2,129,27.1
honeycomb_200,Z12,32393,mm+ball,1,1.09,2,False,0,21.8,139,27.5
honeycomb_200,Z12,32393,mm+ball,2,1.095,2,False,0,23.9,139,29.0
honeycomb_200,Z12,32393,rshorten+ball,0,1.385,4,False,10,47.5,163,60.0
honeycomb_200,Z12,32393,rshorten+ball,1,1.365,4,False,11,49.6,165,60.0
honeycomb_200,Z12,32393,rshorten+ball,2,1.365,4,False,12,47.3,170,60.0
king_graph_196,Z12,32622,mm+ball,0,1.561,3,False,0,52.2,125,60.0
king_graph_196,Z12,32622,mm+ball,1,1.531,3,False,0,52.0,141,60.1
king_graph_196,Z12,32622,mm+ball,2,1.49,2,False,1,51.8,125,60.0
king_graph_196,Z12,32622,rshorten+ball,0,2.066,4,False,0,0.0,142,60.1
king_graph_196,Z12,32622,rshorten+ball,1,1.959,5,False,0,0.0,136,60.2
king_graph_196,Z12,32622,rshorten+ball,2,1.929,4,False,1,3.8,143,60.0
K100,P16,,mm+ball,0,11.23,16,,0,0.0,0,29.4
K100,P16,,mm+ball,1,11.51,17,,0,0.0,0,28.1
K100,P16,,mm+ball,2,11.65,17,,0,0.1,0,60.4
K100,P16,,rshorten+ball,0,11.18,16,,0,0.0,0,60.9
K100,P16,,rshorten+ball,1,11.44,14,,0,0.1,0,60.3
K100,P16,,rshorten+ball,2,11.6,19,,0,0.0,0,60.6
turan_n162,P16,2647,mm+ball,0,7.654,8,,0,0.1,16,60.5
turan_n162,P16,2647,mm+ball,1,7.654,8,,0,0.1,16,60.4
turan_n162,P16,2647,mm+ball,2,7.654,8,,0,3.2,16,60.2
turan_n162,P16,2647,rshorten+ball,0,7.654,8,,0,0.1,16,60.4
turan_n162,P16,2647,rshorten+ball,1,7.691,16,,0,0.0,11,60.3
turan_n162,P16,2647,rshorten+ball,2,7.654,8,,0,0.0,16,60.5
ws_n486,P16,17188,mm+ball,0,3.595,13,,0,26.2,423,60.0
ws_n486,P16,17188,mm+ball,1,3.502,13,,0,26.4,424,60.0
ws_n486,P16,17188,mm+ball,2,3.591,13,,0,26.7,423,60.0
ws_n486,P16,17188,rshorten+ball,0,4.562,23,,0,0.1,453,60.1
ws_n486,P16,17188,rshorten+ball,1,4.821,27,,0,0.1,445,60.1
ws_n486,P16,17188,rshorten+ball,2,5.187,27,,0,0.1,453,60.2
