cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,xy,2,9.006,13,0.0,30.07,1,272,,272,0,469,273,0,27.51,271,0,0,70,1,0,2520.0,27.0,True,0,0,0,True,60.3
turan_n162,Z12,2647,xy,3,9.006,13,0.0,30.03,1,272,,272,0,469,273,0,27.27,271,0,0,70,1,0,2520.0,27.0,True,0,0,0,True,61.2
turan_n162,Z12,2647,xy,4,9.006,13,0.0,30.02,1,272,,272,0,463,273,0,28.57,271,0,0,70,1,0,2520.0,27.0,True,0,0,0,True,60.2
turan_n162,Z12,2647,xy,5,9.506,14,0.0,29.97,1,266,,266,0,468,267,0,28.83,267,0,0,76,1,0,2656.0,32.0,True,0,0,0,True,64.6
turan_n162,Z12,2647,xy,6,9.006,13,0.0,30.03,1,272,,272,0,465,273,0,28.21,271,0,0,70,1,0,2520.0,27.0,True,0,0,0,True,60.4
turan_n162,Z12,2647,xy,7,9.506,14,0.0,30.09,1,266,,266,0,466,267,0,29.34,267,0,0,76,1,0,2656.0,32.0,True,0,0,0,True,62.0
turan_n162,Z12,2647,xy,8,9.506,14,0.0,30.01,1,266,,266,0,466,267,0,29.13,267,0,0,76,1,0,2656.0,32.0,True,0,0,0,True,64.3
turan_n162,Z12,2647,xy,9,9.006,13,0.0,30.04,1,272,,272,0,465,273,0,28.25,271,0,0,70,1,0,2520.0,27.0,True,0,0,0,True,71.7
spin_glass_n163,Z12,37309,plane,0,10.859,12,0.96,28.99,1,361,,361,0,7076,362,0,28.23,356,0,72,0,1,0,3054.0,33.0,True,0,0,0,True,56.3
spin_glass_n163,Z12,37309,plane,1,10.859,12,0.89,29.04,1,362,,362,0,7583,363,0,26.71,356,0,73,0,1,0,3054.0,33.0,True,0,0,0,True,55.2
spin_glass_n163,Z12,37309,plane,2,10.859,12,0.93,29.0,1,362,,362,0,7289,363,0,27.56,356,0,73,0,1,0,3054.0,33.0,True,0,0,0,True,55.1
spin_glass_n163,Z12,37309,xy,0,10.847,12,0.74,29.2,1,475,,475,0,2241,476,0,29.03,469,0,74,144,1,0,3048.0,32.0,True,0,0,0,True,57.2
spin_glass_n163,Z12,37309,xy,1,10.847,12,1.59,28.31,1,464,,464,0,2076,465,0,28.06,462,0,63,144,1,0,3049.0,32.0,True,0,0,0,True,56.0
