cell,arm,seed,final_acl,rounds,time,diag
wsc_c3_sz32_n96,default,0,6.062,1,8.6,"{'assigned': 6, 'assigned_rows': 3, 'assigned_cols': 3, 'insert_reverts': 0, 'mono_time': 0.0073, 'extent_mean': 5.497, 'extent_max': 8.788}"
wsc_c3_sz32_n96,mm,0,4.604,,7.4,
wsc_c3_sz32_n96,mm2,0,4.938,,6.3,
wsc_c3_sz32_n96,default,1,5.875,1,11.5,"{'assigned': 6, 'assigned_rows': 3, 'assigned_cols': 3, 'insert_reverts': 0, 'mono_time': 0.0111, 'extent_mean': 5.038, 'extent_max': 12.451}"
wsc_c3_sz32_n96,mm,1,4.615,,4.7,
wsc_c3_sz32_n96,mm2,1,4.51,,6.3,
wsc_c3_sz32_n96,default,2,6.219,1,5.3,"{'assigned': 6, 'assigned_rows': 3, 'assigned_cols': 3, 'insert_reverts': 0, 'mono_time': 0.0073, 'extent_mean': 4.528, 'extent_max': 13.148}"
wsc_c3_sz32_n96,mm,2,4.812,,3.6,
wsc_c3_sz32_n96,mm2,2,4.865,,3.2,
wsc_c5_sz32_n160,default,0,5.287,1,14.1,"{'assigned': 10, 'assigned_rows': 5, 'assigned_cols': 5, 'insert_reverts': 0, 'mono_time': 0.0124, 'extent_mean': 3.287, 'extent_max': 7.466}"
wsc_c5_sz32_n160,mm,0,4.862,,6.6,
wsc_c5_sz32_n160,mm2,0,4.769,,9.7,
wsc_c5_sz32_n160,default,1,5.15,1,15.0,"{'assigned': 10, 'assigned_rows': 5, 'assigned_cols': 5, 'insert_reverts': 0, 'mono_time': 0.0121, 'extent_mean': 2.984, 'extent_max': 9.995}"
wsc_c5_sz32_n160,mm,1,5.075,,5.7,
wsc_c5_sz32_n160,mm2,1,4.869,,6.8,
wsc_c5_sz32_n160,default,2,4.969,1,20.5,"{'assigned': 10, 'assigned_rows': 5, 'assigned_cols': 5, 'insert_reverts': 0, 'mono_time': 0.0143, 'extent_mean': 3.354, 'extent_max': 9.026}"
wsc_c5_sz32_n160,mm,2,5.031,,8.5,
wsc_c5_sz32_n160,mm2,2,5.263,,13.3,
wsc_c8_sz32_n256,default,0,5.25,1,17.6,"{'assigned': 15, 'assigned_rows': 8, 'assigned_cols': 7, 'insert_reverts': 0, 'mono_time': 0.0291, 'extent_mean': 2.507, 'extent_max': 5.2}"
wsc_c8_sz32_n256,mm,0,4.852,,12.4,
wsc_c8_sz32_n256,mm2,0,5.066,,10.0,
wsc_c8_sz32_n256,default,1,4.984,1,15.9,"{'assigned': 15, 'assigned_rows': 8, 'assigned_cols': 7, 'insert_reverts': 0, 'mono_time': 0.0358, 'extent_mean': 2.845, 'extent_max': 6.07}"
wsc_c8_sz32_n256,mm,1,5.191,,17.0,
wsc_c8_sz32_n256,mm2,1,5.289,,9.7,
wsc_c8_sz32_n256,default,2,4.953,1,28.3,"{'assigned': 15, 'assigned_rows': 8, 'assigned_cols': 7, 'insert_reverts': 0, 'mono_time': 0.0396, 'extent_mean': 2.717, 'extent_max': 6.253}"
wsc_c8_sz32_n256,mm,2,5.41,,20.8,
wsc_c8_sz32_n256,mm2,2,4.918,,15.4,
wsc_c3_sz64_n192,default,0,9.198,1,55.4,"{'assigned': 192, 'assigned_rows': 192, 'assigned_cols': 192, 'insert_reverts': 1, 'mono_time': 2.7266, 'extent_mean': 5.29, 'extent_max': 9.08}"
wsc_c3_sz64_n192,mm,0,9.229,,33.9,
wsc_c3_sz64_n192,mm2,0,8.609,,43.6,
wsc_c3_sz64_n192,default,1,9.208,1,40.5,"{'assigned': 192, 'assigned_rows': 192, 'assigned_cols': 192, 'insert_reverts': 1, 'mono_time': 2.2952, 'extent_mean': 5.589, 'extent_max': 9.767}"
wsc_c3_sz64_n192,mm,1,9.177,,58.8,
wsc_c3_sz64_n192,mm2,1,8.844,,32.1,
wsc_c3_sz64_n192,default,2,9.458,1,41.3,"{'assigned': 192, 'assigned_rows': 192, 'assigned_cols': 192, 'insert_reverts': 1, 'mono_time': 2.2381, 'extent_mean': 5.047, 'extent_max': 9.129}"
wsc_c3_sz64_n192,mm,2,11.25,,20.9,
wsc_c3_sz64_n192,mm2,2,9.068,,55.9,
