cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,seats,2,2.845,7,2.22,27.53,0,108,5,0,104|30|15|7|0,18.0,False,0,15,21,False,60.1
regular_n316,Z12,13096,brick,0,2.946,7,1.41,28.34,0,82,7,0,102|15|5|1|7|1|0,15.0,False,0,21,17,False,60.1
regular_n316,Z12,13096,brick,1,2.709,6,1.24,28.74,0,70,2,0,102|12,14.0,False,0,11,15,False,60.0
regular_n316,Z12,13096,brick,2,2.854,7,4.66,25.23,0,73,3,0,102|15|0,15.0,False,0,17,17,False,60.1
ws_n486,Z12,17188,seats,0,2.65,9,10.27,19.71,0,82,1,0,175,29.0,False,0,11,17,False,60.0
ws_n486,Z12,17188,seats,1,2.749,9,9.08,20.87,0,144,2,0,236|36,30.0,False,1,17,23,False,60.0
ws_n486,Z12,17188,seats,2,2.632,9,13.41,16.17,0,143,2,0,236|30,30.0,False,0,16,20,False,60.0
ws_n486,Z12,17188,seats,3,2.858,10,11.08,18.78,0,143,2,0,236|33,29.0,False,0,14,24,False,60.0
ws_n486,Z12,17188,seats,4,2.597,8,12.25,17.71,0,143,2,0,236|9,30.0,False,0,21,18,False,60.1
ws_n486,Z12,17188,seats,5,2.621,8,14.47,15.48,0,143,2,0,236|0,29.0,False,0,19,21,False,60.0
ws_n486,Z12,17188,seats,6,2.728,9,11.97,16.85,0,143,2,0,236|27,29.0,False,0,25,26,False,60.1
ws_n486,Z12,17188,seats,7,2.745,9,13.65,15.49,0,148,2,0,236|40,29.0,False,1,21,31,False,60.1
ws_n486,Z12,17188,seats,8,2.541,8,13.26,16.36,0,147,2,0,236|39,29.0,False,1,23,31,False,60.1
ws_n486,Z12,17188,seats,9,2.673,9,15.25,14.9,0,143,2,0,236|26,30.0,False,2,22,22,False,60.3
ws_n486,Z12,17188,brick,0,2.698,9,14.73,14.23,0,127,2,0,205|27,32.0,False,1,22,24,False,60.1
ws_n486,Z12,17188,brick,1,2.572,8,15.79,14.12,0,122,2,0,205|22,31.0,False,0,20,21,False,60.1
ws_n486,Z12,17188,brick,2,2.582,8,12.16,16.07,0,121,2,0,205|21,31.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,brick,3,2.671,10,14.69,15.07,0,127,2,0,205|27,32.0,False,2,22,24,False,60.0
ws_n486,Z12,17188,brick,4,2.689,9,12.7,16.91,0,159,3,0,205|59|0,27.0,False,0,14,26,False,60.0
ws_n486,Z12,17188,brick,5,2.481,8,10.6,18.62,0,142,2,0,205|42,29.0,False,0,6,19,False,60.0
ws_n486,Z12,17188,brick,6,2.512,8,10.2,18.83,0,159,3,0,205|59|6,26.0,False,1,18,27,False,60.1
ws_n486,Z12,17188,brick,7,2.623,9,10.2,19.7,0,159,3,0,205|59|6,26.0,False,0,18,27,False,60.1
ws_n486,Z12,17188,brick,8,2.621,9,9.28,20.04,0,161,3,0,205|59|8,27.0,False,0,20,25,False,60.0
ws_n486,Z12,17188,brick,9,2.652,8,8.64,20.91,0,159,3,0,205|59|6,26.0,False,0,18,27,False,60.0
grid_200,Z12,1590,seats,0,1.12,2,0.13,24.87,26,9,9,158,42|15|7|1|0|25|8|1|0,5.0,False,0,5,27,False,60.1
grid_200,Z12,1590,seats,1,1.09,2,0.17,25.84,26,9,9,158,42|15|7|1|0|25|8|1|0,5.0,False,0,5,27,False,60.0
grid_200,Z12,1590,seats,2,1.12,2,0.06,23.98,26,9,9,158,42|15|7|1|0|25|8|1|0,5.0,False,0,5,27,False,60.1
grid_200,Z12,1590,brick,0,1.08,2,0.37,23.05,20,20,6,356,47|3|0|22|11|0,5.0,False,0,12,23,False,54.2
grid_200,Z12,1590,brick,1,1.08,2,0.07,16.38,20,20,6,356,47|3|0|22|11|0,5.0,False,1,12,23,False,60.0
grid_200,Z12,1590,brick,2,1.085,2,0.06,19.59,20,20,6,356,47|3|0|22|11|0,5.0,False,0,12,23,False,60.0
honeycomb_200,Z12,32393,seats,0,1.09,2,1.86,25.24,30,10,6,225,35|3|0|31|4|0,6.0,False,0,10,30,False,60.0
honeycomb_200,Z12,32393,seats,1,1.115,2,1.76,18.88,30,10,6,225,35|3|0|31|4|0,6.0,False,0,10,30,False,60.0
honeycomb_200,Z12,32393,seats,2,1.115,2,1.7,14.91,30,10,6,225,35|3|0|31|4|0,6.0,False,0,10,30,False,60.1
honeycomb_200,Z12,32393,brick,0,1.075,2,2.52,19.94,9,31,7,444,44|4|2|0|10|1|0,5.0,False,0,16,25,False,60.0
honeycomb_200,Z12,32393,brick,1,1.075,2,1.18,15.3,9,31,7,444,44|4|2|0|10|1|0,5.0,False,0,16,25,False,60.0
honeycomb_200,Z12,32393,brick,2,1.065,2,0.52,23.0,9,31,7,444,44|4|2|0|10|1|0,5.0,False,0,16,25,False,60.0
king_graph_196,Z12,32622,seats,0,1.454,2,0.04,29.88,61,17,9,169,47|12|2|0|60|19|5|7|0,6.0,True,0,0,3,False,60.1
king_graph_196,Z12,32622,seats,1,1.5,3,0.03,29.43,61,17,9,169,47|12|2|0|60|19|5|7|0,6.0,True,0,0,3,False,60.1
king_graph_196,Z12,32622,seats,2,1.51,3,0.04,29.86,61,17,8,142,47|12|2|0|60|19|5|7,6.0,True,1,0,3,False,60.1
king_graph_196,Z12,32622,brick,0,1.515,3,0.03,29.93,12,33,8,169,67|6|6|1|0|17|4|0,6.0,False,1,19,13,False,60.0
king_graph_196,Z12,32622,brick,1,1.48,2,0.03,21.53,12,33,8,248,67|6|6|1|0|17|4|0,6.0,False,0,19,13,False,60.0
king_graph_196,Z12,32622,brick,2,1.459,3,0.04,29.47,12,33,8,248,67|6|6|1|0|17|4|0,6.0,False,0,19,13,False,60.1
K100,P16,,seats,0,11.66,18,0.01,20.66,5,0,5,16,2|0|1|4|0,15.0,,0,,,,62.0
K100,P16,,seats,1,11.43,17,0.01,23.83,5,0,5,16,2|0|1|4|0,15.0,,0,,,,62.2
K100,P16,,seats,2,12.0,16,0.01,21.1,5,0,5,16,2|0|1|4|0,15.0,,0,,,,64.0
K100,P16,,brick,0,11.66,18,0.02,22.39,5,0,5,16,2|0|1|4|0,15.0,,0,,,,64.8
K100,P16,,brick,1,11.43,17,0.0,20.59,5,0,5,16,2|0|1|4|0,15.0,,0,,,,61.8
K100,P16,,brick,2,12.0,16,0.01,18.79,5,0,5,16,2|0|1|4|0,15.0,,0,,,,62.3
turan_n162,P16,2647,seats,0,27.673,86,0.48,36.51,0,17,5,0,23|7|6|0|2,16.0,,0,,,,60.7
turan_n162,P16,2647,seats,1,,,,,,,,,,,,,,,,66.7
turan_n162,P16,2647,seats,2,19.994,71,0.15,29.77,0,17,4,0,23|7|6|0,15.0,,0,,,,60.2
turan_n162,P16,2647,brick,0,22.685,57,0.1,32.19,0,17,5,0,23|7|6|0|2,16.0,,0,,,,60.7
turan_n162,P16,2647,brick,1,,,,,,,,,,,,,,,,69.9
turan_n162,P16,2647,brick,2,23.457,74,0.14,37.09,0,17,5,0,23|7|6|0|2,16.0,,0,,,,60.2
ws_n486,P16,17188,seats,0,3.163,11,0.24,29.69,0,183,5,0,198|59|27|20|0,14.0,,0,,,,60.0
ws_n486,P16,17188,seats,1,3.181,11,0.22,29.74,0,148,4,0,196|31|27|2,15.0,,0,,,,60.0
ws_n486,P16,17188,seats,2,2.992,10,0.54,29.36,0,155,4,0,183|37|33|2,13.0,,0,,,,60.0
ws_n486,P16,17188,brick,0,3.424,14,0.12,29.85,0,152,5,0,202|44|16|4|0,14.0,,0,,,,60.0
ws_n486,P16,17188,brick,1,3.198,12,0.13,29.84,0,170,4,0,198|59|27|7,14.0,,0,,,,60.0
ws_n486,P16,17188,brick,2,3.21,11,0.88,29.08,0,156,4,0,183|37|33|3,13.0,,0,,,,60.0
