source,instance,target,algorithm,seed,n,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ERd0.3_n20,0,zephyr15_broken,reweave-mmfork-cuthill,1,20,1,1,1.55,3,31,0.2790827888529748,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-mmfork-cuthill,2,20,1,1,1.55,2,31,0.4645617580972612,20,66
ERd0.3_n40,0,pegasus16_broken,minorminer,0,40,1,1,4.1,7,164,1.3478510670829564,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer,1,40,1,1,3.775,6,151,2.4904865161515772,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer,2,40,1,1,3.7,5,148,2.0360428751446307,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer-layout,0,40,1,1,3.6,5,144,2.1151624070480466,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer-layout,1,40,1,1,3.725,6,149,3.0837397209834307,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer-layout,2,40,1,1,3.925,6,157,2.809402579907328,40,241
ERd0.3_n40,0,pegasus16_broken,reweave,0,40,1,1,3.975,6,159,1.6734500520396978,40,241
ERd0.3_n40,0,pegasus16_broken,reweave,1,40,1,1,3.7,6,148,3.3109001761768013,40,241
ERd0.3_n40,0,pegasus16_broken,reweave,2,40,1,1,3.7,5,148,1.83205451304093,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-thorough,0,40,1,1,3.65,5,146,8.999548634048551,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-thorough,1,40,1,1,3.625,6,145,9.724750681081787,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-thorough,2,40,1,1,3.5,6,140,5.982593601103872,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill,0,40,1,1,3.875,6,155,1.7904987861402333,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill,1,40,1,1,3.8,6,152,2.0434654450509697,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill,2,40,1,1,3.9,6,156,2.028046178864315,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill-fast,0,40,1,1,3.875,6,155,2.158573426073417,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill-fast,1,40,1,1,3.8,6,152,2.136857066070661,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill-fast,2,40,1,1,3.9,6,156,1.6989448571112007,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-portfolio,0,40,1,1,3.5,5,140,11.264047815930098,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-portfolio,1,40,1,1,3.45,5,138,12.352371165063232,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-portfolio,2,40,1,1,3.525,6,141,9.40236996114254,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-mmfork-cuthill,0,40,1,1,3.725,5,149,2.453685668995604,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-mmfork-cuthill,1,40,1,1,3.7,6,148,2.505363264121115,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-mmfork-cuthill,2,40,1,1,3.8,5,152,2.107394888997078,40,241
ERd0.3_n40,0,zephyr15_broken,minorminer,0,40,1,1,2.8,4,112,4.098411013139412,40,241
ERd0.3_n40,0,zephyr15_broken,minorminer,1,40,1,1,2.775,4,111,3.288641568971798,40,241
ERd0.3_n40,0,zephyr15_broken,minorminer,2,40,1,1,3.3,5,132,2.235698855947703,40,241
ERd0.3_n40,0,zephyr15_broken,minorminer-layout,0,40,1,1,3.175,4,127,4.153544333064929,40,241
ERd0.3_n40,0,zephyr15_broken,minorminer-layout,1,40,1,1,3.175,5,127,3.4475001280661672,40,241
ERd0.3_n40,0,zephyr15_broken,minorminer-layout,2,40,1,1,3.0,4,120,4.4390490769874305,40,241
ERd0.3_n40,0,zephyr15_broken,reweave,0,40,1,1,2.8,4,112,4.186378726968542,40,241
ERd0.3_n40,0,zephyr15_broken,reweave,1,40,1,1,2.775,4,111,3.660198353929445,40,241
ERd0.3_n40,0,zephyr15_broken,reweave,2,40,1,1,3.175,5,127,1.5173003519885242,40,241
ERd0.3_n40,0,zephyr15_broken,reweave-thorough,0,40,1,1,2.8,4,112,10.150308302836493,40,241
ERd0.3_n40,0,zephyr15_broken,reweave-thorough,1,40,1,1,2.775,4,111,10.143301422940567,40,241
ERd0.3_n40,0,zephyr15_broken,reweave-thorough,2,40,1,1,2.75,4,110,7.868681293912232,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-cuthill,0,40,1,1,2.925,4,117,2.3457579580135643,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-cuthill,1,40,1,1,3.175,5,127,1.2407716510351747,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-cuthill,2,40,1,1,3.0,5,120,2.9095853841863573,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-cuthill-fast,0,40,1,1,2.925,4,117,2.01857529906556,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-cuthill-fast,1,40,1,1,3.175,5,127,1.1611693429294974,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-cuthill-fast,2,40,1,1,3.0,5,120,2.8548303418792784,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-portfolio,0,40,1,1,2.8,4,112,15.020993993850425,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-portfolio,1,40,1,1,2.75,4,110,12.44258692394942,40,241
ERd0.3_n40,0,zephyr15_broken,mmfork-portfolio,2,40,1,1,2.675,4,107,17.544878404121846,40,241
ERd0.3_n40,0,zephyr15_broken,reweave-mmfork-cuthill,0,40,1,1,2.925,4,117,1.8224632740020752,40,241
ERd0.3_n40,0,zephyr15_broken,reweave-mmfork-cuthill,1,40,1,1,3.15,5,126,1.3376312998589128,40,241
ERd0.3_n40,0,zephyr15_broken,reweave-mmfork-cuthill,2,40,1,1,2.95,5,118,2.7610567312221974,40,241
ERd0.3_n80,0,pegasus16_broken,minorminer,0,80,1,1,9.4375,14,755,94.51167941698804,80,955
ERd0.3_n80,0,pegasus16_broken,minorminer,1,80,1,1,10.9125,18,873,27.708041680045426,80,955
ERd0.3_n80,0,pegasus16_broken,minorminer,2,80,1,1,9.125,14,730,33.50544045004062,80,955
ERd0.3_n80,0,pegasus16_broken,minorminer-layout,0,80,1,1,10.8875,17,871,35.82638213480823,80,955
ERd0.3_n80,0,pegasus16_broken,minorminer-layout,1,80,1,1,9.6375,15,771,32.11755298799835,80,955
ERd0.3_n80,0,pegasus16_broken,minorminer-layout,2,80,1,1,10.95,18,876,19.142303682863712,80,955
ERd0.3_n80,0,pegasus16_broken,reweave,0,80,1,1,8.8375,13,707,98.9219029371161,80,955
ERd0.3_n80,0,pegasus16_broken,reweave,1,80,1,1,10.0375,18,803,28.483339936006814,80,955
ERd0.3_n80,0,pegasus16_broken,reweave,2,80,1,1,8.775,14,702,45.95081207808107,80,955
ERd0.3_n80,0,pegasus16_broken,reweave-thorough,0,80,1,1,9.275,15,742,127.48918895306997,80,955
ERd0.3_n80,0,pegasus16_broken,reweave-thorough,1,80,1,1,9.125,16,730,129.44376264698803,80,955
ERd0.3_n80,0,pegasus16_broken,reweave-thorough,2,80,1,1,9.0125,14,721,129.68456356506795,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-cuthill,0,80,1,1,9.0625,13,725,41.94892900600098,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-cuthill,1,80,1,1,9.5125,14,761,59.84685716102831,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-cuthill,2,80,1,1,9.15,15,732,23.10451512900181,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-cuthill-fast,0,80,1,1,9.0625,13,725,31.74732347787358,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-cuthill-fast,1,80,1,1,9.5125,14,761,49.769104299834,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-cuthill-fast,2,80,1,1,9.15,15,732,21.335009993985295,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-portfolio,0,80,1,1,9.075,13,726,183.1336325230077,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-portfolio,1,80,1,1,9.825,15,786,164.09875476686284,80,955
ERd0.3_n80,0,pegasus16_broken,mmfork-portfolio,2,80,1,1,9.125,14,730,161.37869568308815,80,955
ERd0.3_n80,0,pegasus16_broken,reweave-mmfork-cuthill,0,80,1,1,8.6,13,688,33.68823570990935,80,955
ERd0.3_n80,0,pegasus16_broken,reweave-mmfork-cuthill,1,80,1,1,8.95,13,716,64.40196521999314,80,955
ERd0.3_n80,0,pegasus16_broken,reweave-mmfork-cuthill,2,80,1,1,8.7625,14,701,31.263674447778612,80,955
ERd0.3_n80,0,zephyr15_broken,minorminer,0,80,1,1,7.1125,11,569,39.74740612693131,80,955
ERd0.3_n80,0,zephyr15_broken,minorminer,1,80,1,1,7.375,12,590,31.590479722013697,80,955
ERd0.3_n80,0,zephyr15_broken,minorminer,2,80,1,1,7.55,12,604,31.356285764137283,80,955
ERd0.3_n80,0,zephyr15_broken,minorminer-layout,0,80,1,1,7.1875,12,575,25.140962730161846,80,955
ERd0.3_n80,0,zephyr15_broken,minorminer-layout,1,80,1,1,8.225,13,658,31.83741421997547,80,955
ERd0.3_n80,0,zephyr15_broken,minorminer-layout,2,80,1,1,7.225,12,578,26.29259236296639,80,955
ERd0.3_n80,0,zephyr15_broken,reweave,0,80,1,1,6.7625,10,541,48.9644954521209,80,955
