pid,gkey,n,method,eseed,acl,maxchain,chain_rel,mean_e,best_e,chainbreak,gs,p_gs,resid
1,ER_n24_d0.5_g0,24,minorminer,1,2.6666666666666665,4,0.75,-68.7,-74.0,0.2187,-74.0,0.014,0.0716
1,ER_n24_d0.5_g0,24,minorminer,1,2.6666666666666665,4,1.0,-70.832,-72.0,0.1845,-74.0,0.0,0.0428
1,ER_n24_d0.5_g0,24,minorminer,1,2.6666666666666665,4,1.5,-71.752,-74.0,0.0584,-74.0,0.064,0.0304
1,ER_n24_d0.5_g0,24,minorminer-layout,0,2.7083333333333335,4,0.75,-69.104,-70.0,0.2348,-74.0,0.0,0.0662
1,ER_n24_d0.5_g0,24,minorminer-layout,0,2.7083333333333335,4,1.0,-69.6,-72.0,0.127,-74.0,0.0,0.0595
1,ER_n24_d0.5_g0,24,minorminer-layout,0,2.7083333333333335,4,1.5,-70.916,-74.0,0.0677,-74.0,0.128,0.0417
1,ER_n24_d0.5_g0,24,minorminer-layout,1,2.9583333333333335,4,0.75,-63.44,-70.0,0.374,-74.0,0.0,0.1427
1,ER_n24_d0.5_g0,24,minorminer-layout,1,2.9583333333333335,4,1.0,-62.452,-70.0,0.3603,-74.0,0.0,0.1561
1,ER_n24_d0.5_g0,24,minorminer-layout,1,2.9583333333333335,4,1.5,-62.808,-74.0,0.2246,-74.0,0.116,0.1512
1,ER_n24_d0.5_g0,24,reweave,0,2.7083333333333335,4,0.75,-66.98,-72.0,0.222,-74.0,0.0,0.0949
1,ER_n24_d0.5_g0,24,reweave,0,2.7083333333333335,4,1.0,-68.8,-72.0,0.1865,-74.0,0.0,0.0703
1,ER_n24_d0.5_g0,24,reweave,0,2.7083333333333335,4,1.5,-71.8,-74.0,0.0786,-74.0,0.128,0.0297
1,ER_n24_d0.5_g0,24,reweave,1,2.625,4,0.75,-68.652,-74.0,0.2193,-74.0,0.014,0.0723
1,ER_n24_d0.5_g0,24,reweave,1,2.625,4,1.0,-70.396,-72.0,0.1888,-74.0,0.0,0.0487
1,ER_n24_d0.5_g0,24,reweave,1,2.625,4,1.5,-71.66,-74.0,0.0584,-74.0,0.068,0.0316
1,ER_n24_d0.5_g0,24,reweave-thorough,0,2.625,3,0.75,-67.076,-70.0,0.2908,-74.0,0.0,0.0936
1,ER_n24_d0.5_g0,24,reweave-thorough,0,2.625,3,1.0,-69.216,-70.0,0.2109,-74.0,0.0,0.0646
1,ER_n24_d0.5_g0,24,reweave-thorough,0,2.625,3,1.5,-69.568,-70.0,0.1662,-74.0,0.0,0.0599
1,ER_n24_d0.5_g0,24,reweave-thorough,1,2.5833333333333335,4,0.75,-71.956,-72.0,0.1253,-74.0,0.0,0.0276
1,ER_n24_d0.5_g0,24,reweave-thorough,1,2.5833333333333335,4,1.0,-71.944,-72.0,0.1253,-74.0,0.0,0.0278
1,ER_n24_d0.5_g0,24,reweave-thorough,1,2.5833333333333335,4,1.5,-71.988,-72.0,0.0833,-74.0,0.0,0.0272
1,ER_n24_d0.5_g0,24,mmfork-cuthill,0,2.6666666666666665,4,0.75,-64.276,-72.0,0.2373,-74.0,0.0,0.1314
1,ER_n24_d0.5_g0,24,mmfork-cuthill,0,2.6666666666666665,4,1.0,-66.676,-70.0,0.2033,-74.0,0.0,0.099
1,ER_n24_d0.5_g0,24,mmfork-cuthill,0,2.6666666666666665,4,1.5,-69.228,-72.0,0.0937,-74.0,0.0,0.0645
1,ER_n24_d0.5_g0,24,mmfork-cuthill,1,2.7916666666666665,4,0.75,-72.0,-72.0,0.2083,-74.0,0.0,0.027
1,ER_n24_d0.5_g0,24,mmfork-cuthill,1,2.7916666666666665,4,1.0,-71.96,-72.0,0.2085,-74.0,0.0,0.0276
1,ER_n24_d0.5_g0,24,mmfork-cuthill,1,2.7916666666666665,4,1.5,-71.956,-74.0,0.2057,-74.0,0.002,0.0276
1,ER_n24_d0.5_g0,24,mmfork-portfolio,0,2.5833333333333335,3,0.75,-69.904,-70.0,0.1722,-74.0,0.0,0.0554
1,ER_n24_d0.5_g0,24,mmfork-portfolio,0,2.5833333333333335,3,1.0,-69.804,-70.0,0.1378,-74.0,0.0,0.0567
1,ER_n24_d0.5_g0,24,mmfork-portfolio,0,2.5833333333333335,3,1.5,-70.508,-74.0,0.0998,-74.0,0.002,0.0472
1,ER_n24_d0.5_g0,24,mmfork-portfolio,1,2.5,3,0.75,-64.308,-74.0,0.1783,-74.0,0.03,0.131
1,ER_n24_d0.5_g0,24,mmfork-portfolio,1,2.5,3,1.0,-69.516,-74.0,0.1139,-74.0,0.354,0.0606
1,ER_n24_d0.5_g0,24,mmfork-portfolio,1,2.5,3,1.5,-73.208,-74.0,0.0468,-74.0,0.882,0.0107
2,ER_n24_d0.5_g1,24,minorminer,0,2.7083333333333335,4,0.75,-48.868,-63.0,0.3582,-65.0,0.0,0.2482
2,ER_n24_d0.5_g1,24,minorminer,0,2.7083333333333335,4,1.0,-53.996,-61.0,0.2441,-65.0,0.0,0.1693
2,ER_n24_d0.5_g1,24,minorminer,0,2.7083333333333335,4,1.5,-60.472,-65.0,0.0783,-65.0,0.444,0.0697
2,ER_n24_d0.5_g1,24,minorminer,1,2.75,4,0.75,-47.876,-63.0,0.2754,-65.0,0.0,0.2634
2,ER_n24_d0.5_g1,24,minorminer,1,2.75,4,1.0,-58.416,-63.0,0.1966,-65.0,0.0,0.1013
2,ER_n24_d0.5_g1,24,minorminer,1,2.75,4,1.5,-62.716,-65.0,0.1004,-65.0,0.118,0.0351
2,ER_n24_d0.5_g1,24,minorminer-layout,0,2.5833333333333335,3,0.75,-47.608,-63.0,0.344,-65.0,0.0,0.2676
2,ER_n24_d0.5_g1,24,minorminer-layout,0,2.5833333333333335,3,1.0,-52.084,-63.0,0.2695,-65.0,0.0,0.1987
2,ER_n24_d0.5_g1,24,minorminer-layout,0,2.5833333333333335,3,1.5,-58.616,-65.0,0.1514,-65.0,0.002,0.0982
2,ER_n24_d0.5_g1,24,minorminer-layout,1,2.4583333333333335,4,0.75,-37.104,-63.0,0.3398,-65.0,0.0,0.4292
2,ER_n24_d0.5_g1,24,minorminer-layout,1,2.4583333333333335,4,1.0,-43.804,-63.0,0.2516,-65.0,0.0,0.3261
