source,target,algorithm,n,n_seeds,n_success,n_instances,success_rate,acl_mean,acl_ci,acl_std,maxchain_mean,qubits_mean,time_mean,time_mean_ok,time_std,problem_nodes,problem_edges
ERd0.3_n20,zephyr15_broken,minorminer-layout,20,24,24,8,1.0,1.425,0.087,0.147,2.17,28.5,0.812,0.812,0.456,20,66
ERd0.3_n20,zephyr15_broken,mmfork-cuthill,20,24,24,8,1.0,1.348,0.083,0.142,2.04,27.0,0.221,0.221,0.116,20,66
ERd0.3_n20,zephyr15_broken,mmfork-cuthill-fast,20,24,24,8,1.0,1.348,0.083,0.142,2.04,27.0,0.207,0.207,0.093,20,66
ERd0.3_n20,zephyr15_broken,mmfork-portfolio,20,24,24,8,1.0,1.294,0.073,0.113,2,25.9,1.2,1.2,0.41,20,66
ERd0.3_n20,zephyr15_broken,reweave,20,24,24,8,1.0,1.402,0.087,0.139,2.12,28.0,0.237,0.237,0.103,20,66
ERd0.3_n20,zephyr15_broken,reweave-mmfork-cuthill,20,24,24,8,1.0,1.348,0.083,0.142,2.04,27.0,0.243,0.243,0.078,20,66
ERd0.3_n20,zephyr15_broken,reweave-thorough,20,24,24,8,1.0,1.317,0.086,0.131,2.04,26.3,0.954,0.954,0.37,20,66
ERd0.3_n40,pegasus16_broken,minorminer,40,24,24,8,1.0,3.611,0.113,0.232,5.54,144.5,1.674,1.674,0.787,40,241
ERd0.3_n40,pegasus16_broken,minorminer-layout,40,24,24,8,1.0,3.561,0.111,0.188,5.25,142.5,2.064,2.064,0.715,40,241
ERd0.3_n40,pegasus16_broken,mmfork-cuthill,40,24,24,8,1.0,3.668,0.145,0.257,5.58,146.7,1.829,1.829,0.795,40,241
ERd0.3_n40,pegasus16_broken,mmfork-cuthill-fast,40,24,24,8,1.0,3.668,0.145,0.257,5.58,146.7,1.903,1.903,0.682,40,241
ERd0.3_n40,pegasus16_broken,mmfork-portfolio,40,24,24,8,1.0,3.434,0.095,0.168,5.25,137.4,10.111,10.111,3.367,40,241
ERd0.3_n40,pegasus16_broken,reweave,40,24,24,8,1.0,3.546,0.111,0.218,5.38,141.8,1.952,1.952,0.855,40,241
ERd0.3_n40,pegasus16_broken,reweave-mmfork-cuthill,40,24,24,8,1.0,3.597,0.134,0.232,5.42,143.9,2.023,2.023,0.702,40,241
ERd0.3_n40,pegasus16_broken,reweave-thorough,40,24,24,8,1.0,3.401,0.104,0.182,5.17,136.0,7.428,7.428,2.53,40,241
ERd0.3_n40,zephyr15_broken,minorminer,40,24,24,8,1.0,2.938,0.111,0.212,4.33,117.5,1.789,1.789,0.782,40,241
ERd0.3_n40,zephyr15_broken,minorminer-layout,40,24,24,8,1.0,3.084,0.069,0.17,4.42,123.4,2.428,2.428,1.241,40,241
ERd0.3_n40,zephyr15_broken,mmfork-cuthill,40,24,24,8,1.0,2.884,0.104,0.195,4.38,115.4,1.874,1.874,0.741,40,241
ERd0.3_n40,zephyr15_broken,mmfork-cuthill-fast,40,24,24,8,1.0,2.884,0.104,0.195,4.38,115.4,1.794,1.794,1.064,40,241
ERd0.3_n40,zephyr15_broken,mmfork-portfolio,40,24,24,8,1.0,2.748,0.064,0.119,4,109.9,10.915,10.915,2.852,40,241
ERd0.3_n40,zephyr15_broken,reweave,40,24,24,8,1.0,2.902,0.095,0.181,4.33,116.1,1.902,1.902,0.775,40,241
