source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
ER_n20_d0.7,pegasus_6_broken5,reweave,5,5,1.0,2.72,0.14,3.6,54.4,0.687,0.244,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,5,5,1.0,2.56,0.086,3.2,51.2,3.264,0.667,20,142
ER_n20_d0.7,zephyr_4,minorminer,5,5,1.0,2.16,0.066,3,43.2,0.134,0.032,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,5,5,1.0,2.35,0.164,3,47,0.171,0.03,20,142
ER_n20_d0.7,zephyr_4,reweave,5,5,1.0,2.16,0.066,3,43.2,0.623,0.039,20,142
ER_n20_d0.7,zephyr_4,reweave-thorough,5,5,1.0,2.11,0.037,3,42.2,3.163,0.193,20,142
ER_n30_d0.3,pegasus_6,minorminer,5,5,1.0,2.7,0.114,3.8,81,0.333,0.142,30,147
ER_n30_d0.3,pegasus_6,minorminer-layout,5,5,1.0,2.747,0.154,4,82.4,0.325,0.079,30,147
ER_n30_d0.3,pegasus_6,reweave,5,5,1.0,2.687,0.102,3.8,80.6,1.113,0.321,30,147
ER_n30_d0.3,pegasus_6,reweave-thorough,5,5,1.0,2.587,0.027,3.8,77.6,20.08,0.019,30,147
ER_n30_d0.3,pegasus_6_broken5,minorminer,5,5,1.0,2.793,0.118,4,83.8,1.414,1.111,30,147
ER_n30_d0.3,pegasus_6_broken5,minorminer-layout,5,5,1.0,2.787,0.119,4,83.6,2.417,1.049,30,147
ER_n30_d0.3,pegasus_6_broken5,reweave,5,5,1.0,2.787,0.131,4,83.6,7.55,2.481,30,147
ER_n30_d0.3,pegasus_6_broken5,reweave-thorough,5,5,1.0,2.673,0.074,4,80.2,20.124,0.08,30,147
ER_n30_d0.3,zephyr_4,minorminer,5,5,1.0,2.24,0.044,3,67.2,1.572,0.29,30,147
ER_n30_d0.3,zephyr_4,minorminer-layout,5,5,1.0,2.28,0.083,3.4,68.4,1.79,0.369,30,147
ER_n30_d0.3,zephyr_4,reweave,5,5,1.0,2.233,0.056,3,67,6.922,2.137,30,147
ER_n30_d0.3,zephyr_4,reweave-thorough,5,5,1.0,2.18,0.088,3,65.4,19.408,0.403,30,147
ER_n30_d0.5,pegasus_6,minorminer,5,5,1.0,3.3,0.159,4.6,99,4.442,1.699,30,226
ER_n30_d0.5,pegasus_6,minorminer-layout,5,5,1.0,3.427,0.102,4.8,102.8,3.299,0.417,30,226
ER_n30_d0.5,pegasus_6,reweave,5,5,1.0,3.253,0.147,4.6,97.6,9.04,2.341,30,226
ER_n30_d0.5,pegasus_6,reweave-thorough,5,5,1.0,3.193,0.098,4,95.8,18.815,0.989,30,226
ER_n30_d0.5,pegasus_6_broken5,minorminer,5,5,1.0,3.527,0.11,5,105.8,1.253,0.407,30,226
ER_n30_d0.5,pegasus_6_broken5,minorminer-layout,5,5,1.0,3.5,0.105,5,105,1.261,0.349,30,226
ER_n30_d0.5,pegasus_6_broken5,reweave,5,5,1.0,3.48,0.133,4.8,104.4,4.964,1.107,30,226
ER_n30_d0.5,pegasus_6_broken5,reweave-thorough,5,5,1.0,3.34,0.088,4.6,100.2,12.683,0.774,30,226
ER_n30_d0.5,zephyr_4,minorminer,5,5,1.0,2.747,0.069,4,82.4,0.706,0.301,30,226
ER_n30_d0.5,zephyr_4,minorminer-layout,5,5,1.0,2.733,0.021,4,82,0.811,0.128,30,226
ER_n30_d0.5,zephyr_4,reweave,5,5,1.0,2.713,0.069,4,81.4,2.804,1.215,30,226
ER_n30_d0.5,zephyr_4,reweave-thorough,5,5,1.0,2.687,0.062,4,80.6,8.075,0.894,30,226
ER_n30_d0.7,pegasus_6,minorminer,5,5,1.0,3.827,0.222,5,114.8,1.221,0.481,30,319
ER_n30_d0.7,pegasus_6,minorminer-layout,5,5,1.0,3.8,0.167,5.4,114,0.984,0.313,30,319
ER_n30_d0.7,pegasus_6,reweave,5,5,1.0,3.793,0.225,5,113.8,3.227,0.768,30,319
ER_n30_d0.7,pegasus_6,reweave-thorough,5,5,1.0,3.653,0.062,4.8,109.6,12.325,1.014,30,319
ER_n30_d0.7,pegasus_6_broken5,minorminer,5,5,1.0,3.853,0.165,5.2,115.6,0.872,0.255,30,319
ER_n30_d0.7,pegasus_6_broken5,minorminer-layout,5,5,1.0,4.013,0.157,5.6,120.4,0.736,0.176,30,319
ER_n30_d0.7,pegasus_6_broken5,reweave,5,5,1.0,3.787,0.144,5,113.6,3.136,0.292,30,319
ER_n30_d0.7,pegasus_6_broken5,reweave-thorough,5,5,1.0,3.68,0.131,4.8,110.4,11.325,0.516,30,319
ER_n30_d0.7,zephyr_4,minorminer,5,5,1.0,3.033,0.06,4,91,0.679,0.198,30,319
ER_n30_d0.7,zephyr_4,minorminer-layout,5,5,1.0,3.033,0.037,4,91,0.665,0.174,30,319
ER_n30_d0.7,zephyr_4,reweave,5,5,1.0,3.007,0.053,4,90.2,2.571,0.584,30,319
ER_n30_d0.7,zephyr_4,reweave-thorough,5,5,1.0,2.96,0.025,4,88.8,8.358,1.16,30,319
ER_n40_d0.3,pegasus_6,minorminer,5,5,1.0,3.56,0.046,5.2,142.4,0.538,0.112,40,241
ER_n40_d0.3,pegasus_6,minorminer-layout,5,5,1.0,3.62,0.135,5.4,144.8,0.457,0.082,40,241
ER_n40_d0.3,pegasus_6,reweave,5,5,1.0,3.525,0.057,5.2,141,2.124,0.404,40,241
ER_n40_d0.3,pegasus_6,reweave-thorough,5,5,1.0,3.41,0.064,5,136.4,8.372,1.342,40,241
ER_n40_d0.3,pegasus_6_broken5,minorminer,5,5,1.0,3.615,0.155,5.2,144.6,0.605,0.192,40,241
ER_n40_d0.3,pegasus_6_broken5,minorminer-layout,5,5,1.0,3.635,0.191,5.6,145.4,0.44,0.2,40,241
ER_n40_d0.3,pegasus_6_broken5,reweave,5,5,1.0,3.585,0.096,5.2,143.4,1.541,0.269,40,241
ER_n40_d0.3,pegasus_6_broken5,reweave-thorough,5,5,1.0,3.515,0.086,5,140.6,7.254,0.357,40,241
ER_n40_d0.3,zephyr_4,minorminer,5,5,1.0,2.925,0.091,4.4,117,0.512,0.186,40,241
ER_n40_d0.3,zephyr_4,minorminer-layout,5,5,1.0,3.11,0.127,4.8,124.4,0.428,0.228,40,241
ER_n40_d0.3,zephyr_4,reweave,5,5,1.0,2.88,0.086,4.2,115.2,2.333,0.412,40,241
ER_n40_d0.3,zephyr_4,reweave-thorough,5,5,1.0,2.835,0.106,4.2,113.4,8.4,0.692,40,241
