cell,target,algorithm,n_trials,n_success,acl_mean,acl_std,time_mean
REG_n40_k4,pegasus_6,reweave-thorough,45,45,1.3678,0.0593,0.601
REG_n40_k6,pegasus_6,minorminer,45,45,2.1294,0.115,0.3005
REG_n40_k6,pegasus_6,minorminer-layout,45,45,2.2156,0.1178,1.1014
REG_n40_k6,pegasus_6,mmfork-cuthill,45,45,2.1783,0.1468,0.3385
REG_n40_k6,pegasus_6,mmfork-portfolio,45,45,2.0311,0.0879,2.1112
REG_n40_k6,pegasus_6,reweave,45,45,2.125,0.1111,0.4218
REG_n40_k6,pegasus_6,reweave-base,45,45,2.125,0.1111,1.3435
REG_n40_k6,pegasus_6,reweave-mmfork-cuthill,45,45,2.165,0.1299,0.4474
REG_n40_k6,pegasus_6,reweave-stacked,45,45,2.1761,0.1319,0.7974
REG_n40_k6,pegasus_6,reweave-thorough,45,45,2.0267,0.075,1.5637
