source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,pegasus_6_broken5,reweave-thorough,1,1,1,1.7,3,34,0.21108341599756386,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-thorough,2,1,1,1.7,3,34,0.27052345799893374,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-thorough,3,1,1,1.75,3,35,0.21852866699919105,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-thorough,4,1,1,1.7,3,34,0.19200262500089593,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-stacked,0,1,1,1.8,3,36,0.11459833300250466,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-stacked,1,1,1,1.75,2,35,0.11156216599920299,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-stacked,2,1,1,1.8,3,36,0.08660183300162316,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-stacked,3,1,1,1.9,3,38,0.08953599999949802,20,66
ER_n20_d0.3,pegasus_6_broken5,reweave-stacked,4,1,1,1.75,3,35,0.09872054100196692,20,66
ER_n20_d0.3,zephyr_4,minorminer,0,1,1,1.5,2,30,0.03748391599947354,20,66
ER_n20_d0.3,zephyr_4,minorminer,1,1,1,1.55,2,31,0.031135957997321384,20,66
ER_n20_d0.3,zephyr_4,minorminer,2,1,1,1.55,3,31,0.028353292000247166,20,66
ER_n20_d0.3,zephyr_4,minorminer,3,1,1,1.5,2,30,0.03329608299827669,20,66
ER_n20_d0.3,zephyr_4,minorminer,4,1,1,1.55,2,31,0.03448245799881988,20,66
ER_n20_d0.3,zephyr_4,minorminer-layout,0,1,1,1.6,3,32,0.06023895799808088,20,66
ER_n20_d0.3,zephyr_4,minorminer-layout,1,1,1,1.55,2,31,0.045221042000775924,20,66
ER_n20_d0.3,zephyr_4,minorminer-layout,2,1,1,1.6,2,32,0.04574437499832129,20,66
ER_n20_d0.3,zephyr_4,minorminer-layout,3,1,1,1.5,2,30,0.0541476660000626,20,66
ER_n20_d0.3,zephyr_4,minorminer-layout,4,1,1,1.5,2,30,0.05132733400023426,20,66
