gkey,target,method,eseed,acl,maxchain,qubits
ER_n10_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,0,1.4,2,14
ER_n10_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,1,1.2,2,12
ER_n10_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,0,1.2,2,12
ER_n10_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,1,1.2,2,12
ER_n10_d0.6_g1,pegasus_3,minorminer,0,1.5,2,15
ER_n10_d0.6_g1,pegasus_3,minorminer,1,1.4,2,14
ER_n10_d0.6_g1,pegasus_3,minorminer-layout,0,1.5,2,15
ER_n10_d0.6_g1,pegasus_3,minorminer-layout,1,1.5,2,15
ER_n10_d0.6_g1,pegasus_3,reweave,0,1.5,2,15
ER_n10_d0.6_g1,pegasus_3,reweave,1,1.4,2,14
ER_n10_d0.6_g1,pegasus_3,reweave-thorough,0,1.3,2,13
ER_n10_d0.6_g1,pegasus_3,reweave-thorough,1,1.4,2,14
ER_n10_d0.6_g1,pegasus_3,mmfork-cuthill,0,1.5,2,15
ER_n10_d0.6_g1,pegasus_3,mmfork-cuthill,1,1.6,3,16
ER_n10_d0.6_g1,pegasus_3,mmfork-portfolio,0,1.3,2,13
ER_n10_d0.6_g1,pegasus_3,mmfork-portfolio,1,1.3,2,13
ER_n10_d0.6_g1,pegasus_3_broken5,minorminer,0,1.6,2,16
ER_n10_d0.6_g1,pegasus_3_broken5,minorminer,1,1.5,2,15
ER_n10_d0.6_g1,pegasus_3_broken5,minorminer-layout,0,1.4,2,14
ER_n10_d0.6_g1,pegasus_3_broken5,minorminer-layout,1,1.3,2,13
ER_n10_d0.6_g1,pegasus_3_broken5,reweave,0,1.6,2,16
ER_n10_d0.6_g1,pegasus_3_broken5,reweave,1,1.5,2,15
ER_n10_d0.6_g1,pegasus_3_broken5,reweave-thorough,0,1.5,2,15
ER_n10_d0.6_g1,pegasus_3_broken5,reweave-thorough,1,1.3,2,13
ER_n10_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,0,1.3,2,13
ER_n10_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,1,1.3,2,13
ER_n10_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,0,1.3,2,13
ER_n10_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,1,1.3,2,13
ER_n10_d0.8_g0,pegasus_3,minorminer,0,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,minorminer,1,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,minorminer-layout,0,1.5,2,15
ER_n10_d0.8_g0,pegasus_3,minorminer-layout,1,1.6,2,16
ER_n10_d0.8_g0,pegasus_3,reweave,0,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,reweave,1,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,reweave-thorough,0,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,reweave-thorough,1,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,mmfork-cuthill,0,1.4,2,14
ER_n10_d0.8_g0,pegasus_3,mmfork-cuthill,1,1.3,2,13
ER_n10_d0.8_g0,pegasus_3,mmfork-portfolio,0,1.3,2,13
ER_n10_d0.8_g0,pegasus_3,mmfork-portfolio,1,1.3,2,13
ER_n10_d0.8_g0,pegasus_3_broken5,minorminer,0,1.9,3,19
ER_n10_d0.8_g0,pegasus_3_broken5,minorminer,1,1.6,2,16
ER_n10_d0.8_g0,pegasus_3_broken5,minorminer-layout,0,1.3,2,13
ER_n10_d0.8_g0,pegasus_3_broken5,minorminer-layout,1,1.5,2,15
ER_n10_d0.8_g0,pegasus_3_broken5,reweave,0,1.9,3,19
ER_n10_d0.8_g0,pegasus_3_broken5,reweave,1,1.6,2,16
ER_n10_d0.8_g0,pegasus_3_broken5,reweave-thorough,0,1.4,2,14
ER_n10_d0.8_g0,pegasus_3_broken5,reweave-thorough,1,1.4,2,14
ER_n10_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,0,1.3,2,13
ER_n10_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,1,1.8,3,18
ER_n10_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,0,1.3,2,13
ER_n10_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,1,1.4,2,14
ER_n10_d0.8_g1,pegasus_3,minorminer,0,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,minorminer,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,minorminer-layout,0,1.7,3,17
ER_n10_d0.8_g1,pegasus_3,minorminer-layout,1,2.0,3,20
ER_n10_d0.8_g1,pegasus_3,reweave,0,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,reweave,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,reweave-thorough,0,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,reweave-thorough,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,mmfork-cuthill,0,1.6,2,16
ER_n10_d0.8_g1,pegasus_3,mmfork-cuthill,1,1.5,2,15
ER_n10_d0.8_g1,pegasus_3,mmfork-portfolio,0,1.5,2,15
ER_n10_d0.8_g1,pegasus_3,mmfork-portfolio,1,1.4,2,14
ER_n10_d0.8_g1,pegasus_3_broken5,minorminer,0,1.7,2,17
ER_n10_d0.8_g1,pegasus_3_broken5,minorminer,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3_broken5,minorminer-layout,0,1.5,2,15
ER_n10_d0.8_g1,pegasus_3_broken5,minorminer-layout,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3_broken5,reweave,0,1.7,2,17
ER_n10_d0.8_g1,pegasus_3_broken5,reweave,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3_broken5,reweave-thorough,0,1.6,2,16
ER_n10_d0.8_g1,pegasus_3_broken5,reweave-thorough,1,1.6,2,16
ER_n10_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,0,1.5,2,15
ER_n10_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,1,1.9,3,19
ER_n10_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,0,1.5,2,15
ER_n10_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,1,1.4,2,14
ER_n12_d0.4_g0,pegasus_3,minorminer,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,minorminer,1,1.0833333333333333,2,13
ER_n12_d0.4_g0,pegasus_3,minorminer-layout,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,minorminer-layout,1,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,reweave,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,reweave,1,1.0833333333333333,2,13
ER_n12_d0.4_g0,pegasus_3,reweave-thorough,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,reweave-thorough,1,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,mmfork-cuthill,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,mmfork-cuthill,1,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,mmfork-portfolio,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3,mmfork-portfolio,1,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,minorminer,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,minorminer,1,1.0833333333333333,2,13
ER_n12_d0.4_g0,pegasus_3_broken5,minorminer-layout,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,minorminer-layout,1,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,reweave,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,reweave,1,1.0833333333333333,2,13
ER_n12_d0.4_g0,pegasus_3_broken5,reweave-thorough,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,reweave-thorough,1,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,1,1.1666666666666667,2,14
ER_n12_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,0,1.0,1,12
ER_n12_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,1,1.0,1,12
ER_n12_d0.4_g1,pegasus_3,minorminer,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,minorminer,1,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,minorminer-layout,0,1.1666666666666667,2,14
ER_n12_d0.4_g1,pegasus_3,minorminer-layout,1,1.1666666666666667,2,14
ER_n12_d0.4_g1,pegasus_3,reweave,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,reweave,1,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,reweave-thorough,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,reweave-thorough,1,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,mmfork-cuthill,0,1.25,2,15
ER_n12_d0.4_g1,pegasus_3,mmfork-cuthill,1,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,mmfork-portfolio,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3,mmfork-portfolio,1,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,minorminer,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,minorminer,1,1.1666666666666667,2,14
ER_n12_d0.4_g1,pegasus_3_broken5,minorminer-layout,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,minorminer-layout,1,1.1666666666666667,2,14
ER_n12_d0.4_g1,pegasus_3_broken5,reweave,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,reweave,1,1.1666666666666667,2,14
ER_n12_d0.4_g1,pegasus_3_broken5,reweave-thorough,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,reweave-thorough,1,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,1,1.1666666666666667,2,14
ER_n12_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,0,1.0833333333333333,2,13
ER_n12_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,1,1.1666666666666667,2,14
ER_n12_d0.6_g0,pegasus_3,minorminer,0,1.75,2,21
ER_n12_d0.6_g0,pegasus_3,minorminer,1,1.5833333333333333,2,19
ER_n12_d0.6_g0,pegasus_3,minorminer-layout,0,1.5833333333333333,2,19
ER_n12_d0.6_g0,pegasus_3,minorminer-layout,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3,reweave,0,1.75,2,21
ER_n12_d0.6_g0,pegasus_3,reweave,1,1.5833333333333333,2,19
ER_n12_d0.6_g0,pegasus_3,reweave-thorough,0,1.4166666666666667,2,17
ER_n12_d0.6_g0,pegasus_3,reweave-thorough,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3,mmfork-cuthill,0,1.4166666666666667,2,17
ER_n12_d0.6_g0,pegasus_3,mmfork-cuthill,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3,mmfork-portfolio,0,1.4166666666666667,2,17
ER_n12_d0.6_g0,pegasus_3,mmfork-portfolio,1,1.4166666666666667,2,17
ER_n12_d0.6_g0,pegasus_3_broken5,minorminer,0,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,minorminer,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,minorminer-layout,0,1.5833333333333333,3,19
ER_n12_d0.6_g0,pegasus_3_broken5,minorminer-layout,1,1.5833333333333333,3,19
ER_n12_d0.6_g0,pegasus_3_broken5,reweave,0,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,reweave,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,reweave-thorough,0,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,reweave-thorough,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,0,1.5833333333333333,2,19
ER_n12_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,1,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,0,1.5,2,18
ER_n12_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3,minorminer,0,1.5833333333333333,2,19
ER_n12_d0.6_g1,pegasus_3,minorminer,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3,minorminer-layout,0,1.5,2,18
ER_n12_d0.6_g1,pegasus_3,minorminer-layout,1,1.6666666666666667,2,20
ER_n12_d0.6_g1,pegasus_3,reweave,0,1.5833333333333333,2,19
ER_n12_d0.6_g1,pegasus_3,reweave,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3,reweave-thorough,0,1.5,2,18
ER_n12_d0.6_g1,pegasus_3,reweave-thorough,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3,mmfork-cuthill,0,1.75,2,21
ER_n12_d0.6_g1,pegasus_3,mmfork-cuthill,1,1.6666666666666667,2,20
ER_n12_d0.6_g1,pegasus_3,mmfork-portfolio,0,1.5833333333333333,2,19
ER_n12_d0.6_g1,pegasus_3,mmfork-portfolio,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3_broken5,minorminer,0,1.6666666666666667,3,20
ER_n12_d0.6_g1,pegasus_3_broken5,minorminer,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3_broken5,minorminer-layout,0,1.6666666666666667,3,20
ER_n12_d0.6_g1,pegasus_3_broken5,minorminer-layout,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3_broken5,reweave,0,1.6666666666666667,3,20
ER_n12_d0.6_g1,pegasus_3_broken5,reweave,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3_broken5,reweave-thorough,0,1.5833333333333333,2,19
ER_n12_d0.6_g1,pegasus_3_broken5,reweave-thorough,1,1.5,2,18
ER_n12_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,0,1.5833333333333333,2,19
ER_n12_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,1,1.75,3,21
ER_n12_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,0,1.5,2,18
ER_n12_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,1,1.5,2,18
ER_n12_d0.8_g0,pegasus_3,minorminer,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3,minorminer,1,1.75,3,21
ER_n12_d0.8_g0,pegasus_3,minorminer-layout,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3,minorminer-layout,1,1.75,3,21
ER_n12_d0.8_g0,pegasus_3,reweave,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3,reweave,1,1.75,3,21
ER_n12_d0.8_g0,pegasus_3,reweave-thorough,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3,reweave-thorough,1,1.5833333333333333,2,19
ER_n12_d0.8_g0,pegasus_3,mmfork-cuthill,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3,mmfork-cuthill,1,1.75,2,21
ER_n12_d0.8_g0,pegasus_3,mmfork-portfolio,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3,mmfork-portfolio,1,1.75,3,21
ER_n12_d0.8_g0,pegasus_3_broken5,minorminer,0,1.9166666666666667,3,23
ER_n12_d0.8_g0,pegasus_3_broken5,minorminer,1,1.9166666666666667,3,23
ER_n12_d0.8_g0,pegasus_3_broken5,minorminer-layout,0,1.8333333333333333,3,22
ER_n12_d0.8_g0,pegasus_3_broken5,minorminer-layout,1,1.6666666666666667,3,20
ER_n12_d0.8_g0,pegasus_3_broken5,reweave,0,1.9166666666666667,3,23
ER_n12_d0.8_g0,pegasus_3_broken5,reweave,1,1.9166666666666667,3,23
ER_n12_d0.8_g0,pegasus_3_broken5,reweave-thorough,0,1.5833333333333333,2,19
ER_n12_d0.8_g0,pegasus_3_broken5,reweave-thorough,1,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,1,1.8333333333333333,2,22
ER_n12_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,0,1.6666666666666667,2,20
ER_n12_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,1,1.75,3,21
ER_n12_d0.8_g1,pegasus_3,minorminer,0,1.8333333333333333,3,22
ER_n12_d0.8_g1,pegasus_3,minorminer,1,1.75,2,21
ER_n12_d0.8_g1,pegasus_3,minorminer-layout,0,2.0833333333333335,3,25
ER_n12_d0.8_g1,pegasus_3,minorminer-layout,1,1.9166666666666667,3,23
ER_n12_d0.8_g1,pegasus_3,reweave,0,1.8333333333333333,3,22
ER_n12_d0.8_g1,pegasus_3,reweave,1,1.75,2,21
ER_n12_d0.8_g1,pegasus_3,reweave-thorough,0,1.75,2,21
ER_n12_d0.8_g1,pegasus_3,reweave-thorough,1,1.5833333333333333,2,19
ER_n12_d0.8_g1,pegasus_3,mmfork-cuthill,0,1.75,3,21
ER_n12_d0.8_g1,pegasus_3,mmfork-cuthill,1,1.8333333333333333,3,22
ER_n12_d0.8_g1,pegasus_3,mmfork-portfolio,0,1.75,3,21
ER_n12_d0.8_g1,pegasus_3,mmfork-portfolio,1,1.75,2,21
ER_n12_d0.8_g1,pegasus_3_broken5,minorminer,0,2.25,3,27
