gkey,target,method,eseed,acl,maxchain,qubits
ER_n12_d0.8_g1,pegasus_3_broken5,minorminer,1,2.0,3,24
ER_n12_d0.8_g1,pegasus_3_broken5,minorminer-layout,0,2.1666666666666665,3,26
ER_n12_d0.8_g1,pegasus_3_broken5,minorminer-layout,1,1.8333333333333333,3,22
ER_n12_d0.8_g1,pegasus_3_broken5,reweave,0,2.25,3,27
ER_n12_d0.8_g1,pegasus_3_broken5,reweave,1,2.0,3,24
ER_n12_d0.8_g1,pegasus_3_broken5,reweave-thorough,0,1.75,2,21
ER_n12_d0.8_g1,pegasus_3_broken5,reweave-thorough,1,1.8333333333333333,2,22
ER_n12_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,0,1.9166666666666667,3,23
ER_n12_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,1,1.8333333333333333,3,22
ER_n12_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,0,1.75,3,21
ER_n12_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,1,1.8333333333333333,3,22
ER_n14_d0.4_g0,pegasus_3,minorminer,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,minorminer,1,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,minorminer-layout,0,1.2857142857142858,2,18
ER_n14_d0.4_g0,pegasus_3,minorminer-layout,1,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,reweave,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,reweave,1,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,reweave-thorough,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,reweave-thorough,1,1.0,1,14
ER_n14_d0.4_g0,pegasus_3,mmfork-cuthill,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,mmfork-cuthill,1,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3,mmfork-portfolio,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3,mmfork-portfolio,1,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3_broken5,minorminer,0,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,minorminer,1,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,minorminer-layout,0,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,minorminer-layout,1,1.0,1,14
ER_n14_d0.4_g0,pegasus_3_broken5,reweave,0,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,reweave,1,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,reweave-thorough,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3_broken5,reweave-thorough,1,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,0,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,1,1.1428571428571428,2,16
ER_n14_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,0,1.0714285714285714,2,15
ER_n14_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,1,1.0714285714285714,2,15
ER_n14_d0.4_g1,pegasus_3,minorminer,0,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3,minorminer,1,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3,minorminer-layout,0,1.3571428571428572,2,19
ER_n14_d0.4_g1,pegasus_3,minorminer-layout,1,1.4285714285714286,3,20
ER_n14_d0.4_g1,pegasus_3,reweave,0,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3,reweave,1,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3,reweave-thorough,0,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3,reweave-thorough,1,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3,mmfork-cuthill,0,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3,mmfork-cuthill,1,1.1428571428571428,2,16
ER_n14_d0.4_g1,pegasus_3,mmfork-portfolio,0,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3,mmfork-portfolio,1,1.1428571428571428,2,16
ER_n14_d0.4_g1,pegasus_3_broken5,minorminer,0,1.3571428571428572,2,19
ER_n14_d0.4_g1,pegasus_3_broken5,minorminer,1,1.3571428571428572,2,19
ER_n14_d0.4_g1,pegasus_3_broken5,minorminer-layout,0,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3_broken5,minorminer-layout,1,1.2142857142857142,2,17
