cell,instance,algorithm,seed,success,valid,avg_chain_length,total_qubits_used,wall_time
ER_n20_d0.5,4,reweave,2,1,1,2.1,42,0.31378379100351594
ER_n20_d0.5,4,reweave-ablate-paths,0,1,1,2.0,40,0.18671083298977464
ER_n20_d0.5,4,reweave-ablate-paths,1,1,1,2.1,42,0.20488466598908417
ER_n20_d0.5,4,reweave-ablate-paths,2,1,1,2.1,42,0.3122485420026351
ER_n20_d0.5,4,reweave-ablate-nocong,0,1,1,2.0,40,0.25282724999124184
ER_n20_d0.5,4,reweave-ablate-nocong,1,1,1,2.1,42,0.21881662498344667
ER_n20_d0.5,4,reweave-ablate-nocong,2,1,1,2.1,42,0.34094345799530856
ER_n20_d0.5,4,reweave-ablate-both,0,1,1,2.0,40,0.21796004098723643
ER_n20_d0.5,4,reweave-ablate-both,1,1,1,2.1,42,0.20693754201056436
ER_n20_d0.5,4,reweave-ablate-both,2,1,1,2.1,42,0.3135742919985205
ER_n20_d0.7,0,minorminer,0,1,1,2.5,50,0.38539429201046005
ER_n20_d0.7,0,minorminer,1,1,1,2.65,53,0.13817841600393876
ER_n20_d0.7,0,minorminer,2,1,1,2.6,52,0.18522620902513154
ER_n20_d0.7,0,reweave,0,1,1,2.5,50,0.44506362499669194
ER_n20_d0.7,0,reweave,1,1,1,2.65,53,0.22221658399212174
ER_n20_d0.7,0,reweave,2,1,1,2.5,50,0.31734087501536123
ER_n20_d0.7,0,reweave-ablate-paths,0,1,1,2.5,50,0.4716625830042176
ER_n20_d0.7,0,reweave-ablate-paths,1,1,1,2.65,53,0.20830645799287595
ER_n20_d0.7,0,reweave-ablate-paths,2,1,1,2.5,50,0.3395657079818193
ER_n20_d0.7,0,reweave-ablate-nocong,0,1,1,2.5,50,0.5246346250060014
ER_n20_d0.7,0,reweave-ablate-nocong,1,1,1,2.65,53,0.2683375829947181
ER_n20_d0.7,0,reweave-ablate-nocong,2,1,1,2.5,50,0.3996361669851467
ER_n20_d0.7,0,reweave-ablate-both,0,1,1,2.5,50,0.5642093339993153
ER_n20_d0.7,0,reweave-ablate-both,1,1,1,2.65,53,0.30216866699629463
ER_n20_d0.7,0,reweave-ablate-both,2,1,1,2.5,50,0.38610841700574383
ER_n20_d0.7,1,minorminer,0,1,1,2.65,53,0.16946954201557674
ER_n20_d0.7,1,minorminer,1,1,1,2.65,53,0.32895558298332617
ER_n20_d0.7,1,minorminer,2,1,1,2.55,51,0.23893408398726024
ER_n20_d0.7,1,reweave,0,1,1,2.65,53,0.27712137502385303
ER_n20_d0.7,1,reweave,1,1,1,2.65,53,0.365867790998891
ER_n20_d0.7,1,reweave,2,1,1,2.55,51,0.32363487500697374
ER_n20_d0.7,1,reweave-ablate-paths,0,1,1,2.65,53,0.2564878329867497
ER_n20_d0.7,1,reweave-ablate-paths,1,1,1,2.65,53,0.34499458302161656
ER_n20_d0.7,1,reweave-ablate-paths,2,1,1,2.55,51,0.31591712500085123
ER_n20_d0.7,1,reweave-ablate-nocong,0,1,1,2.65,53,0.30393308302154765
ER_n20_d0.7,1,reweave-ablate-nocong,1,1,1,2.65,53,0.4100889579858631
ER_n20_d0.7,1,reweave-ablate-nocong,2,1,1,2.55,51,0.3348726670083124
ER_n20_d0.7,1,reweave-ablate-both,0,1,1,2.65,53,0.2661474170163274
ER_n20_d0.7,1,reweave-ablate-both,1,1,1,2.6,52,0.4004682080121711
ER_n20_d0.7,1,reweave-ablate-both,2,1,1,2.55,51,0.37312391700106673
ER_n20_d0.7,2,minorminer,0,1,1,2.5,50,0.14327533298637718
ER_n20_d0.7,2,minorminer,1,1,1,2.55,51,0.3842366249882616
ER_n20_d0.7,2,minorminer,2,1,1,2.6,52,0.13831120799295604
ER_n20_d0.7,2,reweave,0,1,1,2.5,50,0.23226874999818392
ER_n20_d0.7,2,reweave,1,1,1,2.5,50,0.5808006250008475
ER_n20_d0.7,2,reweave,2,1,1,2.6,52,0.23610945799737237
ER_n20_d0.7,2,reweave-ablate-paths,0,1,1,2.5,50,0.23019783300696872
ER_n20_d0.7,2,reweave-ablate-paths,1,1,1,2.55,51,0.5430336669960525
ER_n20_d0.7,2,reweave-ablate-paths,2,1,1,2.6,52,0.3035001250100322
ER_n20_d0.7,2,reweave-ablate-nocong,0,1,1,2.5,50,0.3766756250115577
ER_n20_d0.7,2,reweave-ablate-nocong,1,1,1,2.5,50,0.6230287499784026
ER_n20_d0.7,2,reweave-ablate-nocong,2,1,1,2.6,52,0.36514825001358986
ER_n20_d0.7,2,reweave-ablate-both,0,1,1,2.5,50,0.3751383750059176
ER_n20_d0.7,2,reweave-ablate-both,1,1,1,2.55,51,0.5684015410079155
