cell,instance,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,0,pegasus_6_broken5,mmfork-portfolio,0,1,1,1.7,3,34,1.9022645228542387,20,66
ER_n20_d0.3,0,pegasus_6_broken5,mmfork-portfolio,1,1,1,1.8,3,36,2.0013559118378907,20,66
ER_n20_d0.3,0,pegasus_6_broken5,mmfork-portfolio,2,1,1,1.65,2,33,0.865146922878921,20,66
ER_n20_d0.3,0,pegasus_6_broken5,reweave-mmfork-cuthill,0,1,1,1.7,3,34,0.07024737889878452,20,66
ER_n20_d0.3,0,pegasus_6_broken5,reweave-mmfork-cuthill,1,1,1,1.8,3,36,0.05459167389199138,20,66
ER_n20_d0.3,0,pegasus_6_broken5,reweave-mmfork-cuthill,2,1,1,1.85,3,37,0.06594325695186853,20,66
ER_n20_d0.3,0,zephyr_4,minorminer,0,1,1,1.35,2,27,0.04297319194301963,20,66
ER_n20_d0.3,0,zephyr_4,minorminer,1,1,1,1.5,3,30,0.1076071229763329,20,66
ER_n20_d0.3,0,zephyr_4,minorminer,2,1,1,1.55,2,31,0.07656878279522061,20,66
ER_n20_d0.3,0,zephyr_4,minorminer-layout,0,1,1,1.55,2,31,1.6181046210695058,20,66
ER_n20_d0.3,0,zephyr_4,minorminer-layout,1,1,1,1.45,2,29,2.0606897061225027,20,66
ER_n20_d0.3,0,zephyr_4,minorminer-layout,2,1,1,1.45,2,29,1.9522542760241777,20,66
ER_n20_d0.3,0,zephyr_4,reweave-base,0,1,1,1.35,2,27,0.2754774480126798,20,66
ER_n20_d0.3,0,zephyr_4,reweave-base,1,1,1,1.5,3,30,0.17227032617665827,20,66
ER_n20_d0.3,0,zephyr_4,reweave-base,2,1,1,1.55,2,31,1.1717918808571994,20,66
ER_n20_d0.3,0,zephyr_4,reweave,0,1,1,1.35,2,27,0.04044361202977598,20,66
ER_n20_d0.3,0,zephyr_4,reweave,1,1,1,1.5,3,30,0.07274716789834201,20,66
ER_n20_d0.3,0,zephyr_4,reweave,2,1,1,1.55,2,31,0.059615172911435366,20,66
ER_n20_d0.3,0,zephyr_4,reweave-thorough,0,1,1,1.35,2,27,0.17261533392593265,20,66
ER_n20_d0.3,0,zephyr_4,reweave-thorough,1,1,1,1.5,3,30,0.37650397908873856,20,66
ER_n20_d0.3,0,zephyr_4,reweave-thorough,2,1,1,1.4,2,28,0.20943732117302716,20,66
ER_n20_d0.3,0,zephyr_4,reweave-stacked,0,1,1,2.05,4,41,0.1109139600303024,20,66
ER_n20_d0.3,0,zephyr_4,reweave-stacked,1,1,1,1.6,2,32,0.605295279994607,20,66
ER_n20_d0.3,0,zephyr_4,reweave-stacked,2,1,1,2.15,4,43,0.13452758197672665,20,66
ER_n20_d0.3,0,zephyr_4,mmfork-cuthill,0,1,1,1.5,2,30,0.19483421184122562,20,66
ER_n20_d0.3,0,zephyr_4,mmfork-cuthill,1,1,1,1.45,2,29,0.06049946998246014,20,66
ER_n20_d0.3,0,zephyr_4,mmfork-cuthill,2,1,1,1.5,2,30,0.2786978248041123,20,66
ER_n20_d0.3,0,zephyr_4,mmfork-portfolio,0,1,1,1.35,2,27,0.5666834099683911,20,66
ER_n20_d0.3,0,zephyr_4,mmfork-portfolio,1,1,1,1.45,2,29,1.7520144861191511,20,66
ER_n20_d0.3,0,zephyr_4,mmfork-portfolio,2,1,1,1.4,2,28,1.2696558651514351,20,66
ER_n20_d0.3,0,zephyr_4,reweave-mmfork-cuthill,0,1,1,1.5,2,30,0.06134445616044104,20,66
ER_n20_d0.3,0,zephyr_4,reweave-mmfork-cuthill,1,1,1,1.45,2,29,0.17177021689713,20,66
ER_n20_d0.3,0,zephyr_4,reweave-mmfork-cuthill,2,1,1,1.5,2,30,0.10308508202433586,20,66
ER_n20_d0.3,1,pegasus_6,minorminer,0,1,1,1.8,3,36,0.04223751509562135,20,65
ER_n20_d0.3,1,pegasus_6,minorminer,1,1,1,1.8,3,36,0.05509816203266382,20,65
ER_n20_d0.3,1,pegasus_6,minorminer,2,1,1,1.6,3,32,0.1350177200511098,20,65
ER_n20_d0.3,1,pegasus_6,minorminer-layout,0,1,1,1.55,3,31,2.103230719920248,20,65
ER_n20_d0.3,1,pegasus_6,minorminer-layout,1,1,1,1.7,3,34,2.4754722269717604,20,65
ER_n20_d0.3,1,pegasus_6,minorminer-layout,2,1,1,1.7,3,34,4.335855585057288,20,65
ER_n20_d0.3,1,pegasus_6,reweave-base,0,1,1,1.8,3,36,0.6629671009723097,20,65
ER_n20_d0.3,1,pegasus_6,reweave-base,1,1,1,1.8,3,36,0.3653439851477742,20,65
ER_n20_d0.3,1,pegasus_6,reweave-base,2,1,1,1.6,3,32,0.9262804100289941,20,65
ER_n20_d0.3,1,pegasus_6,reweave,0,1,1,1.8,3,36,0.15079279500059783,20,65
ER_n20_d0.3,1,pegasus_6,reweave,1,1,1,1.8,3,36,0.14520623814314604,20,65
ER_n20_d0.3,1,pegasus_6,reweave,2,1,1,1.6,3,32,0.06445779302157462,20,65
ER_n20_d0.3,1,pegasus_6,reweave-thorough,0,1,1,1.8,3,36,0.3201098919380456,20,65
ER_n20_d0.3,1,pegasus_6,reweave-thorough,1,1,1,1.6,3,32,0.4891952120233327,20,65
ER_n20_d0.3,1,pegasus_6,reweave-thorough,2,1,1,1.6,3,32,0.4786639951635152,20,65
ER_n20_d0.3,1,pegasus_6,reweave-stacked,0,1,1,1.75,3,35,0.1584531229455024,20,65
ER_n20_d0.3,1,pegasus_6,reweave-stacked,1,1,1,1.65,2,33,0.3065099990926683,20,65
ER_n20_d0.3,1,pegasus_6,reweave-stacked,2,1,1,1.65,2,33,0.2747589109931141,20,65
ER_n20_d0.3,1,pegasus_6,mmfork-cuthill,0,1,1,1.65,3,33,0.26902328501455486,20,65
ER_n20_d0.3,1,pegasus_6,mmfork-cuthill,1,1,1,1.9,3,38,0.1214715470559895,20,65
ER_n20_d0.3,1,pegasus_6,mmfork-cuthill,2,1,1,1.7,3,34,0.350690646097064,20,65
ER_n20_d0.3,1,pegasus_6,mmfork-portfolio,0,1,1,1.55,2,31,2.05163627397269,20,65
ER_n20_d0.3,1,pegasus_6,mmfork-portfolio,1,1,1,1.6,2,32,1.9604684310033917,20,65
ER_n20_d0.3,1,pegasus_6,mmfork-portfolio,2,1,1,1.6,3,32,1.2832148890011013,20,65
ER_n20_d0.3,1,pegasus_6,reweave-mmfork-cuthill,0,1,1,1.65,3,33,0.26756592094898224,20,65
ER_n20_d0.3,1,pegasus_6,reweave-mmfork-cuthill,1,1,1,1.9,3,38,0.6204248368740082,20,65
ER_n20_d0.3,1,pegasus_6,reweave-mmfork-cuthill,2,1,1,1.7,3,34,0.6781791080720723,20,65
ER_n20_d0.3,1,pegasus_6_broken5,minorminer,0,1,1,1.85,3,37,0.06617339607328176,20,65
ER_n20_d0.3,1,pegasus_6_broken5,minorminer,1,1,1,1.75,3,35,0.05964355310425162,20,65
