,wall_time,avg_chain_length,max_chain_length,total_qubits_used
problem_nodes,0.53342928232396,0.42430655197865,0.723885455781581,0.869239882663715
problem_edges,0.505773698382161,0.661612470979488,0.728165385271621,0.855441341694681
problem_density,-0.239380555859091,0.144398975159534,-0.226262854990502,-0.321989996941668
