,atom,clique,minorminer,oct-fast-oct-reduce,pssa
atom,,0.595263078998651,0.00261531145981931,0.0937453792695549,0.422481191916212
clique,0.397691500524659,,0.134617525887986,0.0879807010075209,0
minorminer,0.996909177365668,0.862932858256319,,0.722690058479532,0.82204045539958
oct-fast-oct-reduce,0.899305042141062,0.906343124733929,0.233801169590643,,0.826871938418475
pssa,0.565422628706299,0.999837951709609,0.164032275892561,0.145276417074878,
