cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0869
ER_n20_d0.5_P6,reweave,3,2.2666666666666666,0.06236095644623233,0.5033
ER_n20_d0.5_P6,reweave-combo-ml,3,2.216666666666667,0.08498365855987965,0.1835
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.532
ER_n30_d0.5_P6,reweave,3,3.3,0.12472191289246466,1.783
ER_n30_d0.5_P6,reweave-combo-ml,3,3.3666666666666667,0.02721655269759077,0.6117
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.7814
ER_n30_d0.7_P6,reweave,3,3.888888888888889,0.24545246704860582,2.4858
ER_n30_d0.7_P6,reweave-combo-ml,3,3.7555555555555555,0.031426968052735337,0.8836
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,0.9928
ER_n40_d0.5_P6,reweave,3,4.416666666666667,0.11785113019775792,3.5024
ER_n40_d0.5_P6,reweave-combo-ml,3,4.491666666666667,0.031180478223116228,1.2757
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.1041
ER_n40_d0.7_P6,reweave,3,5.075,0.03535533905932704,5.2159
ER_n40_d0.7_P6,reweave-combo-ml,3,4.908333333333333,0.06236095644623214,1.9012
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3304
ER_n30_d0.5_P6brk,reweave,3,3.4333333333333336,0.09428090415820642,1.5861
ER_n30_d0.5_P6brk,reweave-combo-ml,3,3.3666666666666667,0.1186342028003479,0.5766
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2645
ER_n30_d0.5_Z4,reweave,3,2.6888888888888887,0.07856742013183854,1.9028
ER_n30_d0.5_Z4,reweave-combo-ml,3,2.6777777777777776,0.06849348892187747,0.5547
