algorithm,acl_mean,acl_std,delta_vs_mm_pct,delta_vs_rw_pct,n_success,n_total,time_mean
minorminer,3.641269841269841,0.11543133420502467,0.0,2.3613787428425064,21,21,0.5527808770497186
reweave,3.5527777777777776,0.10226416057882155,-2.3014006867675256,0.0,21,21,0.7334463988095411
mmfork,3.641269841269841,0.11543133420502467,0.0,2.3613787428425064,21,21,0.5497222756176987
mmfork-cuthill,3.5924603174603176,0.10537634757570324,-1.5695303587311118,0.7559734921828689,21,21,0.492956539666574
mmfork-spectral,3.667063492063492,0.0889040077644382,0.3871402400836998,2.7680254578152224,21,21,0.44306159719070864
mmfork-mcs,3.6115079365079366,0.10263653574163117,-0.7828954455089895,1.5531223087374026,21,21,0.5006671926197929
mmfork-minfill,3.617857142857143,0.12318563265998822,-0.7827340815240451,1.5628206370412172,21,21,0.46030866071357324
mmfork-bfs,3.638888888888889,0.08824852155448107,0.12124833859753278,2.4753862649806333,21,21,0.4560230694277423
mmfork-portfolio,3.455952380952381,0.05900769885073332,-5.348683949397695,-3.1088121411107714,21,21,2.916395113190187
