cell,algo,seed,time,valid
ER_n40_d0.5_P6,mmfork-portfolio,2,5.531490541994572,1
ER_n40_d0.5_P6,reweave,2,1.5974157080054283,1
ER_n40_d0.5_P6,reweave+mmfork,2,5.9382991250022314,1
ER_n40_d0.7_P6,minorminer,0,0.4607492499926593,1
ER_n40_d0.7_P6,minorminer-layout,0,1.212134250003146,1
ER_n40_d0.7_P6,mmfork,0,0.4595881660061423,1
ER_n40_d0.7_P6,mmfork-cuthill,0,1.1852376250026282,1
ER_n40_d0.7_P6,mmfork-portfolio,0,6.77119358300115,1
ER_n40_d0.7_P6,reweave,0,1.0061387090099743,1
ER_n40_d0.7_P6,reweave+mmfork,0,7.1155862500017975,1
ER_n40_d0.7_P6,minorminer,1,0.9693426250014454,1
ER_n40_d0.7_P6,minorminer-layout,1,2.0781282920070225,1
ER_n40_d0.7_P6,mmfork,1,0.9690578340087086,1
ER_n40_d0.7_P6,mmfork-cuthill,1,1.1435128749872092,1
ER_n40_d0.7_P6,mmfork-portfolio,1,7.282109957988723,1
ER_n40_d0.7_P6,reweave,1,1.4991423749888781,1
ER_n40_d0.7_P6,reweave+mmfork,1,7.7838405000075,1
ER_n40_d0.7_P6,minorminer,2,1.96086820900382,1
ER_n40_d0.7_P6,minorminer-layout,2,1.7268592080072267,1
ER_n40_d0.7_P6,mmfork,2,1.992676541005494,1
ER_n40_d0.7_P6,mmfork-cuthill,2,0.7910433329961961,1
ER_n40_d0.7_P6,mmfork-portfolio,2,5.255165374997887,1
ER_n40_d0.7_P6,reweave,2,2.660543709003832,1
ER_n40_d0.7_P6,reweave+mmfork,2,5.927373250000528,1
ER_n60_d0.5_P6,minorminer,0,1.5506063750071917,1
ER_n60_d0.5_P6,minorminer-layout,0,1.2102896669966867,1
ER_n60_d0.5_P6,mmfork,0,1.5138683340046555,1
ER_n60_d0.5_P6,mmfork-cuthill,0,1.0169542080111569,1
ER_n60_d0.5_P6,mmfork-portfolio,0,8.051194415995269,1
ER_n60_d0.5_P6,reweave,0,3.266126249989611,1
ER_n60_d0.5_P6,reweave+mmfork,0,9.157618666999042,1
ER_n60_d0.5_P6,minorminer,1,0.4988338749972172,1
ER_n60_d0.5_P6,minorminer-layout,1,3.0187605829996755,1
ER_n60_d0.5_P6,mmfork,1,0.4952962499955902,1
ER_n60_d0.5_P6,mmfork-cuthill,1,1.7990500409941887,1
ER_n60_d0.5_P6,mmfork-portfolio,1,7.659618582998519,1
ER_n60_d0.5_P6,reweave,1,2.73365254199598,1
ER_n60_d0.5_P6,reweave+mmfork,1,8.845136457995977,1
ER_n60_d0.5_P6,minorminer,2,0.7933987089927541,1
ER_n60_d0.5_P6,minorminer-layout,2,1.7648705000028713,1
ER_n60_d0.5_P6,mmfork,2,0.7861692089936696,1
ER_n60_d0.5_P6,mmfork-cuthill,2,0.9295342910045292,1
ER_n60_d0.5_P6,mmfork-portfolio,2,6.757407333003357,1
ER_n60_d0.5_P6,reweave,2,2.6478725829947507,1
ER_n60_d0.5_P6,reweave+mmfork,2,8.196427874994697,1
ER_n30_d0.5_P6brk,minorminer,0,0.48817933299869765,1
ER_n30_d0.5_P6brk,minorminer-layout,0,0.29579279200697783,1
ER_n30_d0.5_P6brk,mmfork,0,0.4774886660015909,1
ER_n30_d0.5_P6brk,mmfork-cuthill,0,0.40641787499771453,1
ER_n30_d0.5_P6brk,mmfork-portfolio,0,2.5437788749986794,1
ER_n30_d0.5_P6brk,reweave,0,0.5920901249919552,1
ER_n30_d0.5_P6brk,reweave+mmfork,0,2.521517125001992,1
ER_n30_d0.5_P6brk,minorminer,1,0.24333041699719615,1
ER_n30_d0.5_P6brk,minorminer-layout,1,0.5344539999932749,1
ER_n30_d0.5_P6brk,mmfork,1,0.19436541700270027,1
ER_n30_d0.5_P6brk,mmfork-cuthill,1,0.42722870799480006,1
ER_n30_d0.5_P6brk,mmfork-portfolio,1,2.368274708001991,1
ER_n30_d0.5_P6brk,reweave,1,0.27957250000326894,1
ER_n30_d0.5_P6brk,reweave+mmfork,1,2.397315209003864,1
ER_n30_d0.5_P6brk,minorminer,2,0.2873995419940911,1
ER_n30_d0.5_P6brk,minorminer-layout,2,0.3900387089961441,1
ER_n30_d0.5_P6brk,mmfork,2,0.32737220799026545,1
ER_n30_d0.5_P6brk,mmfork-cuthill,2,0.21134604199323803,1
ER_n30_d0.5_P6brk,mmfork-portfolio,2,1.9877150419924874,1
ER_n30_d0.5_P6brk,reweave,2,0.37216225000156555,1
ER_n30_d0.5_P6brk,reweave+mmfork,2,2.096376624991535,1
ER_n30_d0.5_Z4,minorminer,0,0.40479579199745785,1
ER_n30_d0.5_Z4,minorminer-layout,0,0.3337140410003485,1
ER_n30_d0.5_Z4,mmfork,0,0.4968546250020154,1
ER_n30_d0.5_Z4,mmfork-cuthill,0,0.18537783301144373,1
ER_n30_d0.5_Z4,mmfork-portfolio,0,1.8606240840017563,1
ER_n30_d0.5_Z4,reweave,0,0.5597933749959338,1
ER_n30_d0.5_Z4,reweave+mmfork,0,1.9581458329921588,1
ER_n30_d0.5_Z4,minorminer,1,0.2326877500017872,1
ER_n30_d0.5_Z4,minorminer-layout,1,0.3213078339904314,1
ER_n30_d0.5_Z4,mmfork,1,0.27350858399586286,1
ER_n30_d0.5_Z4,mmfork-cuthill,1,0.2734070409933338,1
ER_n30_d0.5_Z4,mmfork-portfolio,1,1.6304507080058102,1
ER_n30_d0.5_Z4,reweave,1,0.34141804098908324,1
ER_n30_d0.5_Z4,reweave+mmfork,1,1.705028083990328,1
ER_n30_d0.5_Z4,minorminer,2,0.17470720800338313,1
ER_n30_d0.5_Z4,minorminer-layout,2,0.39669491699896753,1
ER_n30_d0.5_Z4,mmfork,2,0.20912470800976735,1
ER_n30_d0.5_Z4,mmfork-cuthill,2,0.21907350000401493,1
ER_n30_d0.5_Z4,mmfork-portfolio,2,1.4520667500037234,1
ER_n30_d0.5_Z4,reweave,2,0.27317924999806564,1
ER_n30_d0.5_Z4,reweave+mmfork,2,1.5738729169970611,1
