cell,tries,acl,time
P6_n40_d0.5,1,4.358333333333333,0.8716035833349451
P6_n40_d0.5,2,4.358333333333333,0.8546467640020031
P6_n40_d0.5,3,4.358333333333333,0.8615765416616341
P6_n40_d0.5,5,4.358333333333333,0.855760889336428
P6_n40_d0.5,10,4.358333333333333,0.8610924443394955
P6_n40_d0.7,1,5.05,0.7759665139989617
P6_n40_d0.7,2,5.05,0.6796969999995781
P6_n40_d0.7,3,5.05,0.6793954306582842
P6_n40_d0.7,5,5.05,0.667968957995375
P6_n40_d0.7,10,5.05,0.647588333003417
P6_n60_d0.5,1,7.283333333333333,1.3591511389968218
P6_n60_d0.5,2,7.283333333333333,1.3709656389983138
P6_n60_d0.5,3,7.283333333333333,1.3713965970043016
P6_n60_d0.5,5,7.283333333333333,1.4045196943334304
P6_n60_d0.5,10,7.283333333333333,1.3820033613301348
P16_n40_d0.3,1,3.441666666666667,0.7040092500004297
P16_n40_d0.3,2,3.441666666666667,0.6295053616680283
P16_n40_d0.3,3,3.441666666666667,0.6490918890000709
P16_n40_d0.3,5,3.441666666666667,0.6577242500012895
P16_n40_d0.3,10,3.441666666666667,0.6080089999983708
P16_n80_d0.3,1,8.141666666666667,15.062938388994857
P16_n80_d0.3,2,8.141666666666667,14.872890138659082
P16_n80_d0.3,3,8.141666666666667,14.558930597335953
P16_n80_d0.3,5,8.141666666666667,14.480582486333637
P16_n80_d0.3,10,8.141666666666667,14.877103527998164
