topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,180,0.055865921787709494,104,stock,stock,4,,SUCCESS,1,8.3444,7.9389,17,1502,9.3809,923,
Z12,180,0.055865921787709494,104,stock,stock,8,,SUCCESS,1,7.9611,7.5278,17,1433,8.4897,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,6,4.0,SUCCESS,1,7.6389,7.2944,18,1375,9.0604,923,
Z12,180,0.055865921787709494,104,stock,stock,7,,SUCCESS,1,8.1889,7.7833,18,1474,9.0681,923,
Z12,180,0.055865921787709494,103,beta-dhat,beta,1,4.0,SUCCESS,1,7.15,6.9111,14,1287,20.0065,892,
Z12,180,0.055865921787709494,103,beta-dhat,beta,13,4.0,SUCCESS,1,7.3722,7.0333,16,1327,13.2055,892,
Z12,180,0.055865921787709494,104,stock,stock,5,,SUCCESS,1,7.4278,7.1167,16,1337,10.2783,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,3,4.0,SUCCESS,1,8.0111,7.6389,16,1442,11.2103,923,
Z12,180,0.055865921787709494,103,stock,stock,11,,SUCCESS,1,7.1,6.8611,14,1278,15.1858,892,
Z12,180,0.055865921787709494,104,stock,stock,12,,SUCCESS,1,7.8611,7.5111,16,1415,8.0441,923,
Z12,180,0.055865921787709494,103,beta-dhat,beta,10,4.0,SUCCESS,1,6.7056,6.4611,15,1207,15.9287,892,
Z12,180,0.055865921787709494,104,stock,stock,11,,SUCCESS,1,7.8556,7.4056,16,1414,9.3562,923,
Z12,180,0.055865921787709494,103,beta-dhat,beta,9,4.0,SUCCESS,1,6.9556,6.6722,16,1252,16.9766,892,
Z12,180,0.055865921787709494,104,stock,stock,3,,SUCCESS,1,7.3833,7.15,15,1329,12.5226,923,
Z12,180,0.055865921787709494,101,beta-dhat,beta,8,4.0,SUCCESS,1,7.3944,6.9444,18,1331,35.2288,911,
Z12,180,0.055865921787709494,103,beta-dhat,beta,6,4.0,SUCCESS,1,7.2389,6.9333,16,1303,20.1401,892,
Z12,180,0.055865921787709494,104,stock,stock,9,,SUCCESS,1,7.65,7.2833,16,1377,12.0521,923,
Z12,180,0.055865921787709494,103,beta-dhat,beta,14,4.0,SUCCESS,1,7.0667,6.7556,15,1272,15.877,892,
Z12,180,0.055865921787709494,103,beta-dhat,beta,11,4.0,SUCCESS,1,7.4667,7.2167,16,1344,17.7133,892,
Z12,180,0.055865921787709494,103,beta-dhat,beta,12,4.0,SUCCESS,1,6.9611,6.7167,15,1253,17.3511,892,
Z12,180,0.055865921787709494,104,beta-dhat,beta,1,4.0,SUCCESS,1,7.0611,6.8111,16,1271,15.9552,923,
Z12,180,0.055865921787709494,104,stock,stock,2,,SUCCESS,1,7.2333,6.9389,14,1302,15.6927,923,
Z12,180,0.055865921787709494,104,stock,stock,0,,SUCCESS,1,7.4333,7.1167,16,1338,16.9143,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,5,4.0,SUCCESS,1,7.6389,7.3,16,1375,15.3503,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,7,4.0,SUCCESS,1,7.6389,7.3667,17,1375,14.4483,923,
Z12,180,0.055865921787709494,104,stock,stock,10,,SUCCESS,1,7.7611,7.4611,16,1397,13.3567,923,
Z12,180,0.055865921787709494,104,stock,stock,6,,SUCCESS,1,7.1722,6.9167,14,1291,16.0319,923,
Z12,180,0.055865921787709494,105,stock,stock,3,,SUCCESS,1,8.1,7.7111,18,1458,8.5333,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,8,4.0,SUCCESS,1,7.2389,6.8944,16,1303,15.4169,923,
Z12,180,0.055865921787709494,105,stock,stock,0,,SUCCESS,1,7.9444,7.5556,17,1430,11.4678,921,
Z12,180,0.055865921787709494,104,stock,stock,14,,SUCCESS,1,7.1944,6.9056,14,1295,12.4716,923,
Z12,180,0.055865921787709494,105,stock,stock,2,,SUCCESS,1,7.5944,7.2722,16,1367,11.6665,921,
Z12,180,0.055865921787709494,105,stock,stock,8,,SUCCESS,1,8.1889,7.7056,18,1474,8.3126,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,14,4.0,SUCCESS,1,7.4833,7.1667,15,1347,14.3524,923,
Z12,180,0.055865921787709494,105,stock,stock,7,,SUCCESS,1,7.9056,7.6111,16,1423,9.1906,921,
Z12,180,0.055865921787709494,105,stock,stock,1,,SUCCESS,1,7.5556,7.2222,16,1360,13.7412,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,4,4.0,SUCCESS,1,6.85,6.5667,15,1233,20.0558,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,12,4.0,SUCCESS,1,7.0556,6.7833,16,1270,16.8482,923,
Z12,180,0.055865921787709494,105,beta-dhat,beta,3,4.0,SUCCESS,1,7.7333,7.4333,18,1392,12.6187,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,9,4.0,SUCCESS,1,6.9167,6.6444,15,1245,19.5029,923,
Z12,180,0.055865921787709494,105,stock,stock,9,,SUCCESS,1,8.1722,7.7278,16,1471,9.1814,921,
Z12,180,0.055865921787709494,104,stock,stock,13,,SUCCESS,1,7.4833,7.2056,16,1347,17.1748,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,10,4.0,SUCCESS,1,7.5167,7.1833,15,1353,19.677,923,
Z12,180,0.055865921787709494,105,stock,stock,13,,SUCCESS,1,8.1056,7.6889,17,1459,8.2246,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,11,4.0,SUCCESS,1,7.9111,7.5167,17,1424,8.9797,921,
