topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,140,0.07194244604316546,102,stock,stock,11,,SUCCESS,1,7.5357,7.1357,17,1055,5.7958,693,
P16,140,0.07194244604316546,102,tree-sph,tree,13,2,SUCCESS,1,8.3286,8.1429,19,1166,3.1134,693,
P16,140,0.07194244604316546,102,boltz-8.0,root,7,8.0,SUCCESS,1,7.5714,7.2714,17,1060,9.929,693,
P16,140,0.07194244604316546,102,beta-16.0,beta,8,16.0,SUCCESS,1,7.2714,7.0571,15,1018,9.0577,693,
P16,140,0.07194244604316546,102,beta-16.0,beta,10,16.0,SUCCESS,1,7.8143,7.5143,16,1094,6.9868,693,
P16,140,0.07194244604316546,102,boltz-2.0,root,5,2.0,SUCCESS,1,7.35,7.1214,15,1029,13.9214,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,7,4.0,SUCCESS,1,8.0857,7.7929,15,1132,10.9119,693,
P16,140,0.07194244604316546,102,boltz-8.0,root,10,8.0,SUCCESS,1,7.5429,7.2071,14,1056,8.2662,693,
P16,140,0.07194244604316546,102,stock,stock,12,,SUCCESS,1,8.25,7.9,16,1155,6.9088,693,
P16,140,0.07194244604316546,102,tree-sph,tree,14,2,SUCCESS,1,8.2857,8.1,16,1160,3.8207,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,0,4.0,SUCCESS,1,7.0143,6.8714,14,982,19.0363,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,3,4.0,SUCCESS,1,7.3643,7.0071,15,1031,16.7131,693,
P16,140,0.07194244604316546,102,tree-sph,tree,12,2,SUCCESS,1,7.8071,7.6286,17,1093,7.3341,693,
P16,140,0.07194244604316546,102,beta-16.0,beta,6,16.0,SUCCESS,1,7.3,7.0357,14,1022,12.8178,693,
P16,140,0.07194244604316546,102,stock,stock,13,,SUCCESS,1,7.9786,7.65,16,1117,5.7632,693,
P16,140,0.07194244604316546,102,stock,stock,14,,SUCCESS,1,8.5929,8.2429,17,1203,4.7946,693,
P16,140,0.07194244604316546,102,tree-sph,tree,11,2,SUCCESS,1,7.05,6.9643,14,987,8.412,693,
P16,140,0.07194244604316546,102,boltz-8.0,root,12,8.0,SUCCESS,1,8.0786,7.7286,18,1131,6.3724,693,
P16,140,0.07194244604316546,102,boltz-2.0,root,10,2.0,SUCCESS,1,7.4286,7.2143,15,1040,9.4929,693,
P16,140,0.07194244604316546,102,beta-16.0,beta,11,16.0,SUCCESS,1,7.4429,7.1714,15,1042,8.3931,693,
P16,140,0.07194244604316546,102,boltz-2.0,root,13,2.0,SUCCESS,1,7.7929,7.4714,16,1091,6.0024,693,
P16,140,0.07194244604316546,102,boltz-2.0,root,12,2.0,SUCCESS,1,7.95,7.65,16,1113,7.2336,693,
P16,140,0.07194244604316546,102,boltz-8.0,root,9,8.0,SUCCESS,1,6.9929,6.8286,14,979,10.8723,693,
P16,140,0.07194244604316546,102,beta-16.0,beta,14,16.0,SUCCESS,1,8.1429,7.7929,17,1140,4.5376,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,8,4.0,SUCCESS,1,7.6429,7.4,16,1070,12.5517,693,
P16,140,0.07194244604316546,102,stock,stock,10,,SUCCESS,1,7.6,7.35,15,1064,10.7368,693,
P16,140,0.07194244604316546,102,boltz-8.0,root,5,8.0,SUCCESS,1,7.1214,6.8857,14,997,16.1226,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,11,4.0,SUCCESS,1,7.4286,7.25,16,1040,9.7347,693,
P16,140,0.07194244604316546,102,stock,stock,9,,SUCCESS,1,7.6,7.3429,15,1064,12.4072,693,
P16,140,0.07194244604316546,103,tree-sph,tree,0,2,SUCCESS,1,7.8714,7.6643,16,1102,5.0761,689,
P16,140,0.07194244604316546,102,beta-dhat,beta,10,4.0,SUCCESS,1,7.2857,7.05,15,1020,11.9171,693,
P16,140,0.07194244604316546,101,beta-dhat,beta,11,4.0,SUCCESS,1,7.2214,6.9929,15,1011,26.7451,691,
P16,140,0.07194244604316546,102,beta-dhat,beta,2,4.0,SUCCESS,1,7.5286,7.1214,16,1054,21.3743,693,
P16,140,0.07194244604316546,103,boltz-8.0,root,0,8.0,SUCCESS,1,8.0857,7.6429,18,1132,6.0546,689,
P16,140,0.07194244604316546,102,boltz-2.0,root,14,2.0,SUCCESS,1,7.3857,7.0286,14,1034,8.1596,693,
