topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,180,0.1,102,audit2,0,5.0,SUCCESS,1,19.7278,18.5,38,3551,5.0879,1575,
P16,180,0.1,102,dirty,0,5.0,SUCCESS,1,19.2167,17.9056,37,3459,5.105,1575,
P16,180,0.1,102,audit1,0,5.0,SUCCESS,1,19.8389,18.5667,50,3571,5.2343,1575,
P16,180,0.1,101,audit1,3,60.0,SUCCESS,1,20.25,18.7833,46,3645,16.8909,1618,
P16,180,0.1,101,stock,4,15.0,SUCCESS,1,16.9444,15.8611,31,3050,15.1243,1618,
P16,180,0.1,101,dirty,4,15.0,SUCCESS,1,16.9444,15.8611,31,3050,15.4077,1618,
P16,180,0.1,101,audit1,0,60.0,SUCCESS,1,16.4167,15.5611,33,2955,31.7899,1618,
P16,180,0.1,101,audit1,0,180.0,SUCCESS,1,16.4167,15.5611,33,2955,32.0572,1618,
P16,180,0.1,101,audit2,4,60.0,SUCCESS,1,18.2944,17.0611,33,3293,13.1552,1618,
P16,180,0.1,101,audit1,4,60.0,SUCCESS,1,18.1833,17.1611,41,3273,13.2858,1618,
P16,180,0.1,101,audit1,3,180.0,SUCCESS,1,20.25,18.7833,46,3645,16.9405,1618,
P16,180,0.1,101,audit1,4,180.0,SUCCESS,1,18.1833,17.1611,41,3273,13.2033,1618,
P16,180,0.1,101,audit2,4,180.0,SUCCESS,1,18.2944,17.0611,33,3293,13.1839,1618,
P16,180,0.1,101,audit2,1,180.0,SUCCESS,1,16.5611,15.6556,29,2981,35.7848,1618,
P16,180,0.1,101,audit2,1,60.0,SUCCESS,1,16.5611,15.6556,29,2981,36.3156,1618,
P16,180,0.1,102,stock,1,5.0,SUCCESS,1,19.4444,17.9667,41,3500,5.0313,1575,
P16,180,0.1,101,stock,3,60.0,SUCCESS,1,17.7,16.4944,32,3186,23.7796,1618,
P16,180,0.1,102,audit1,1,5.0,SUCCESS,1,19.0889,17.6667,47,3436,5.4222,1575,
P16,180,0.1,102,dirty,1,5.0,SUCCESS,1,19.4444,17.9667,41,3500,5.0563,1575,
P16,180,0.1,102,audit2,1,5.0,SUCCESS,1,19.7667,18.3833,38,3558,5.3373,1575,
P16,180,0.1,101,audit2,0,180.0,SUCCESS,1,15.8389,15.05,29,2851,38.3456,1618,
P16,180,0.1,101,audit2,0,60.0,SUCCESS,1,15.8389,15.05,29,2851,38.8054,1618,
P16,180,0.1,101,dirty,3,180.0,SUCCESS,1,17.7,16.4944,32,3186,23.9974,1618,
P16,180,0.1,101,stock,3,180.0,SUCCESS,1,17.7,16.4944,32,3186,24.2745,1618,
P16,180,0.1,101,dirty,3,60.0,SUCCESS,1,17.7,16.4944,32,3186,24.4068,1618,
P16,180,0.1,102,stock,0,15.0,SUCCESS,1,17.2611,16.0222,31,3107,15.4226,1575,
P16,180,0.1,102,audit2,0,15.0,SUCCESS,1,17.75,16.6111,35,3195,15.0366,1575,
P16,180,0.1,102,audit1,0,15.0,SUCCESS,1,17.4,16.5556,43,3132,15.4927,1575,
P16,180,0.1,102,dirty,0,15.0,SUCCESS,1,17.2611,16.0222,31,3107,15.4468,1575,
P16,180,0.1,101,dirty,4,60.0,SUCCESS,1,16.2556,15.3111,31,2926,23.8893,1618,
P16,180,0.1,101,stock,4,60.0,SUCCESS,1,16.2556,15.3111,31,2926,24.3278,1618,
P16,180,0.1,102,stock,2,5.0,SUCCESS,1,18.8444,17.6,36,3392,5.1655,1575,
P16,180,0.1,102,dirty,2,5.0,SUCCESS,1,18.8444,17.6,36,3392,5.2301,1575,
P16,180,0.1,102,audit2,2,5.0,SUCCESS,1,18.9722,17.8778,39,3415,5.3954,1575,
P16,180,0.1,102,audit1,2,5.0,SUCCESS,1,18.4833,17.2889,40,3327,5.4462,1575,
P16,180,0.1,101,dirty,4,180.0,SUCCESS,1,16.2556,15.3111,31,2926,24.2111,1618,
P16,180,0.1,101,audit1,1,60.0,SUCCESS,1,16.0389,15.2278,34,2887,45.8216,1618,
P16,180,0.1,101,stock,4,180.0,SUCCESS,1,16.2556,15.3111,31,2926,24.8293,1618,
P16,180,0.1,101,audit1,1,180.0,SUCCESS,1,16.0389,15.2278,34,2887,45.9783,1618,
P16,180,0.1,101,audit2,2,60.0,SUCCESS,1,16.1222,15.1889,31,2902,40.7353,1618,
P16,180,0.1,101,audit2,2,180.0,SUCCESS,1,16.1222,15.1889,31,2902,41.1727,1618,
P16,180,0.1,102,stock,1,15.0,SUCCESS,1,16.6833,15.5889,30,3003,15.1122,1575,
P16,180,0.1,102,audit1,1,15.0,SUCCESS,1,17.2167,16.3833,35,3099,15.3411,1575,
P16,180,0.1,102,stock,0,60.0,SUCCESS,1,17.2611,16.0222,31,3107,20.1113,1575,
P16,180,0.1,102,audit2,1,15.0,SUCCESS,1,17.4778,16.4611,33,3146,15.4854,1575,
P16,180,0.1,102,stock,0,180.0,SUCCESS,1,17.2611,16.0222,31,3107,20.0302,1575,
P16,180,0.1,102,dirty,1,15.0,SUCCESS,1,16.6833,15.5889,30,3003,15.5438,1575,
P16,180,0.1,102,dirty,0,60.0,SUCCESS,1,17.2611,16.0222,31,3107,20.3713,1575,
P16,180,0.1,101,audit1,2,180.0,SUCCESS,1,16.3667,15.5333,35,2946,44.9229,1618,
P16,180,0.1,101,audit1,2,60.0,SUCCESS,1,16.3667,15.5333,35,2946,45.2091,1618,
P16,180,0.1,102,stock,3,5.0,SUCCESS,1,20.45,18.8722,41,3681,5.0965,1575,
P16,180,0.1,102,dirty,0,180.0,SUCCESS,1,17.2611,16.0222,31,3107,20.0918,1575,
P16,180,0.1,102,audit1,3,5.0,SUCCESS,1,20.9278,19.7778,42,3767,5.2921,1575,
P16,180,0.1,102,audit2,3,5.0,SUCCESS,1,21.3333,19.6111,42,3840,5.3766,1575,
P16,180,0.1,102,dirty,3,5.0,SUCCESS,1,20.45,18.8722,41,3681,5.0713,1575,
P16,180,0.1,102,audit1,1,60.0,SUCCESS,1,17.2167,16.3833,35,3099,16.6171,1575,
P16,180,0.1,102,audit1,1,180.0,SUCCESS,1,17.2167,16.3833,35,3099,16.4713,1575,
P16,180,0.1,102,stock,2,15.0,SUCCESS,1,17.3111,16.2389,33,3116,15.231,1575,
P16,180,0.1,102,stock,4,5.0,SUCCESS,1,19.9889,18.5389,37,3598,5.2951,1575,
P16,180,0.1,102,audit1,4,5.0,SUCCESS,1,20.2722,18.8667,46,3649,5.2492,1575,
P16,180,0.1,102,audit1,2,15.0,SUCCESS,1,17.0667,16.1278,37,3072,15.45,1575,
P16,180,0.1,102,dirty,2,15.0,SUCCESS,1,17.3111,16.2389,33,3116,15.1926,1575,
P16,180,0.1,102,audit2,2,15.0,SUCCESS,1,17.5778,16.4222,33,3164,15.3501,1575,
P16,180,0.1,102,audit2,4,5.0,SUCCESS,1,20.8389,18.9556,38,3751,5.1961,1575,
P16,180,0.1,102,stock,1,60.0,SUCCESS,1,16.5278,15.6111,30,2975,23.0262,1575,
P16,180,0.1,102,dirty,4,5.0,SUCCESS,1,19.9889,18.5389,37,3598,5.297,1575,
P16,180,0.1,102,dirty,1,60.0,SUCCESS,1,16.5278,15.6111,30,2975,22.6384,1575,
P16,180,0.1,102,stock,1,180.0,SUCCESS,1,16.5278,15.6111,30,2975,22.6404,1575,
P16,180,0.1,102,dirty,1,180.0,SUCCESS,1,16.5278,15.6111,30,2975,22.4154,1575,
P16,180,0.1,102,audit2,2,60.0,SUCCESS,1,17.5778,16.4222,33,3164,17.6579,1575,
P16,180,0.1,102,audit1,0,60.0,SUCCESS,1,16.45,15.5889,39,2961,32.6089,1575,
P16,180,0.1,102,audit1,0,180.0,SUCCESS,1,16.45,15.5889,39,2961,32.5142,1575,
P16,180,0.1,102,stock,2,60.0,SUCCESS,1,16.8611,15.8111,33,3035,19.623,1575,
P16,180,0.1,102,stock,3,15.0,SUCCESS,1,17.8889,16.8,33,3220,15.3707,1575,
P16,180,0.1,102,audit1,3,15.0,SUCCESS,1,18.1833,17.2167,38,3273,15.2044,1575,
P16,180,0.1,102,audit2,2,180.0,SUCCESS,1,17.5778,16.4222,33,3164,17.9014,1575,
P16,180,0.1,102,dirty,2,60.0,SUCCESS,1,16.8611,15.8111,33,3035,19.7067,1575,
P16,180,0.1,102,audit2,3,15.0,SUCCESS,1,17.9,16.9444,34,3222,15.4394,1575,
P16,180,0.1,102,dirty,3,15.0,SUCCESS,1,17.8889,16.8,33,3220,15.202,1575,
P16,180,0.1,102,stock,2,180.0,SUCCESS,1,16.8611,15.8111,33,3035,20.2526,1575,
P16,180,0.1,102,dirty,2,180.0,SUCCESS,1,16.8611,15.8111,33,3035,19.7743,1575,
