topo,n,p,inst_seed,arm,algo_seed,status,success,acl,acl_spur,acl_pre,max_chain,qubits,time,n_edges,err
P16,180,1.0,101,minorminer,2,FAILURE,0,,,,,,71.9163,16110,status=FAILURE
P16,60,0.9,103,minorminer,2,SUCCESS,1,8.7667,8.0,,13,526,11.1065,1597,
P16,180,1.0,101,mmfork-cuthill,0,FAILURE,0,,,,,,69.7421,16110,status=FAILURE
P16,60,0.9,103,minorminer,3,SUCCESS,1,8.2667,7.6833,,12,496,12.622,1597,
P16,180,1.0,101,mmfork-cuthill,4,FAILURE,0,,,,,,67.8433,16110,status=FAILURE
P16,180,1.0,101,mmfork-cuthill,2,FAILURE,0,,,,,,70.243,16110,status=FAILURE
P16,80,0.9,101,template,-1,SUCCESS,1,8.175,8.175,8.825,9,654,0.0331,2858,
P16,80,0.9,101,clique,-1,SUCCESS,1,8.825,8.175,,9,706,0.0179,2858,
P16,180,1.0,101,minorminer,3,FAILURE,0,,,,,,72.7554,16110,status=FAILURE
P16,180,1.0,101,mmfork-cuthill,3,FAILURE,0,,,,,,69.7542,16110,status=FAILURE
P16,80,0.9,101,pssa,0,SUCCESS,1,8.3,8.3,,9,664,0.4487,2858,
P16,80,0.9,101,pssa,1,SUCCESS,1,8.3,8.3,,9,664,0.4293,2858,
P16,180,1.0,101,clmm,2,SUCCESS,1,16.6667,16.6444,,17,3000,62.6478,16110,
P16,80,0.9,101,pssa,2,SUCCESS,1,8.3,8.3,,9,664,0.4597,2858,
P16,180,1.0,101,mmfork-cuthill,1,FAILURE,0,,,,,,71.8619,16110,status=FAILURE
P16,80,0.9,101,pssa,3,SUCCESS,1,8.3,8.3,,9,664,0.4739,2858,
P16,80,0.9,101,pssa,4,SUCCESS,1,8.3,8.3,,9,664,0.4284,2858,
P16,180,1.0,101,minorminer,4,FAILURE,0,,,,,,72.9556,16110,status=FAILURE
P16,60,0.9,103,minorminer,4,SUCCESS,1,7.7167,7.05,,11,463,15.9736,1597,
P16,60,0.9,101,attraction,0,SUCCESS,1,8.0333,7.5333,,12,482,23.5105,1585,
P16,60,0.9,103,mmfork-cuthill,4,SUCCESS,1,7.7167,7.2,,11,463,16.149,1597,
P16,60,0.9,103,mmfork-cuthill,2,SUCCESS,1,7.3833,6.95,,10,443,17.6384,1597,
P16,60,0.9,101,attraction,4,SUCCESS,1,8.5333,7.85,,12,512,25.0672,1585,
P16,60,0.9,101,attraction,3,SUCCESS,1,8.3667,7.6833,,12,502,25.505,1585,
P16,80,0.9,101,clmm,0,SUCCESS,1,8.7125,8.6875,,9,697,10.8283,2858,
P16,80,0.9,101,clmm,2,SUCCESS,1,8.7375,8.7125,,9,699,9.7292,2858,
P16,80,0.9,101,mmfork-cuthill,4,SUCCESS,1,9.25,8.7625,,13,740,12.7193,2858,
P16,60,0.9,101,attraction,2,SUCCESS,1,8.2333,7.55,,12,494,27.5839,1585,
P16,80,0.9,101,clmm,1,SUCCESS,1,8.725,8.7,,9,698,11.4796,2858,
P16,80,0.9,101,clmm,4,SUCCESS,1,8.7,8.675,,9,696,10.1527,2858,
P16,80,0.9,101,clmm,3,SUCCESS,1,8.75,8.7125,,9,700,10.9701,2858,
P16,180,1.0,101,clmm,3,SUCCESS,1,16.6667,16.6444,,17,3000,66.8769,16110,
P16,180,1.0,101,clmm,1,SUCCESS,1,16.6667,16.6444,,17,3000,73.5732,16110,
P16,80,0.9,102,template,-1,SUCCESS,1,8.175,8.175,8.825,9,654,0.0315,2841,
P16,80,0.9,102,clique,-1,SUCCESS,1,8.825,8.175,,9,706,0.021,2841,
P16,60,0.9,103,mmfork-cuthill,0,SUCCESS,1,8.1833,7.5333,,11,491,24.5264,1597,
P16,80,0.9,102,pssa,0,SUCCESS,1,8.3,8.3,,9,664,0.4521,2841,
P16,60,0.9,102,attraction,2,SUCCESS,1,8.5,7.6,,13,510,26.0017,1574,
P16,80,0.9,102,pssa,1,SUCCESS,1,8.3,8.3,,9,664,0.4819,2841,
P16,80,0.9,102,pssa,2,SUCCESS,1,8.3,8.3,,9,664,0.4467,2841,
P16,80,0.9,102,pssa,3,SUCCESS,1,8.3,8.3,,9,664,0.4393,2841,
P16,80,0.9,101,mmfork-cuthill,0,SUCCESS,1,9.175,8.7875,,13,734,17.8062,2858,
P16,80,0.9,102,pssa,4,SUCCESS,1,8.3,8.3,,9,664,0.4549,2841,
P16,60,0.9,102,attraction,1,SUCCESS,1,8.35,7.6833,,12,501,27.9197,1574,
