topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,6,,SUCCESS,1,4.66,4.49,8,466,6.208,500,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.88,4.79,9,488,3.5554,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.61,5.26,10,561,3.4322,495,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,12,,SUCCESS,1,4.56,4.4,9,456,5.7022,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,3,,SUCCESS,1,4.65,4.49,9,465,6.7598,500,
Z12,100,0.10101010101010101,104,minorminer,arm,6,,SUCCESS,1,4.43,4.34,8,443,4.9304,495,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,2,,SUCCESS,1,4.39,4.29,8,439,6.8934,500,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,14,,SUCCESS,1,5.09,4.94,9,509,2.1786,495,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,5,,SUCCESS,1,4.62,4.44,9,462,7.0033,500,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.59,4.5,8,459,3.3695,495,
Z12,100,0.10101010101010101,104,minorminer,arm,11,,SUCCESS,1,4.74,4.62,9,474,4.4868,495,
Z12,100,0.10101010101010101,104,minorminer,arm,14,,SUCCESS,1,4.85,4.63,9,485,4.3464,495,
Z12,100,0.10101010101010101,102,p3-mm-beta-mf,arm,1,,SUCCESS,1,4.57,4.47,8,457,12.5735,508,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,13,,SUCCESS,1,4.54,4.44,8,454,2.8267,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,12,,SUCCESS,1,4.75,4.63,9,475,2.9486,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,2,,SUCCESS,1,4.53,4.39,8,453,4.2167,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,11,,SUCCESS,1,4.75,4.65,9,475,3.4964,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,6,,SUCCESS,1,4.72,4.55,9,472,4.3645,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,5,,SUCCESS,1,4.45,4.38,8,445,4.7221,495,
Z12,100,0.10101010101010101,105,minorminer,arm,1,,SUCCESS,1,4.77,4.66,8,477,2.468,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,3,,SUCCESS,1,4.55,4.43,8,455,5.3556,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,9,,SUCCESS,1,4.68,4.56,9,468,4.6452,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,10,,SUCCESS,1,4.68,4.57,8,468,4.4739,495,
Z12,100,0.10101010101010101,105,minorminer,arm,4,,SUCCESS,1,5.03,4.81,10,503,2.5985,522,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,11,,SUCCESS,1,4.57,4.46,8,457,8.2768,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,14,,SUCCESS,1,4.35,4.26,8,435,7.9669,500,
Z12,100,0.10101010101010101,105,minorminer,arm,7,,SUCCESS,1,5.32,5.1,10,532,2.6504,522,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,8,,SUCCESS,1,4.54,4.46,8,454,8.7415,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,10,,SUCCESS,1,4.59,4.5,9,459,8.6492,500,
Z12,100,0.10101010101010101,105,minorminer,arm,11,,SUCCESS,1,4.82,4.64,9,482,2.7866,522,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,13,,SUCCESS,1,4.49,4.36,8,449,8.8006,500,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,7,,SUCCESS,1,4.63,4.49,8,463,9.4807,500,
Z12,100,0.10101010101010101,105,minorminer,arm,0,,SUCCESS,1,5.03,4.83,9,503,3.833,522,
Z12,100,0.10101010101010101,105,minorminer,arm,2,,SUCCESS,1,4.46,4.36,8,446,3.5945,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,7,,SUCCESS,1,4.34,4.28,8,434,6.1721,495,
Z12,100,0.10101010101010101,105,minorminer,arm,3,,SUCCESS,1,5.16,5.02,10,516,3.7009,522,
Z12,100,0.10101010101010101,103,p3-mm-beta-mf,arm,9,,SUCCESS,1,4.39,4.24,8,439,9.7851,500,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,12,,SUCCESS,1,4.75,4.63,9,475,4.8517,495,
