topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
P16,100,0.2,901,10,race8-seq,SUCCESS,1,8.36,8.36,10,836,60.2168,template[0]@template,941,,"{""final_survivor"":7,""elapsed_s"":60.217,""arms"":{""0"":[""template"",""floor"",8.36],""1"":[""mm"",""dropped:r1"",10.84],""2"":[""mm"",""dropped:r2"",9.49],""3"":[""mm"",""dropped:r1"",10.84],""4"":[""mm"",""dropped:r1"",10.15],""5"":[""cuthill"",""dropped:r2"",9.21],""6"":[""clmm"",""dropped:r3"",8.64],""7"":[""clmm-core"",""final"",8.56]}}"
P16,100,0.2,901,10,bestof8-seq,SUCCESS,1,9.64,9.07,17,964,59.1195,mm[run2],941,,"{""per_run_s"":7.5,""accs"":[9.74,9.67,9.64,10.09,9.82,10.16,10.8,10.26]}"
P16,100,0.2,901,10,bestof8-par,SUCCESS,1,9.09,8.82,15,909,19.0629,mm[run1],941,,"{""per_run_s"":60.0,""accs"":[9.21,9.09,9.64,10.09,9.49,9.89,10.8,9.59],""used_s"":[19.0,14.4,8.7,7.3,12.3,11.9,7.4,16.5]}"
P16,100,0.2,901,10,race8-par,SUCCESS,1,8.36,8.36,10,836,60.1077,template[0]@template,941,,"{""final_survivor"":7,""elapsed_s"":60.107,""arms"":{""0"":[""template"",""floor"",8.36],""1"":[""mm"",""dropped:r1"",10.84],""2"":[""mm"",""dropped:r1"",10.34],""3"":[""mm"",""dropped:r1"",10.85],""4"":[""mm"",""dropped:r2"",10.09],""5"":[""cuthill"",""dropped:r2"",9.21],""6"":[""clmm"",""dropped:r3"",8.64],""7"":[""clmm-core"",""final"",8.56]}}"
P16,100,0.2,901,12,race8-seq,SUCCESS,1,8.36,8.36,10,836,60.0965,template[0]@template,941,,"{""final_survivor"":6,""elapsed_s"":60.096,""arms"":{""0"":[""template"",""floor"",8.36],""1"":[""mm"",""dropped:r1"",11.25],""2"":[""mm"",""dropped:r2"",9.64],""3"":[""mm"",""dropped:r1"",10.31],""4"":[""mm"",""dropped:r1"",11.14],""5"":[""cuthill"",""dropped:r2"",9.61],""6"":[""clmm"",""final"",8.58],""7"":[""clmm-core"",""dropped:r3"",8.72]}}"
P16,100,0.2,901,12,bestof8-seq,SUCCESS,1,9.53,9.19,16,953,60.3449,mm[run4],941,,"{""per_run_s"":7.5,""accs"":[9.83,9.92,10.56,10.23,9.53,9.94,10.0,10.2]}"
P16,100,0.2,901,12,bestof8-par,SUCCESS,1,9.21,8.8,15,921,18.2163,mm[run6],941,,"{""per_run_s"":60.0,""accs"":[9.83,9.44,9.76,9.97,9.57,9.43,9.21,9.99],""used_s"":[9.6,13.5,15.7,12.2,11.5,16.9,18.2,10.8]}"
P16,100,0.2,901,12,race8-par,SUCCESS,1,8.36,8.36,10,836,60.0877,template[0]@template,941,,"{""final_survivor"":6,""elapsed_s"":60.087,""arms"":{""0"":[""template"",""floor"",8.36],""1"":[""mm"",""dropped:r1"",11.25],""2"":[""mm"",""dropped:r2"",9.64],""3"":[""mm"",""dropped:r1"",10.31],""4"":[""mm"",""dropped:r1"",11.14],""5"":[""cuthill"",""dropped:r2"",9.61],""6"":[""clmm"",""final"",8.56],""7"":[""clmm-core"",""dropped:r3"",8.72]}}"
P16,100,0.2,901,14,race8-seq,SUCCESS,1,8.36,8.36,10,836,60.1217,template[0]@template,941,,"{""final_survivor"":6,""elapsed_s"":60.121,""arms"":{""0"":[""template"",""floor"",8.36],""1"":[""mm"",""dropped:r2"",9.72],""2"":[""mm"",""dropped:r1"",10.54],""3"":[""mm"",""dropped:r1"",10.57],""4"":[""mm"",""dropped:r1"",10.87],""5"":[""cuthill"",""dropped:r2"",9.49],""6"":[""clmm"",""final"",8.64],""7"":[""clmm-core"",""dropped:r3"",8.74]}}"
P16,100,0.2,901,14,bestof8-seq,SUCCESS,1,9.3,8.9,16,930,58.1477,mm[run1],941,,"{""per_run_s"":7.5,""accs"":[10.44,9.3,10.87,9.85,10.53,10.39,10.23,10.39]}"
P16,100,0.2,901,14,bestof8-par,SUCCESS,1,9.08,8.65,15,908,24.4855,mm[run1],941,,"{""per_run_s"":60.0,""accs"":[9.6,9.08,10.87,9.65,9.39,10.39,10.23,10.39],""used_s"":[17.5,12.7,7.0,13.6,24.5,8.6,6.6,8.4]}"
