topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
Z12,100,0.2,103,mm-bo3x20,0,3,20.0,SUCCESS,1,3,7.39,7.03,12,739,35.6286,
Z12,100,0.2,102,mm-bo3x20,4,3,20.0,SUCCESS,1,3,7.43,7.1,12,743,42.0543,
Z12,100,0.2,104,mm-bo1x60,3,1,60.0,SUCCESS,1,1,7.75,7.43,13,775,12.0302,
Z12,100,0.2,101,mm-bo12x5,3,12,5.0,SUCCESS,1,12,8.04,7.59,14,804,62.0796,
Z12,100,0.2,102,mm-bo6x10,0,6,10.0,SUCCESS,1,6,7.49,7.17,13,749,58.0498,
Z12,100,0.2,104,mm-bo1x60,2,1,60.0,SUCCESS,1,1,7.47,7.17,13,747,19.2573,
Z12,100,0.2,101,mm-bo12x5,4,12,5.0,SUCCESS,1,12,8.2,7.78,14,820,61.4916,
Z12,100,0.2,102,mm-bo3x20,3,3,20.0,SUCCESS,1,3,7.22,6.75,11,722,53.8799,
Z12,100,0.2,105,mm-bo1x60,0,1,60.0,SUCCESS,1,1,8.96,8.23,16,896,7.6852,
Z12,100,0.2,103,mm-bo3x20,3,3,20.0,SUCCESS,1,3,7.54,7.17,13,754,34.5976,
Z12,100,0.2,102,mm-bo6x10,2,6,10.0,SUCCESS,1,6,7.48,7.11,12,748,56.3013,
Z12,100,0.2,102,mm-bo12x5,0,12,5.0,SUCCESS,1,12,7.86,7.36,13,786,62.0845,
Z12,100,0.2,103,mm-bo3x20,2,3,20.0,SUCCESS,1,3,7.34,7.07,12,734,40.8327,
Z12,100,0.2,102,mm-bo6x10,1,6,10.0,SUCCESS,1,6,7.4,7.14,12,740,61.225,
Z12,100,0.2,102,mm-bo12x5,1,12,5.0,SUCCESS,1,12,7.76,7.41,14,776,62.3215,
Z12,100,0.2,103,mm-bo3x20,1,3,20.0,SUCCESS,1,3,7.28,7.0,12,728,47.8254,
Z12,100,0.2,102,mm-bo6x10,3,6,10.0,SUCCESS,1,6,7.45,7.12,13,745,61.0119,
Z12,100,0.2,102,mm-bo12x5,2,12,5.0,SUCCESS,1,12,7.95,7.48,13,795,61.8625,
Z12,100,0.2,105,mm-bo1x60,1,1,60.0,SUCCESS,1,1,7.83,7.5,13,783,13.1181,
Z12,100,0.2,102,mm-bo6x10,4,6,10.0,SUCCESS,1,6,7.43,7.1,12,743,56.1293,
Z12,100,0.2,103,mm-bo3x20,4,3,20.0,SUCCESS,1,3,7.63,7.24,12,763,40.1231,
Z12,100,0.2,104,mm-bo1x60,4,1,60.0,SUCCESS,1,1,7.17,6.94,11,717,19.8614,
Z12,100,0.2,104,mm-bo3x20,0,3,20.0,SUCCESS,1,3,7.39,7.1,12,739,37.8845,
Z12,100,0.2,105,mm-bo1x60,3,1,60.0,SUCCESS,1,1,7.88,7.49,13,788,9.4801,
Z12,100,0.2,102,mm-bo12x5,3,12,5.0,SUCCESS,1,12,7.82,7.36,13,782,61.8176,
