topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
P16,100,0.3,101,0,race8-seq,SUCCESS,1,9.07,9.07,10,907,60.019,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.019,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",12.92],""2"":[""mm"",""dropped:r1"",13.27],""3"":[""mm"",""dropped:r1"",13.07],""4"":[""mm"",""dropped:r2"",12.2],""5"":[""cuthill"",""dropped:r2"",11.84],""6"":[""clmm"",""survivor"",9.69],""7"":[""clmm-core"",""final"",9.28]}}"
P16,100,0.3,101,0,bestof8-seq,SUCCESS,1,11.64,10.97,18,1164,60.0933,mm[run2],1461,,"{""per_run_s"":7.5,""accs"":[12.19,11.68,11.64,12.0,12.06,11.64,12.74,13.21]}"
P16,100,0.3,101,0,bestof8-par,SUCCESS,1,10.69,10.23,15,1069,42.4511,mm[run0],1461,,"{""per_run_s"":60.0,""accs"":[10.69,11.18,11.11,11.3,11.68,11.64,12.22,11.39],""used_s"":[42.4,17.7,20.2,31.8,17.8,12.5,14.7,25.3]}"
P16,100,0.3,101,0,race8-par,SUCCESS,1,9.07,9.07,10,907,60.208,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.208,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",12.92],""2"":[""mm"",""dropped:r1"",13.27],""3"":[""mm"",""dropped:r1"",13.07],""4"":[""mm"",""dropped:r2"",12.11],""5"":[""cuthill"",""dropped:r2"",11.84],""6"":[""clmm"",""dropped:r3"",9.69],""7"":[""clmm-core"",""final"",9.27]}}"
P16,100,0.3,101,1,race8-seq,SUCCESS,1,9.07,9.07,10,907,60.1346,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.134,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",15.63],""2"":[""mm"",""dropped:r2"",13.55],""3"":[""mm"",""dropped:r1"",14.09],""4"":[""mm"",""dropped:r1"",19.55],""5"":[""cuthill"",""dropped:r2"",12.08],""6"":[""clmm"",""survivor"",9.69],""7"":[""clmm-core"",""final"",9.49]}}"
P16,100,0.3,101,1,bestof8-seq,SUCCESS,1,11.83,11.1,20,1183,60.4692,mm[run5],1461,,"{""per_run_s"":7.5,""accs"":[11.95,13.05,12.49,11.88,13.49,11.83,12.34,11.83]}"
P16,100,0.3,101,1,bestof8-par,SUCCESS,1,11.0,10.47,17,1100,40.0409,mm[run7],1461,,"{""per_run_s"":60.0,""accs"":[11.44,11.39,11.09,11.88,11.32,11.22,12.2,11.0],""used_s"":[29.4,27.1,40.0,10.9,33.2,22.2,16.0,20.1]}"
P16,100,0.3,101,1,race8-par,SUCCESS,1,9.07,9.07,10,907,60.1274,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.127,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",15.63],""2"":[""mm"",""dropped:r2"",13.4],""3"":[""mm"",""dropped:r1"",14.09],""4"":[""mm"",""dropped:r1"",19.55],""5"":[""cuthill"",""dropped:r2"",12.08],""6"":[""clmm"",""dropped:r3"",9.66],""7"":[""clmm-core"",""final"",9.2]}}"
P16,100,0.3,101,2,race8-seq,SUCCESS,1,9.07,9.07,10,907,60.1534,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.153,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",13.6],""2"":[""mm"",""dropped:r1"",12.68],""3"":[""mm"",""dropped:r2"",12.4],""4"":[""mm"",""dropped:r1"",12.66],""5"":[""cuthill"",""dropped:r2"",11.17],""6"":[""clmm"",""survivor"",9.74],""7"":[""clmm-core"",""final"",9.32]}}"
P16,100,0.3,101,2,bestof8-seq,SUCCESS,1,11.64,11.05,18,1164,60.1565,mm[run0],1461,,"{""per_run_s"":7.5,""accs"":[11.64,12.2,11.84,12.21,12.22,12.76,12.7,13.56]}"
P16,100,0.3,101,2,bestof8-par,SUCCESS,1,10.75,10.2,17,1075,44.9585,mm[run4],1461,,"{""per_run_s"":60.0,""accs"":[11.64,11.06,10.9,11.56,10.75,11.27,11.45,12.0],""used_s"":[13.6,44.9,28.1,21.6,41.9,36.1,23.7,25.6]}"
P16,100,0.3,101,2,race8-par,SUCCESS,1,9.07,9.07,10,907,60.1907,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.19,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",13.6],""2"":[""mm"",""dropped:r1"",12.68],""3"":[""mm"",""dropped:r2"",12.25],""4"":[""mm"",""dropped:r1"",12.66],""5"":[""cuthill"",""dropped:r2"",11.17],""6"":[""clmm"",""dropped:r3"",9.73],""7"":[""clmm-core"",""final"",9.22]}}"
P16,100,0.3,101,3,race8-seq,SUCCESS,1,9.07,9.07,10,907,60.4439,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.444,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r2"",13.04],""2"":[""mm"",""dropped:r1"",13.41],""3"":[""mm"",""dropped:r1"",13.83],""4"":[""mm"",""dropped:r1"",14.05],""5"":[""cuthill"",""dropped:r2"",13.33],""6"":[""clmm"",""survivor"",9.74],""7"":[""clmm-core"",""final"",9.48]}}"
P16,100,0.3,101,3,bestof8-seq,SUCCESS,1,11.84,11.2,20,1184,60.1592,mm[run4],1461,,"{""per_run_s"":7.5,""accs"":[12.38,12.21,12.76,12.28,11.84,12.78,13.5,12.6]}"
P16,100,0.3,101,3,bestof8-par,SUCCESS,1,10.96,10.36,17,1096,44.1021,mm[run4],1461,,"{""per_run_s"":60.0,""accs"":[11.78,11.26,11.04,12.28,10.96,12.05,11.29,11.82],""used_s"":[20.4,23.4,30.6,10.6,44.1,19.3,20.5,20.1]}"
