cell,n,p,inst_seed,algo_seed,stage,acl,acl_best,time_cum
P16:100:0.1,100,0.1,101,8,q0legal,9.06,9.06,0.79
P16:100:0.1,100,0.1,101,8,q1,5.29,5.29,7.91
P16:100:0.1,100,0.1,101,8,q2,5.26,5.26,15.06
P16:100:0.1,100,0.1,101,8,q3,5.28,5.26,22.11
P16:100:0.1,100,0.1,101,8,q4,5.29,5.26,29.14
P16:100:0.1,100,0.1,101,8,q5,5.29,5.26,36.22
P16:100:0.1,100,0.1,101,8,q6,5.29,5.26,43.34
P16:100:0.1,100,0.1,101,8,q7,5.25,5.25,50.36
P16:100:0.1,100,0.1,101,8,q8,5.25,5.25,57.41
P16:100:0.1,100,0.1,101,8,spur,5.2,5.2,57.43
P16:100:0.1,100,0.1,101,9,q0legal,8.91,8.91,0.93
P16:100:0.1,100,0.1,101,9,q1,5.32,5.32,7.99
P16:100:0.1,100,0.1,101,9,q2,5.33,5.32,15.12
P16:100:0.1,100,0.1,101,9,q3,5.27,5.27,22.19
P16:100:0.1,100,0.1,101,9,q4,5.3,5.27,29.2
P16:100:0.1,100,0.1,101,9,q5,5.33,5.27,36.28
P16:100:0.1,100,0.1,101,9,q6,5.33,5.27,43.31
P16:100:0.1,100,0.1,101,9,q7,5.33,5.27,50.37
P16:100:0.1,100,0.1,101,9,q8,5.33,5.27,57.46
P16:100:0.1,100,0.1,101,9,spur,5.2,5.2,57.47
P16:100:0.1,100,0.1,101,13,q0legal,9.48,9.48,0.72
P16:100:0.1,100,0.1,101,13,q1,5.62,5.62,7.75
P16:100:0.1,100,0.1,101,13,q2,5.47,5.47,14.86
P16:100:0.1,100,0.1,101,13,q3,5.39,5.39,21.91
P16:100:0.1,100,0.1,101,13,q4,5.38,5.38,28.98
P16:100:0.1,100,0.1,101,13,q5,5.37,5.37,36.01
P16:100:0.1,100,0.1,101,13,q6,5.4,5.37,43.17
P16:100:0.1,100,0.1,101,13,q7,5.4,5.37,50.25
P16:100:0.1,100,0.1,101,13,q8,5.35,5.35,57.34
P16:100:0.1,100,0.1,101,13,spur,5.23,5.23,57.35
P16:100:0.1,100,0.1,101,14,q0legal,8.64,8.64,0.78
P16:100:0.1,100,0.1,101,14,q1,5.92,5.92,7.92
P16:100:0.1,100,0.1,101,14,q2,5.63,5.63,14.99
P16:100:0.1,100,0.1,101,14,q3,5.46,5.46,22.02
P16:100:0.1,100,0.1,101,14,q4,5.46,5.46,29.06
P16:100:0.1,100,0.1,101,14,q5,5.46,5.46,36.17
P16:100:0.1,100,0.1,101,14,q6,5.46,5.46,43.21
P16:100:0.1,100,0.1,101,14,q7,5.46,5.46,50.29
P16:100:0.1,100,0.1,101,14,q8,5.46,5.46,57.41
P16:100:0.1,100,0.1,101,14,spur,5.36,5.36,57.42
P16:100:0.1,100,0.1,101,12,q0legal,9.12,9.12,1.09
P16:100:0.1,100,0.1,101,12,q1,5.46,5.46,8.16
P16:100:0.1,100,0.1,101,12,q2,5.19,5.19,15.2
P16:100:0.1,100,0.1,101,12,q3,4.93,4.93,22.21
P16:100:0.1,100,0.1,101,12,q4,4.97,4.93,29.25
P16:100:0.1,100,0.1,101,12,q5,4.97,4.93,36.36
P16:100:0.1,100,0.1,101,12,q6,4.94,4.93,43.4
P16:100:0.1,100,0.1,101,12,q7,4.93,4.93,50.5
P16:100:0.1,100,0.1,101,12,q8,4.92,4.92,57.61
P16:100:0.1,100,0.1,101,12,spur,4.87,4.87,57.62
P16:100:0.1,100,0.1,101,10,q0legal,7.87,7.87,1.13
P16:100:0.1,100,0.1,101,10,q1,5.5,5.5,8.22
P16:100:0.1,100,0.1,101,10,q2,5.12,5.12,15.35
P16:100:0.1,100,0.1,101,10,q3,5.1,5.1,22.48
P16:100:0.1,100,0.1,101,10,q4,5.1,5.1,29.5
P16:100:0.1,100,0.1,101,10,q5,5.1,5.1,36.58
P16:100:0.1,100,0.1,101,10,q6,5.1,5.1,43.63
P16:100:0.1,100,0.1,101,10,q7,5.1,5.1,50.68
P16:100:0.1,100,0.1,101,10,q8,5.1,5.1,57.71
P16:100:0.1,100,0.1,101,10,spur,5.01,5.01,57.73
P16:100:0.1,100,0.1,101,11,q0legal,8.12,8.12,1.32
P16:100:0.1,100,0.1,101,11,q1,5.78,5.78,8.34
P16:100:0.1,100,0.1,101,11,q2,5.44,5.44,15.43
P16:100:0.1,100,0.1,101,11,q3,5.17,5.17,22.47
P16:100:0.1,100,0.1,101,11,q4,5.17,5.17,29.55
P16:100:0.1,100,0.1,101,11,q5,5.2,5.17,36.61
P16:100:0.1,100,0.1,101,11,q6,5.1,5.1,43.66
P16:100:0.1,100,0.1,101,11,q7,5.09,5.09,50.75
P16:100:0.1,100,0.1,101,11,q8,5.1,5.09,57.78
P16:100:0.1,100,0.1,101,11,spur,5.03,5.03,57.79
P16:100:0.1,100,0.1,101,15,q0legal,8.47,8.47,1.0
P16:100:0.1,100,0.1,101,15,q1,5.79,5.79,8.04
P16:100:0.1,100,0.1,101,15,q2,5.58,5.58,15.08
P16:100:0.1,100,0.1,101,15,q3,5.53,5.53,22.18
P16:100:0.1,100,0.1,101,15,q4,5.52,5.52,29.21
