topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,140,0.2,101,stock,0,5.0,SUCCESS,1,19.8071,18.2786,42,2773,5.1028,1947,
P16,140,0.2,101,dirty,0,5.0,SUCCESS,1,19.8071,18.2786,42,2773,5.103,1947,
P16,140,0.2,101,audit1,0,5.0,SUCCESS,1,21.2929,19.5143,50,2981,5.4814,1947,
P16,140,0.2,101,audit2,0,5.0,SUCCESS,1,21.7357,19.9857,43,3043,5.4779,1947,
P16,140,0.2,101,stock,0,15.0,SUCCESS,1,16.3429,15.3,28,2288,15.1348,1947,
P16,140,0.2,101,audit1,0,15.0,SUCCESS,1,18.1643,17.05,38,2543,15.1922,1947,
P16,140,0.2,101,dirty,0,15.0,SUCCESS,1,16.3429,15.3,28,2288,15.1506,1947,
P16,140,0.2,101,audit2,0,15.0,SUCCESS,1,18.2786,17.0286,32,2559,15.3018,1947,
