cells=[(100, 0.1), (140, 0.2), (100, 0.5)]  inst_seeds=[101, 102, 103]  algo_seeds=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]  tasks to run=144  workers=8
budget/task: 8s legalize + 8x7s polish quanta (+ spur <= 5s, outside the budget)  csv=p3_rank_stability.csv
[33/144    287s] n100 p0.1 i103 s6: legal 8.24 -> 5.48 5.38 5.17 5.08 5.07 5.07 5.06 5.06 | best 5.06 spur 4.92 ovl 0.15 | 57.1s
[34/144    288s] n100 p0.1 i103 s1: legal 8.99 -> 5.41 5.29 5.33 5.32 5.36 5.35 5.35 5.33 | best 5.29 spur 5.12 ovl 0.12 | 57.6s
[35/144    288s] n100 p0.1 i103 s4: legal 8.74 -> 5.55 5.33 5.24 5.23 5.23 5.19 5.19 5.20 | best 5.19 spur 5.08 ovl 0.10 | 57.4s
[36/144    288s] n100 p0.1 i103 s3: legal 8.85 -> 5.61 5.23 5.31 5.16 5.16 5.16 5.16 5.13 | best 5.13 spur 5.04 ovl 0.13 | 57.5s
[37/144    288s] n100 p0.1 i103 s2: legal 8.25 -> 5.69 5.58 5.58 5.57 5.44 5.24 5.29 5.38 | best 5.24 spur 5.14 ovl 0.14 | 57.7s
[38/144    288s] n100 p0.1 i103 s0: legal 8.30 -> 5.85 5.41 5.16 5.15 5.06 5.06 5.07 4.98 | best 4.98 spur 4.88 ovl 0.10 | 58.1s
[39/144    288s] n100 p0.1 i103 s5: legal 7.78 -> 5.42 5.36 5.31 5.20 5.25 5.29 5.29 5.28 | best 5.20 spur 5.07 ovl 0.17 | 57.7s
[40/144    289s] n100 p0.1 i103 s7: legal 8.94 -> 5.38 5.27 5.16 5.16 5.15 5.15 5.15 5.14 | best 5.14 spur 5.04 ovl 0.10 | 58.0s
[41/144    345s] n100 p0.1 i103 s8: legal 8.64 -> 5.53 5.35 5.30 5.30 5.33 5.37 5.37 5.37 | best 5.30 spur 5.20 ovl 0.13 | 57.7s
[42/144    345s] n100 p0.1 i103 s12: legal 9.50 -> 5.47 5.47 5.44 5.38 5.38 5.38 5.38 5.36 | best 5.36 spur 5.24 ovl 0.09 | 57.4s
[43/144    345s] n100 p0.1 i103 s10: legal 9.64 -> 5.38 5.25 5.31 5.31 5.12 5.12 5.13 5.10 | best 5.10 spur 5.00 ovl 0.11 | 57.7s
[44/144    345s] n100 p0.1 i103 s9: legal 8.58 -> 5.55 5.37 5.22 5.04 5.07 4.95 5.00 5.00 | best 4.95 spur 4.92 ovl 0.11 | 57.8s
[45/144    346s] n100 p0.1 i103 s11: legal 8.71 -> 5.86 5.63 5.61 5.38 5.37 5.36 5.30 5.09 | best 5.09 spur 4.99 ovl 0.14 | 58.1s
[46/144    347s] n100 p0.1 i103 s14: legal 8.14 -> 5.76 5.17 5.20 5.18 5.14 5.14 5.14 5.08 | best 5.08 spur 4.96 ovl 0.17 | 58.6s
[47/144    347s] n100 p0.1 i103 s13: legal 9.09 -> 5.66 5.42 5.29 5.00 4.99 4.76 4.76 4.75 | best 4.75 spur 4.68 ovl 0.13 | 58.9s
[48/144    347s] n100 p0.1 i103 s15: legal 8.76 -> 5.75 5.32 5.35 5.35 5.35 5.28 5.29 5.35 | best 5.28 spur 5.22 ovl 0.08 | 58.4s
[49/144    412s] n140 p0.2 i101 s5: legal 22.94 -> 22.85 20.91 19.34 20.03 19.94 19.94 19.93 19.93 | best 19.34 spur 17.52 ovl 0.99 | 65.4s
[50/144    412s] n140 p0.2 i101 s4: legal 22.29 -> 22.20 22.13 22.11 23.06 22.94 20.38 20.35 20.08 | best 20.08 spur 17.90 ovl 0.98 | 66.2s
[51/144    413s] n140 p0.2 i101 s3: legal 23.72 -> 20.48 19.08 19.08 19.08 18.30 18.61 18.61 18.00 | best 18.00 spur 16.39 ovl 0.35 | 67.2s
[52/144    413s] n140 p0.2 i101 s0: legal 24.36 -> 20.20 19.22 19.46 18.87 18.90 18.88 17.70 17.64 | best 17.64 spur 16.19 ovl 0.32 | 67.9s
[53/144    413s] n140 p0.2 i101 s1: legal 27.87 -> 27.65 24.59 24.59 22.99 22.89 22.86 22.82 23.20 | best 22.82 spur 20.59 ovl 0.79 | 68.0s
[54/144    414s] n140 p0.2 i101 s2: legal 22.59 -> 20.27 19.50 18.63 18.54 18.81 18.84 18.37 18.76 | best 18.37 spur 16.49 ovl 0.36 | 68.4s
[55/144    415s] n140 p0.2 i101 s7: legal 25.84 -> 21.45 20.31 20.31 20.31 19.93 19.89 19.76 19.79 | best 19.76 spur 18.06 ovl 0.28 | 67.9s
[56/144    416s] n140 p0.2 i101 s6: legal 24.93 -> 24.79 24.31 24.23 23.12 23.74 23.71 23.90 22.06 | best 22.06 spur 19.96 ovl 0.98 | 69.2s
[57/144    478s] n140 p0.2 i101 s10: legal 28.63 -> 24.11 22.04 21.06 20.22 19.54 19.17 19.17 18.66 | best 18.66 spur 16.91 ovl 0.29 | 65.4s
[58/144    478s] n140 p0.2 i101 s9: legal 28.36 -> 25.87 24.41 23.80 20.92 20.96 21.00 21.00 20.99 | best 20.92 spur 18.94 ovl 0.27 | 66.5s
[59/144    480s] n140 p0.2 i101 s14: legal 22.94 -> 22.31 22.25 20.96 20.01 20.80 19.42 18.68 19.04 | best 18.68 spur 17.07 ovl 0.45 | 65.3s
[60/144    481s] n140 p0.2 i101 s13: legal 21.26 -> 19.01 18.80 18.34 17.71 18.10 17.87 18.45 17.54 | best 17.54 spur 16.25 ovl 0.39 | 67.0s
[61/144    481s] n140 p0.2 i101 s8: legal 27.27 -> 24.63 23.89 21.51 21.22 21.81 21.81 20.69 20.86 | best 20.69 spur 18.54 ovl 0.28 | 69.2s
[62/144    482s] n140 p0.2 i101 s11: legal 23.16 -> 19.81 19.06 18.72 18.71 17.93 17.93 17.84 17.70 | best 17.70 spur 16.11 ovl 0.36 | 68.8s
[63/144    482s] n140 p0.2 i101 s12: legal 27.74 -> 23.39 22.98 22.04 21.51 20.64 19.84 18.89 19.29 | best 18.89 spur 17.31 ovl 0.25 | 69.0s
[64/144    483s] n140 p0.2 i101 s15: legal 23.37 -> 20.98 20.44 20.42 19.79 20.29 18.97 18.54 18.20 | best 18.20 spur 16.64 ovl 0.37 | 67.4s
[65/144    542s] n140 p0.2 i102 s0: legal 27.18 -> 25.44 22.59 22.54 21.84 21.79 21.00 20.55 19.49 | best 19.49 spur 17.81 ovl 0.34 | 64.2s
[66/144    544s] n140 p0.2 i102 s1: legal 24.93 -> 20.74 19.01 18.49 17.75 17.54 16.84 16.94 17.31 | best 16.84 spur 15.75 ovl 0.28 | 65.2s
[67/144    545s] n140 p0.2 i102 s2: legal 19.79 -> 19.06 17.66 17.77 17.36 17.11 17.16 17.16 17.01 | best 17.01 spur 15.66 ovl 0.41 | 64.7s
[68/144    548s] n140 p0.2 i102 s5: legal 20.03 -> 18.91 18.51 17.52 17.28 16.70 16.56 16.57 16.56 | best 16.56 spur 15.49 ovl 0.38 | 66.4s
[69/144    549s] n140 p0.2 i102 s4: legal 20.74 -> 19.68 18.86 18.88 18.19 17.40 17.73 17.49 17.34 | best 17.34 spur 15.93 ovl 0.41 | 67.4s
[70/144    549s] n140 p0.2 i102 s7: legal 21.11 -> 18.61 17.95 18.69 18.72 18.34 17.42 17.49 16.96 | best 16.96 spur 15.70 ovl 0.39 | 65.9s
[71/144    549s] n140 p0.2 i102 s3: legal 25.59 -> 22.36 21.60 21.57 20.63 19.47 18.97 18.83 18.82 | best 18.82 spur 17.19 ovl 0.25 | 68.7s
[72/144    552s] n140 p0.2 i102 s6: legal 25.64 -> 21.44 20.12 20.02 18.60 18.16 18.16 18.12 18.09 | best 18.09 spur 16.87 ovl 0.30 | 69.5s
[73/144    606s] n140 p0.2 i102 s8: legal 23.63 -> 19.83 18.17 18.22 17.51 17.22 16.59 17.09 17.09 | best 16.59 spur 15.31 ovl 0.29 | 63.6s
[74/144    609s] n140 p0.2 i102 s9: legal 21.54 -> 19.21 18.36 17.72 17.89 17.64 17.47 17.13 17.01 | best 17.01 spur 15.90 ovl 0.39 | 65.1s
[75/144    610s] n140 p0.2 i102 s10: legal 27.56 -> 23.34 21.38 21.41 20.86 20.90 19.81 18.74 17.98 | best 17.98 spur 16.53 ovl 0.24 | 65.2s
[76/144    611s] n140 p0.2 i102 s12: legal 25.38 -> 21.67 19.79 19.11 18.32 17.57 17.69 17.97 17.32 | best 17.32 spur 16.13 ovl 0.24 | 62.6s
[77/144    612s] n140 p0.2 i102 s11: legal 24.14 -> 21.12 19.62 19.37 18.29 18.29 17.59 17.57 16.84 | best 16.84 spur 15.56 ovl 0.31 | 64.0s
[78/144    614s] n140 p0.2 i102 s13: legal 23.53 -> 20.85 19.29 18.59 18.59 17.99 17.30 17.18 16.67 | best 16.67 spur 15.46 ovl 0.31 | 64.2s
[79/144    615s] n140 p0.2 i102 s14: legal 26.34 -> 22.42 20.40 20.51 21.01 19.44 18.76 18.76 18.54 | best 18.54 spur 16.87 ovl 0.29 | 65.7s
[80/144    617s] n140 p0.2 i102 s15: legal 22.37 -> 20.10 20.11 19.02 18.31 17.91 18.15 17.11 17.04 | best 17.04 spur 15.74 ovl 0.34 | 65.4s
[81/144    669s] n140 p0.2 i103 s0: legal 21.70 -> 19.58 19.34 19.39 19.34 19.81 19.76 19.84 19.82 | best 19.34 spur 17.76 ovl 0.39 | 63.5s
