graph_id,graph_name,family,n,density,score,mm_acl,ate_acl,clmm_acl,d_ate,d_clmm,label
2642,turan_n9_r5,turan,9,0.888889,1.4444,1.5555555555555556,1.5555555555555556,1.5555555555555556,0.0,0.0,0
2643,turan_n124_r2,turan,124,0.504065,4.7984,6.0,4.75,4.709677419354839,-1.25,-1.290323,0
2644,turan_n9_r6,turan,9,0.916667,1.5556,1.5555555555555556,1.5555555555555556,1.5555555555555556,0.0,0.0,0
2645,turan_n9_r7,turan,9,0.944444,1.6667,1.5555555555555556,1.5555555555555556,1.5555555555555556,0.0,0.0,0
2646,turan_n9_r7,turan,9,0.944444,1.6667,1.5555555555555556,1.5555555555555556,1.5555555555555556,0.0,0.0,0
2647,turan_n162_r2,turan,162,0.503106,6.0741,9.635802469135802,6.0,6.0,-3.635802,-3.635802,0
2648,turan_n9_r8,turan,9,0.972222,1.7778,1.5555555555555556,1.5555555555555556,1.6666666666666667,0.0,0.111111,0
2649,turan_n10_r2,turan,10,0.555556,1.5,1.0,1.0,1.0,0.0,0.0,0
2650,turan_n10_r3,turan,10,0.733333,1.5,1.3,1.3,1.3,0.0,0.0,0
2651,turan_n10_r3,turan,10,0.733333,1.5,1.3,1.3,1.3,0.0,0.0,0
2653,turan_n10_r4,turan,10,0.822222,1.6,1.4,1.4,1.4,0.0,0.0,0
2655,turan_n10_r5,turan,10,0.888889,1.5,1.6,1.6,1.6,0.0,0.0,0
2656,turan_n10_r6,turan,10,0.911111,1.6,1.6,1.6,1.6,0.0,0.0,0
2657,turan_n10_r6,turan,10,0.911111,1.6,1.6,1.6,1.6,0.0,0.0,0
2658,turan_n10_r7,turan,10,0.933333,1.7,1.6,1.6,1.6,0.0,0.0,0
2659,turan_n10_r7,turan,10,0.933333,1.7,1.6,1.6,1.6,0.0,0.0,0
2660,turan_n10_r8,turan,10,0.955556,1.8,1.6,1.6,1.6,0.0,0.0,0
2661,turan_n10_r8,turan,10,0.955556,1.8,1.7,1.6,1.6,-0.1,-0.1,0
2662,turan_n11_r2,turan,11,0.545455,1.4545,1.0,1.0,1.0,0.0,0.0,0
2663,turan_n4_r3,turan,4,0.833333,1.0,1.0,1.0,1.0,0.0,0.0,0
2664,turan_n11_r3,turan,11,0.727273,1.5455,1.2727272727272727,1.3636363636363635,1.2727272727272727,0.090909,0.0,0
2665,turan_n6_r3,turan,6,0.8,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0
2666,turan_n11_r4,turan,11,0.818182,1.5455,1.4545454545454546,1.4545454545454546,1.4545454545454546,0.0,0.0,0
2667,turan_n8_r3,turan,8,0.75,1.0,1.25,1.25,1.25,0.0,0.0,0
2668,turan_n11_r5,turan,11,0.872727,1.4545,1.6363636363636365,1.5454545454545454,1.5454545454545454,-0.090909,-0.090909,0
2669,turan_n11_r6,turan,11,0.909091,1.9091,1.7272727272727273,1.6363636363636365,1.6363636363636365,-0.090909,-0.090909,0
2670,turan_n11_r6,turan,11,0.909091,1.9091,1.6363636363636365,1.6363636363636365,1.6363636363636365,0.0,0.0,0
2671,turan_n12_r3,turan,12,0.727273,1.5,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0
2672,turan_n11_r7,turan,11,0.927273,1.9091,1.6363636363636365,1.6363636363636365,1.6363636363636365,0.0,0.0,0
2673,turan_n14_r3,turan,14,0.714286,2.0,1.4285714285714286,1.5,1.5,0.071429,0.071429,0
2674,turan_n11_r8,turan,11,0.945455,2.0,1.6363636363636365,1.7272727272727273,1.8181818181818181,0.090909,0.181818,0
2675,turan_n12_r2,turan,12,0.545455,1.4167,1.0,1.0,1.0,0.0,0.0,0
2676,turan_n12_r3,turan,12,0.727273,1.5,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0
2677,turan_n12_r3,turan,12,0.727273,1.5,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0
2678,turan_n12_r4,turan,12,0.818182,2.0,1.5833333333333333,1.5,1.5,-0.083333,-0.083333,0
2679,turan_n12_r4,turan,12,0.818182,2.0,1.5833333333333333,1.5833333333333333,1.5833333333333333,0.0,0.0,0
2680,turan_n23_r3,turan,23,0.695652,2.3478,1.9565217391304348,2.0,1.9565217391304348,0.043478,0.0,0
