topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
Z12,160,0.05,104,4,race8-seq,SUCCESS,1,5.075,4.9,11,812,60.0471,mm[3]@q2,651,,"{""final_survivor"":1,""elapsed_s"":60.047,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.2188],""1"":[""mm"",""final"",5.075],""2"":[""mm"",""dropped:r2"",5.2687],""3"":[""mm"",""dropped:r3"",5.075],""4"":[""mm"",""dropped:r1"",5.5938],""5"":[""cuthill"",""dropped:r2"",5.3937],""6"":[""clmm"",""dropped:r1"",6.0687],""7"":[""clmm-core"",""dropped:r1"",5.7812]}}"
Z12,160,0.05,104,4,race9-seq,SUCCESS,1,4.9125,4.8063,10,786,60.1074,mm[3]@q2,651,,"{""final_survivor"":3,""elapsed_s"":60.107,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.2188],""1"":[""mm"",""survivor"",5.2313],""2"":[""mm"",""dropped:r1"",5.5312],""3"":[""mm"",""final"",4.9125],""4"":[""mm"",""dropped:r1"",5.6937],""5"":[""cuthill"",""dropped:r2"",5.4875],""6"":[""clmm"",""dropped:r1"",6.0687],""7"":[""clmm-core"",""dropped:r1"",6.1937],""8"":[""mm-beta"",""dropped:r2"",5.2687]}}"
Z12,160,0.05,104,4,race8-par,SUCCESS,1,5.0125,4.825,11,802,60.0303,mm[3]@q2,651,,"{""final_survivor"":3,""elapsed_s"":60.03,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",7.2188],""1"":[""mm"",""dropped:r3"",5.1312],""2"":[""mm"",""dropped:r2"",5.2687],""3"":[""mm"",""final"",5.0125],""4"":[""mm"",""dropped:r1"",5.6937],""5"":[""cuthill"",""dropped:r2"",5.3937],""6"":[""clmm"",""dropped:r1"",6.0687],""7"":[""clmm-core"",""dropped:r1"",6.1937]}}"
Z12,160,0.05,104,4,race9-par,SUCCESS,1,5.0125,4.825,11,802,60.0852,mm[3]@q2,651,,"{""final_survivor"":3,""elapsed_s"":60.084,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",7.2188],""1"":[""mm"",""dropped:r3"",5.1312],""2"":[""mm"",""dropped:r1"",5.5312],""3"":[""mm"",""final"",5.0125],""4"":[""mm"",""dropped:r1"",5.6937],""5"":[""cuthill"",""dropped:r2"",5.3937],""6"":[""clmm"",""dropped:r1"",6.0687],""7"":[""clmm-core"",""dropped:r1"",6.1937],""8"":[""mm-beta"",""dropped:r2"",5.2687]}}"
Z12,160,0.05,105,0,race8-seq,SUCCESS,1,5.1562,5.0375,11,825,60.0193,mm[1]@q3,663,,"{""final_survivor"":1,""elapsed_s"":60.019,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""final"",5.1562],""2"":[""mm"",""dropped:r2"",5.4062],""3"":[""mm"",""dropped:r1"",5.9188],""4"":[""mm"",""dropped:r3"",5.1813],""5"":[""cuthill"",""dropped:r2"",5.225],""6"":[""clmm"",""dropped:r1"",6.0812],""7"":[""clmm-core"",""dropped:r1"",9.1625]}}"
Z12,160,0.05,105,0,race9-seq,SUCCESS,1,5.1813,4.9813,11,829,60.0358,mm[4]@q2,663,,"{""final_survivor"":4,""elapsed_s"":60.035,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r2"",5.3375],""2"":[""mm"",""dropped:r1"",5.675],""3"":[""mm"",""dropped:r1"",5.9188],""4"":[""mm"",""final"",5.1813],""5"":[""cuthill"",""dropped:r2"",5.225],""6"":[""clmm"",""dropped:r1"",6.0812],""7"":[""clmm-core"",""dropped:r1"",9.1625],""8"":[""mm-beta"",""survivor"",5.2062]}}"
Z12,160,0.05,105,0,race8-par,SUCCESS,1,4.9938,4.875,9,799,60.0475,cuthill[5]@final4,663,,"{""final_survivor"":5,""elapsed_s"":60.047,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r3"",5.1562],""2"":[""mm"",""dropped:r2"",5.4062],""3"":[""mm"",""dropped:r1"",5.9188],""4"":[""mm"",""dropped:r2"",5.4437],""5"":[""cuthill"",""final"",4.9938],""6"":[""clmm"",""dropped:r1"",6.1688],""7"":[""clmm-core"",""dropped:r1"",9.1625]}}"
Z12,160,0.05,105,0,race9-par,SUCCESS,1,4.9938,4.875,9,799,60.0756,cuthill[5]@final4,663,,"{""final_survivor"":5,""elapsed_s"":60.075,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r3"",5.1562],""2"":[""mm"",""dropped:r1"",5.675],""3"":[""mm"",""dropped:r1"",5.9188],""4"":[""mm"",""dropped:r2"",5.4437],""5"":[""cuthill"",""final"",4.9938],""6"":[""clmm"",""dropped:r1"",6.1688],""7"":[""clmm-core"",""dropped:r1"",9.1625],""8"":[""mm-beta"",""dropped:r2"",5.2062]}}"
Z12,160,0.05,105,1,race8-seq,SUCCESS,1,4.95,4.85,11,792,60.0922,mm[1]@q3,663,,"{""final_survivor"":1,""elapsed_s"":60.092,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""final"",4.95],""2"":[""mm"",""dropped:r1"",5.9875],""3"":[""mm"",""dropped:r3"",4.9562],""4"":[""mm"",""dropped:r2"",5.7062],""5"":[""cuthill"",""dropped:r2"",5.8875],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1625]}}"
Z12,160,0.05,105,1,race9-seq,SUCCESS,1,4.9688,4.875,10,795,60.0203,mm-beta[8]@q2,663,,"{""final_survivor"":8,""elapsed_s"":60.02,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""survivor"",5.0625],""2"":[""mm"",""dropped:r1"",5.9875],""3"":[""mm"",""dropped:r2"",5.2062],""4"":[""mm"",""dropped:r2"",5.7062],""5"":[""cuthill"",""dropped:r1"",5.8937],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1625],""8"":[""mm-beta"",""final"",4.9688]}}"
