topo,n,p,inst_seed,assignment,status,acl_pre,acl_spur,obj_sim,qubits,time,detail,err
P16,100,0.3,103,rand-23,SUCCESS,9.82,9.51,959,951,0.0349,,
P16,100,0.3,103,rand-24,SUCCESS,9.82,9.5,962,950,0.0233,,
P16,100,0.3,103,rand-25,SUCCESS,9.82,9.55,957,955,0.0339,,
P16,100,0.3,103,rand-26,SUCCESS,9.82,9.42,951,942,0.0316,,
P16,100,0.3,103,rand-27,SUCCESS,9.82,9.57,965,957,0.0223,,
P16,100,0.3,103,rand-28,SUCCESS,9.82,9.51,960,951,0.0369,,
P16,100,0.3,103,rand-29,SUCCESS,9.82,9.54,959,954,0.0198,,
P16,100,0.3,103,rand-30,SUCCESS,9.82,9.46,952,946,0.028,,
P16,100,0.3,103,rand-31,SUCCESS,9.82,9.53,961,953,0.0266,,
P16,100,0.3,101,identity,SUCCESS,9.82,9.52,959,952,0.0261,,
P16,100,0.3,101,cuthill,SUCCESS,9.82,9.44,956,944,0.0264,,
P16,100,0.3,101,spectral,SUCCESS,9.82,9.35,946,935,0.2459,,
P16,100,0.3,101,shipped,SUCCESS,9.82,9.07,906,907,0.1322,"{""seed_order"":""spectral"",""obj_seed"":946,""obj_final"":906,""complete_skip"":false}",
P16,100,0.3,101,rand-00,SUCCESS,9.82,9.52,957,952,0.0206,,
P16,100,0.3,101,rand-01,SUCCESS,9.82,9.52,960,952,0.0241,,
P16,100,0.3,101,rand-02,SUCCESS,9.82,9.54,959,954,0.0223,,
P16,100,0.3,101,rand-03,SUCCESS,9.82,9.52,956,952,0.0237,,
P16,100,0.3,101,rand-04,SUCCESS,9.82,9.52,960,952,0.0233,,
P16,100,0.3,101,rand-05,SUCCESS,9.82,9.51,957,951,0.024,,
P16,100,0.3,101,rand-06,SUCCESS,9.82,9.54,962,954,0.0232,,
P16,100,0.3,101,rand-07,SUCCESS,9.82,9.46,953,946,0.0335,,
P16,100,0.3,101,rand-08,SUCCESS,9.82,9.44,950,944,0.0341,,
P16,100,0.3,101,rand-09,SUCCESS,9.82,9.52,956,952,0.0359,,
P16,100,0.3,101,rand-10,SUCCESS,9.82,9.48,952,948,0.0232,,
P16,100,0.3,101,rand-11,SUCCESS,9.82,9.55,960,955,0.0269,,
P16,100,0.3,101,rand-12,SUCCESS,9.82,9.5,957,950,0.0248,,
P16,100,0.3,101,rand-13,SUCCESS,9.82,9.48,957,948,0.0385,,
P16,100,0.3,101,rand-14,SUCCESS,9.82,9.4,947,940,0.023,,
P16,100,0.3,101,rand-15,SUCCESS,9.82,9.48,954,948,0.0249,,
P16,100,0.3,101,rand-16,SUCCESS,9.82,9.42,945,942,0.0239,,
